Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 152,489
Architecture: v5 three-head (gate+dir+size) + position state
Training from scratch (v5: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.0003 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Size loss weight: 0.3

step 00000 (  0.0%) | loss: 3.243748 | trade:0.28 call:0.52 put:0.48 | ATM:0.18 OTM:0.82 | size:0.41 | lr: 0.00e+00 | left: 240s
step 00050 (  0.4%) | loss: 3.317163 | trade:0.29 call:0.51 put:0.49 | ATM:0.18 OTM:0.82 | size:0.42 | lr: 1.07e-05 | left: 239s
step 00100 (  0.9%) | loss: 3.241824 | trade:0.35 call:0.51 put:0.49 | ATM:0.19 OTM:0.81 | size:0.44 | lr: 2.66e-05 | left: 238s
step 00150 (  1.4%) | loss: 3.148597 | trade:0.41 call:0.51 put:0.49 | ATM:0.21 OTM:0.79 | size:0.47 | lr: 4.32e-05 | left: 237s
step 00200 (  2.0%) | loss: 3.065728 | trade:0.43 call:0.51 put:0.49 | ATM:0.24 OTM:0.76 | size:0.50 | lr: 5.98e-05 | left: 235s
step 00250 (  2.6%) | loss: 2.944806 | trade:0.43 call:0.53 put:0.47 | ATM:0.30 OTM:0.70 | size:0.51 | lr: 7.66e-05 | left: 234s
step 00300 (  3.1%) | loss: 2.844529 | trade:0.43 call:0.53 put:0.47 | ATM:0.34 OTM:0.66 | size:0.51 | lr: 9.34e-05 | left: 233s
step 00350 (  3.7%) | loss: 2.750127 | trade:0.43 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | size:0.51 | lr: 1.10e-04 | left: 231s
step 00400 (  4.2%) | loss: 2.690833 | trade:0.40 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | size:0.51 | lr: 1.27e-04 | left: 230s
step 00450 (  4.8%) | loss: 2.572329 | trade:0.40 call:0.56 put:0.44 | ATM:0.39 OTM:0.61 | size:0.51 | lr: 1.43e-04 | left: 229s
step 00500 (  5.3%) | loss: 2.463401 | trade:0.44 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | size:0.51 | lr: 1.60e-04 | left: 227s
step 00550 (  5.9%) | loss: 2.330649 | trade:0.41 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | size:0.51 | lr: 1.77e-04 | left: 226s
