Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,112
Architecture: v4 simplified two-head (gate+dir) + position-aware direction selection
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.234308 | trade:0.21 call:0.52 put:0.48 | ATM:0.22 OTM:0.78 | lr: 0.00e+00 | left: 240s
step 00050 (  0.4%) | loss: 3.434793 | trade:0.21 call:0.51 put:0.49 | ATM:0.22 OTM:0.78 | lr: 5.39e-06 | left: 239s
step 00100 (  0.7%) | loss: 3.378748 | trade:0.24 call:0.52 put:0.48 | ATM:0.21 OTM:0.79 | lr: 1.02e-05 | left: 238s
step 00150 (  0.9%) | loss: 3.313595 | trade:0.27 call:0.53 put:0.47 | ATM:0.23 OTM:0.77 | lr: 1.35e-05 | left: 238s
step 00200 (  1.2%) | loss: 3.261101 | trade:0.34 call:0.51 put:0.49 | ATM:0.21 OTM:0.79 | lr: 1.84e-05 | left: 237s
step 00250 (  1.5%) | loss: 3.197615 | trade:0.38 call:0.50 put:0.50 | ATM:0.22 OTM:0.78 | lr: 2.18e-05 | left: 236s
step 00300 (  1.7%) | loss: 3.161769 | trade:0.42 call:0.49 put:0.51 | ATM:0.24 OTM:0.76 | lr: 2.60e-05 | left: 236s
step 00350 (  2.0%) | loss: 3.170214 | trade:0.44 call:0.51 put:0.49 | ATM:0.19 OTM:0.81 | lr: 2.93e-05 | left: 235s
step 00400 (  2.2%) | loss: 3.138146 | trade:0.43 call:0.51 put:0.49 | ATM:0.25 OTM:0.75 | lr: 3.25e-05 | left: 235s
step 00450 (  2.4%) | loss: 3.098450 | trade:0.42 call:0.51 put:0.49 | ATM:0.22 OTM:0.78 | lr: 3.58e-05 | left: 234s
step 00500 (  2.6%) | loss: 3.119284 | trade:0.43 call:0.53 put:0.47 | ATM:0.21 OTM:0.79 | lr: 3.95e-05 | left: 234s
step 00550 (  2.9%) | loss: 3.119507 | trade:0.44 call:0.52 put:0.48 | ATM:0.23 OTM:0.77 | lr: 4.31e-05 | left: 233s
step 00600 (  3.1%) | loss: 3.094894 | trade:0.43 call:0.50 put:0.50 | ATM:0.24 OTM:0.76 | lr: 4.63e-05 | left: 233s
step 00650 (  3.3%) | loss: 3.090942 | trade:0.44 call:0.51 put:0.49 | ATM:0.24 OTM:0.76 | lr: 5.02e-05 | left: 232s
step 00700 (  3.6%) | loss: 3.059082 | trade:0.42 call:0.53 put:0.47 | ATM:0.23 OTM:0.77 | lr: 5.36e-05 | left: 231s
step 00750 (  3.8%) | loss: 3.042530 | trade:0.41 call:0.51 put:0.49 | ATM:0.25 OTM:0.75 | lr: 5.73e-05 | left: 231s
step 00800 (  4.1%) | loss: 3.037511 | trade:0.43 call:0.51 put:0.49 | ATM:0.25 OTM:0.75 | lr: 6.09e-05 | left: 230s
step 00850 (  4.3%) | loss: 3.018476 | trade:0.43 call:0.49 put:0.51 | ATM:0.23 OTM:0.77 | lr: 6.44e-05 | left: 230s
step 00900 (  4.5%) | loss: 3.016389 | trade:0.45 call:0.50 put:0.50 | ATM:0.24 OTM:0.76 | lr: 6.76e-05 | left: 229s
step 00950 (  4.7%) | loss: 2.960925 | trade:0.40 call:0.52 put:0.48 | ATM:0.25 OTM:0.75 | lr: 7.08e-05 | left: 229s
step 01000 (  4.9%) | loss: 2.962455 | trade:0.42 call:0.49 put:0.51 | ATM:0.25 OTM:0.75 | lr: 7.40e-05 | left: 228s
step 01050 (  5.2%) | loss: 2.936379 | trade:0.42 call:0.50 put:0.50 | ATM:0.24 OTM:0.76 | lr: 7.73e-05 | left: 228s
step 01100 (  5.4%) | loss: 2.921156 | trade:0.43 call:0.52 put:0.48 | ATM:0.25 OTM:0.75 | lr: 8.05e-05 | left: 227s
step 01150 (  5.6%) | loss: 2.904553 | trade:0.39 call:0.55 put:0.45 | ATM:0.26 OTM:0.74 | lr: 8.38e-05 | left: 227s
step 01200 (  5.8%) | loss: 2.882485 | trade:0.43 call:0.49 put:0.51 | ATM:0.27 OTM:0.73 | lr: 8.72e-05 | left: 226s
step 01250 (  6.0%) | loss: 2.868849 | trade:0.39 call:0.55 put:0.45 | ATM:0.26 OTM:0.74 | lr: 9.04e-05 | left: 226s
step 01300 (  6.3%) | loss: 2.826210 | trade:0.36 call:0.51 put:0.49 | ATM:0.27 OTM:0.73 | lr: 9.38e-05 | left: 225s
step 01350 (  6.5%) | loss: 2.813989 | trade:0.39 call:0.52 put:0.48 | ATM:0.29 OTM:0.71 | lr: 9.69e-05 | left: 224s
step 01400 (  6.7%) | loss: 2.795830 | trade:0.42 call:0.52 put:0.48 | ATM:0.28 OTM:0.72 | lr: 1.00e-04 | left: 224s
step 01450 (  6.9%) | loss: 2.769285 | trade:0.36 call:0.51 put:0.49 | ATM:0.27 OTM:0.73 | lr: 1.03e-04 | left: 223s
step 01500 (  7.1%) | loss: 2.758951 | trade:0.40 call:0.52 put:0.48 | ATM:0.28 OTM:0.72 | lr: 1.06e-04 | left: 223s
step 01550 (  7.3%) | loss: 2.734624 | trade:0.39 call:0.53 put:0.47 | ATM:0.29 OTM:0.71 | lr: 1.09e-04 | left: 222s
step 01600 (  7.5%) | loss: 2.725102 | trade:0.41 call:0.53 put:0.47 | ATM:0.29 OTM:0.71 | lr: 1.12e-04 | left: 222s
step 01650 (  7.7%) | loss: 2.714683 | trade:0.39 call:0.52 put:0.48 | ATM:0.30 OTM:0.70 | lr: 1.15e-04 | left: 222s
step 01700 (  7.9%) | loss: 2.701009 | trade:0.35 call:0.52 put:0.48 | ATM:0.28 OTM:0.72 | lr: 1.19e-04 | left: 221s
step 01750 (  8.1%) | loss: 2.677481 | trade:0.39 call:0.51 put:0.49 | ATM:0.31 OTM:0.69 | lr: 1.22e-04 | left: 221s
step 01800 (  8.3%) | loss: 2.667726 | trade:0.34 call:0.51 put:0.49 | ATM:0.30 OTM:0.70 | lr: 1.25e-04 | left: 220s
step 01850 (  8.5%) | loss: 2.641106 | trade:0.40 call:0.53 put:0.47 | ATM:0.32 OTM:0.68 | lr: 1.28e-04 | left: 220s
step 01900 (  8.7%) | loss: 2.648845 | trade:0.37 call:0.53 put:0.47 | ATM:0.33 OTM:0.67 | lr: 1.31e-04 | left: 219s
step 01950 (  9.0%) | loss: 2.647074 | trade:0.31 call:0.52 put:0.48 | ATM:0.33 OTM:0.67 | lr: 1.34e-04 | left: 218s
step 02000 (  9.2%) | loss: 2.584649 | trade:0.33 call:0.53 put:0.47 | ATM:0.34 OTM:0.66 | lr: 1.37e-04 | left: 218s
step 02050 (  9.4%) | loss: 2.638443 | trade:0.37 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 1.41e-04 | left: 217s
step 02100 (  9.6%) | loss: 2.619261 | trade:0.35 call:0.53 put:0.47 | ATM:0.33 OTM:0.67 | lr: 1.44e-04 | left: 217s
step 02150 (  9.8%) | loss: 2.609773 | trade:0.34 call:0.53 put:0.47 | ATM:0.33 OTM:0.67 | lr: 1.48e-04 | left: 216s
step 02200 ( 10.0%) | loss: 2.597352 | trade:0.40 call:0.53 put:0.47 | ATM:0.35 OTM:0.65 | lr: 1.50e-04 | left: 216s
step 02250 ( 10.3%) | loss: 2.606483 | trade:0.38 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 1.50e-04 | left: 215s
step 02300 ( 10.5%) | loss: 2.588111 | trade:0.33 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 215s
step 02350 ( 10.8%) | loss: 2.560979 | trade:0.34 call:0.53 put:0.47 | ATM:0.34 OTM:0.66 | lr: 1.50e-04 | left: 214s
step 02400 ( 11.1%) | loss: 2.555316 | trade:0.31 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 213s
step 02450 ( 11.4%) | loss: 2.581450 | trade:0.39 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 1.50e-04 | left: 213s
step 02500 ( 11.7%) | loss: 2.556787 | trade:0.39 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | lr: 1.50e-04 | left: 212s
step 02550 ( 11.9%) | loss: 2.557640 | trade:0.34 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 1.50e-04 | left: 211s
step 02600 ( 12.1%) | loss: 2.558447 | trade:0.34 call:0.54 put:0.46 | ATM:0.35 OTM:0.65 | lr: 1.50e-04 | left: 211s
step 02650 ( 12.3%) | loss: 2.552509 | trade:0.36 call:0.54 put:0.46 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 210s
step 02700 ( 12.7%) | loss: 2.554514 | trade:0.32 call:0.53 put:0.47 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 209s
step 02750 ( 13.0%) | loss: 2.542882 | trade:0.33 call:0.55 put:0.45 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 209s
step 02800 ( 13.3%) | loss: 2.541859 | trade:0.35 call:0.54 put:0.46 | ATM:0.36 OTM:0.64 | lr: 1.50e-04 | left: 208s
step 02850 ( 13.5%) | loss: 2.548209 | trade:0.28 call:0.54 put:0.46 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 208s
step 02900 ( 13.7%) | loss: 2.539003 | trade:0.40 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 207s
step 02950 ( 13.9%) | loss: 2.538979 | trade:0.37 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 207s
step 03000 ( 14.1%) | loss: 2.533247 | trade:0.40 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 206s
step 03050 ( 14.4%) | loss: 2.530846 | trade:0.35 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 205s
step 03100 ( 14.7%) | loss: 2.522940 | trade:0.37 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 205s
step 03150 ( 14.9%) | loss: 2.509503 | trade:0.35 call:0.54 put:0.46 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 204s
step 03200 ( 15.1%) | loss: 2.524639 | trade:0.33 call:0.54 put:0.46 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 204s
step 03250 ( 15.3%) | loss: 2.522643 | trade:0.30 call:0.55 put:0.45 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 203s
step 03300 ( 15.6%) | loss: 2.538644 | trade:0.36 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 203s
