Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 00000 (  0.0%) | loss: 3.485689 | trade:0.20 call:0.49 put:0.51 | ATM:0.11 OTM:0.89 | stage:0 | lr: 0.00e+00 | left: 240s
step 00050 (  0.3%) | loss: 3.680841 | trade:0.21 call:0.49 put:0.51 | ATM:0.12 OTM:0.88 | stage:0 | lr: 5.13e-06 | left: 239s
step 00100 (  0.8%) | loss: 3.579134 | trade:0.23 call:0.49 put:0.51 | ATM:0.12 OTM:0.88 | stage:0 | lr: 1.27e-05 | left: 238s
step 00150 (  1.4%) | loss: 3.401056 | trade:0.30 call:0.49 put:0.51 | ATM:0.12 OTM:0.88 | stage:0 | lr: 2.04e-05 | left: 237s
step 00200 (  1.9%) | loss: 3.190331 | trade:0.41 call:0.48 put:0.52 | ATM:0.13 OTM:0.87 | stage:0 | lr: 2.80e-05 | left: 235s
step 00250 (  2.4%) | loss: 3.023328 | trade:0.53 call:0.50 put:0.50 | ATM:0.15 OTM:0.85 | stage:0 | lr: 3.56e-05 | left: 234s
step 00300 (  2.9%) | loss: 2.910863 | trade:0.53 call:0.52 put:0.48 | ATM:0.17 OTM:0.83 | stage:0 | lr: 4.30e-05 | left: 233s
step 00350 (  3.4%) | loss: 2.863035 | trade:0.53 call:0.54 put:0.46 | ATM:0.21 OTM:0.79 | stage:0 | lr: 5.04e-05 | left: 232s
step 00400 (  3.9%) | loss: 2.773530 | trade:0.53 call:0.56 put:0.44 | ATM:0.26 OTM:0.74 | stage:0 | lr: 5.80e-05 | left: 231s
step 00450 (  4.4%) | loss: 2.698998 | trade:0.51 call:0.56 put:0.44 | ATM:0.28 OTM:0.72 | stage:0 | lr: 6.56e-05 | left: 229s
step 00500 (  4.9%) | loss: 2.686631 | trade:0.51 call:0.59 put:0.41 | ATM:0.31 OTM:0.69 | stage:0 | lr: 7.32e-05 | left: 228s
step 00550 (  5.4%) | loss: 2.649449 | trade:0.53 call:0.58 put:0.42 | ATM:0.33 OTM:0.67 | stage:0 | lr: 8.07e-05 | left: 227s
step 00600 (  5.9%) | loss: 2.569857 | trade:0.53 call:0.58 put:0.42 | ATM:0.33 OTM:0.67 | stage:0 | lr: 8.83e-05 | left: 226s
step 00650 (  6.4%) | loss: 2.531789 | trade:0.53 call:0.59 put:0.41 | ATM:0.36 OTM:0.64 | stage:0 | lr: 9.58e-05 | left: 225s
step 00700 (  6.9%) | loss: 2.422655 | trade:0.50 call:0.61 put:0.39 | ATM:0.36 OTM:0.64 | stage:0 | lr: 1.03e-04 | left: 223s
step 00750 (  7.4%) | loss: 2.375332 | trade:0.49 call:0.63 put:0.37 | ATM:0.39 OTM:0.61 | stage:0 | lr: 1.11e-04 | left: 222s
step 00800 (  7.9%) | loss: 2.302126 | trade:0.50 call:0.56 put:0.44 | ATM:0.36 OTM:0.64 | stage:0 | lr: 1.18e-04 | left: 221s
step 00850 (  8.2%) | loss: 2.229717 | trade:0.49 call:0.64 put:0.36 | ATM:0.38 OTM:0.62 | stage:0 | lr: 1.23e-04 | left: 220s
step 00900 (  8.6%) | loss: 2.156583 | trade:0.49 call:0.60 put:0.40 | ATM:0.37 OTM:0.63 | stage:0 | lr: 1.29e-04 | left: 219s
step 00950 (  9.1%) | loss: 2.077074 | trade:0.46 call:0.66 put:0.34 | ATM:0.40 OTM:0.60 | stage:0 | lr: 1.36e-04 | left: 218s
step 01000 (  9.6%) | loss: 2.014836 | trade:0.48 call:0.66 put:0.34 | ATM:0.42 OTM:0.58 | stage:0 | lr: 1.44e-04 | left: 217s
step 01050 ( 10.1%) | loss: 1.912945 | trade:0.45 call:0.68 put:0.32 | ATM:0.42 OTM:0.58 | stage:0 | lr: 1.50e-04 | left: 216s
step 01100 ( 10.6%) | loss: 1.847232 | trade:0.44 call:0.68 put:0.32 | ATM:0.44 OTM:0.56 | stage:0 | lr: 1.50e-04 | left: 215s
step 01150 ( 11.1%) | loss: 1.798866 | trade:0.45 call:0.66 put:0.34 | ATM:0.44 OTM:0.56 | stage:0 | lr: 1.50e-04 | left: 213s
step 01200 ( 11.6%) | loss: 1.764064 | trade:0.46 call:0.66 put:0.34 | ATM:0.40 OTM:0.60 | stage:0 | lr: 1.50e-04 | left: 212s
step 01250 ( 12.1%) | loss: 1.687121 | trade:0.41 call:0.66 put:0.34 | ATM:0.44 OTM:0.56 | stage:0 | lr: 1.50e-04 | left: 211s
step 01300 ( 12.6%) | loss: 1.633302 | trade:0.38 call:0.71 put:0.29 | ATM:0.47 OTM:0.53 | stage:0 | lr: 1.50e-04 | left: 210s
step 01350 ( 13.1%) | loss: 1.585502 | trade:0.44 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | stage:0 | lr: 1.50e-04 | left: 209s
step 01400 ( 13.6%) | loss: 1.556656 | trade:0.42 call:0.63 put:0.37 | ATM:0.48 OTM:0.52 | stage:0 | lr: 1.50e-04 | left: 207s
step 01450 ( 14.1%) | loss: 1.529684 | trade:0.37 call:0.73 put:0.27 | ATM:0.47 OTM:0.53 | stage:0 | lr: 1.50e-04 | left: 206s
step 01500 ( 14.6%) | loss: 1.518267 | trade:0.50 call:0.65 put:0.35 | ATM:0.48 OTM:0.52 | stage:0 | lr: 1.50e-04 | left: 205s
step 01550 ( 15.1%) | loss: 1.464556 | trade:0.43 call:0.70 put:0.30 | ATM:0.49 OTM:0.51 | stage:0 | lr: 1.50e-04 | left: 204s
step 01600 ( 15.6%) | loss: 1.460082 | trade:0.43 call:0.67 put:0.33 | ATM:0.44 OTM:0.56 | stage:0 | lr: 1.50e-04 | left: 203s
step 01650 ( 16.1%) | loss: 1.436472 | trade:0.44 call:0.70 put:0.30 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 201s
step 01700 ( 16.6%) | loss: 1.400963 | trade:0.39 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 200s
