Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,097
Architecture: v4 simplified two-head (gate+dir) + conservative capital preservation
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.044758 | trade:0.24 call:0.49 put:0.51 | ATM:0.43 OTM:0.57 | lr: 0.00e+00 | left: 240s
step 00050 (  0.3%) | loss: 3.137747 | trade:0.25 call:0.49 put:0.51 | ATM:0.43 OTM:0.57 | lr: 5.20e-06 | left: 239s
step 00100 (  0.9%) | loss: 3.087236 | trade:0.27 call:0.49 put:0.51 | ATM:0.42 OTM:0.58 | lr: 1.31e-05 | left: 238s
step 00150 (  1.4%) | loss: 3.039828 | trade:0.35 call:0.49 put:0.51 | ATM:0.41 OTM:0.59 | lr: 2.09e-05 | left: 237s
step 00200 (  1.9%) | loss: 2.976600 | trade:0.42 call:0.50 put:0.50 | ATM:0.40 OTM:0.60 | lr: 2.87e-05 | left: 235s
step 00250 (  2.4%) | loss: 2.892348 | trade:0.44 call:0.52 put:0.48 | ATM:0.41 OTM:0.59 | lr: 3.65e-05 | left: 234s
step 00300 (  3.0%) | loss: 2.849618 | trade:0.45 call:0.54 put:0.46 | ATM:0.41 OTM:0.59 | lr: 4.45e-05 | left: 233s
step 00350 (  3.5%) | loss: 2.838672 | trade:0.43 call:0.54 put:0.46 | ATM:0.41 OTM:0.59 | lr: 5.24e-05 | left: 232s
step 00400 (  4.0%) | loss: 2.776064 | trade:0.44 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | lr: 6.02e-05 | left: 230s
step 00450 (  4.5%) | loss: 2.718856 | trade:0.41 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | lr: 6.81e-05 | left: 229s
step 00500 (  5.1%) | loss: 2.689588 | trade:0.43 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | lr: 7.60e-05 | left: 228s
step 00550 (  5.6%) | loss: 2.629026 | trade:0.42 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | lr: 8.38e-05 | left: 227s
step 00600 (  6.1%) | loss: 2.565308 | trade:0.43 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | lr: 9.14e-05 | left: 225s
step 00650 (  6.6%) | loss: 2.488447 | trade:0.45 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | lr: 9.92e-05 | left: 224s
step 00700 (  7.1%) | loss: 2.376453 | trade:0.42 call:0.59 put:0.41 | ATM:0.43 OTM:0.57 | lr: 1.07e-04 | left: 223s
