Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 320,344
Architecture: v4 multi-scale temporal feature processor
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 2.974950 | trade:0.46 call:0.57 put:0.43 | ATM:0.34 OTM:0.66 | lr: 0.00e+00 | left: 240s
step 00050 (  0.4%) | loss: 2.997558 | trade:0.46 call:0.57 put:0.43 | ATM:0.34 OTM:0.66 | lr: 6.68e-06 | left: 239s
step 00100 (  1.1%) | loss: 2.967233 | trade:0.45 call:0.56 put:0.44 | ATM:0.35 OTM:0.65 | lr: 1.70e-05 | left: 237s
step 00150 (  1.8%) | loss: 2.931009 | trade:0.44 call:0.54 put:0.46 | ATM:0.37 OTM:0.63 | lr: 2.73e-05 | left: 236s
step 00200 (  2.5%) | loss: 2.921626 | trade:0.45 call:0.53 put:0.47 | ATM:0.38 OTM:0.62 | lr: 3.76e-05 | left: 234s
step 00250 (  3.2%) | loss: 2.885073 | trade:0.45 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | lr: 4.79e-05 | left: 232s
step 00300 (  3.9%) | loss: 2.864054 | trade:0.45 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | lr: 5.82e-05 | left: 231s
step 00350 (  4.6%) | loss: 2.860205 | trade:0.45 call:0.55 put:0.45 | ATM:0.39 OTM:0.61 | lr: 6.85e-05 | left: 229s
step 00400 (  5.3%) | loss: 2.847431 | trade:0.45 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 7.88e-05 | left: 227s
step 00450 (  5.9%) | loss: 2.832272 | trade:0.43 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 8.91e-05 | left: 226s
step 00500 (  6.6%) | loss: 2.818023 | trade:0.44 call:0.56 put:0.44 | ATM:0.41 OTM:0.59 | lr: 9.93e-05 | left: 224s
step 00550 (  7.3%) | loss: 2.800674 | trade:0.46 call:0.52 put:0.48 | ATM:0.41 OTM:0.59 | lr: 1.10e-04 | left: 222s
step 00600 (  8.0%) | loss: 2.801747 | trade:0.43 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | lr: 1.20e-04 | left: 221s
step 00650 (  8.7%) | loss: 2.792883 | trade:0.46 call:0.54 put:0.46 | ATM:0.41 OTM:0.59 | lr: 1.30e-04 | left: 219s
step 00700 (  9.4%) | loss: 2.773976 | trade:0.46 call:0.59 put:0.41 | ATM:0.35 OTM:0.65 | lr: 1.40e-04 | left: 218s
step 00750 ( 10.0%) | loss: 2.779997 | trade:0.46 call:0.53 put:0.47 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 216s
step 00800 ( 10.7%) | loss: 2.734114 | trade:0.45 call:0.48 put:0.52 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 214s
step 00850 ( 11.4%) | loss: 2.751435 | trade:0.43 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 213s
step 00900 ( 12.1%) | loss: 2.725706 | trade:0.45 call:0.60 put:0.40 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 211s
step 00950 ( 12.8%) | loss: 2.701418 | trade:0.46 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 209s
step 01000 ( 13.5%) | loss: 2.667167 | trade:0.45 call:0.56 put:0.44 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 208s
step 01050 ( 14.2%) | loss: 2.668762 | trade:0.45 call:0.51 put:0.49 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 206s
step 01100 ( 14.8%) | loss: 2.625507 | trade:0.43 call:0.49 put:0.51 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 204s
step 01150 ( 15.5%) | loss: 2.606509 | trade:0.42 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 203s
step 01200 ( 16.2%) | loss: 2.598427 | trade:0.45 call:0.60 put:0.40 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 201s
step 01250 ( 16.9%) | loss: 2.616846 | trade:0.45 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 199s
step 01300 ( 17.6%) | loss: 2.582547 | trade:0.45 call:0.51 put:0.49 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 198s
step 01350 ( 18.2%) | loss: 2.546733 | trade:0.47 call:0.54 put:0.46 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 196s
step 01400 ( 18.9%) | loss: 2.535554 | trade:0.45 call:0.56 put:0.44 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 195s
step 01450 ( 19.6%) | loss: 2.520916 | trade:0.45 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 193s
step 01500 ( 20.3%) | loss: 2.522517 | trade:0.45 call:0.61 put:0.39 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 191s
step 01550 ( 21.0%) | loss: 2.474043 | trade:0.45 call:0.53 put:0.47 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 190s
step 01600 ( 21.6%) | loss: 2.486165 | trade:0.44 call:0.53 put:0.47 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 188s
step 01650 ( 22.1%) | loss: 2.456076 | trade:0.45 call:0.52 put:0.48 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 187s
step 01700 ( 22.4%) | loss: 2.486620 | trade:0.45 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 186s
step 01750 ( 22.9%) | loss: 2.447982 | trade:0.45 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 185s
step 01800 ( 23.2%) | loss: 2.421451 | trade:0.47 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 184s
step 01850 ( 23.5%) | loss: 2.435347 | trade:0.45 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 184s
step 01900 ( 23.8%) | loss: 2.429771 | trade:0.46 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 183s
step 01950 ( 24.1%) | loss: 2.412146 | trade:0.44 call:0.59 put:0.41 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 182s
step 02000 ( 24.4%) | loss: 2.405017 | trade:0.45 call:0.55 put:0.45 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 182s
step 02050 ( 24.7%) | loss: 2.375424 | trade:0.45 call:0.55 put:0.45 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 181s
step 02100 ( 25.0%) | loss: 2.384434 | trade:0.47 call:0.55 put:0.45 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 180s
step 02150 ( 25.5%) | loss: 2.349222 | trade:0.45 call:0.54 put:0.46 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 179s
step 02200 ( 25.9%) | loss: 2.354238 | trade:0.44 call:0.53 put:0.47 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 178s
step 02250 ( 26.3%) | loss: 2.350763 | trade:0.45 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 177s
step 02300 ( 26.7%) | loss: 2.318751 | trade:0.45 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 176s
step 02350 ( 27.0%) | loss: 2.337076 | trade:0.42 call:0.56 put:0.44 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 175s
step 02400 ( 27.5%) | loss: 2.306824 | trade:0.46 call:0.56 put:0.44 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 174s
step 02450 ( 27.9%) | loss: 2.285576 | trade:0.43 call:0.56 put:0.44 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 173s
step 02500 ( 28.2%) | loss: 2.272133 | trade:0.43 call:0.54 put:0.46 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 172s
step 02550 ( 28.7%) | loss: 2.267899 | trade:0.44 call:0.54 put:0.46 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 171s
step 02600 ( 29.3%) | loss: 2.283959 | trade:0.46 call:0.54 put:0.46 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 170s
step 02650 ( 29.7%) | loss: 2.233472 | trade:0.46 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 169s
step 02700 ( 30.3%) | loss: 2.261557 | trade:0.43 call:0.59 put:0.41 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 167s
step 02750 ( 31.0%) | loss: 2.240731 | trade:0.43 call:0.58 put:0.42 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 166s
step 02800 ( 31.6%) | loss: 2.262360 | trade:0.45 call:0.60 put:0.40 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 164s
step 02850 ( 32.1%) | loss: 2.245141 | trade:0.43 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 163s
step 02900 ( 32.4%) | loss: 2.216290 | trade:0.47 call:0.53 put:0.47 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 162s
step 02950 ( 32.8%) | loss: 2.212875 | trade:0.42 call:0.57 put:0.43 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 161s
step 03000 ( 33.5%) | loss: 2.199750 | trade:0.42 call:0.63 put:0.37 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 159s
step 03050 ( 34.2%) | loss: 2.237632 | trade:0.46 call:0.64 put:0.36 | ATM:0.35 OTM:0.65 | lr: 1.50e-04 | left: 158s
step 03100 ( 34.6%) | loss: 2.150970 | trade:0.43 call:0.56 put:0.44 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 157s
step 03150 ( 35.0%) | loss: 2.205677 | trade:0.44 call:0.53 put:0.47 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 156s
step 03200 ( 35.7%) | loss: 2.124836 | trade:0.44 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 154s
step 03250 ( 36.4%) | loss: 2.134027 | trade:0.45 call:0.55 put:0.45 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 153s
step 03300 ( 37.1%) | loss: 2.118231 | trade:0.43 call:0.62 put:0.38 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 151s
step 03350 ( 37.7%) | loss: 2.131105 | trade:0.42 call:0.58 put:0.42 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 149s
step 03400 ( 38.4%) | loss: 2.125587 | trade:0.45 call:0.60 put:0.40 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 148s
step 03450 ( 39.1%) | loss: 2.093269 | trade:0.44 call:0.57 put:0.43 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 146s
step 03500 ( 39.6%) | loss: 2.082466 | trade:0.44 call:0.60 put:0.40 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 145s
step 03550 ( 40.1%) | loss: 2.133649 | trade:0.42 call:0.56 put:0.44 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 144s
step 03600 ( 40.8%) | loss: 2.075142 | trade:0.42 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 142s
step 03650 ( 41.5%) | loss: 2.038076 | trade:0.42 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 140s
step 03700 ( 42.0%) | loss: 2.051118 | trade:0.45 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 139s
