Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Curriculum: 4 stages with 2.0x conservative boost
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 4.596425 | trade:0.02 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | stage:0 thresh:0.15 bias:3.00 | lr: 0.00e+00 | left: 240s
step 00050 (  0.3%) | loss: 4.984739 | trade:0.02 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | stage:0 thresh:0.15 bias:3.00 | lr: 3.83e-06 | left: 239s
step 00100 (  0.6%) | loss: 4.882782 | trade:0.02 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | stage:0 thresh:0.15 bias:3.00 | lr: 9.66e-06 | left: 238s
step 00150 (  1.2%) | loss: 4.774038 | trade:0.03 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | stage:0 thresh:0.15 bias:3.00 | lr: 1.74e-05 | left: 237s
step 00200 (  1.7%) | loss: 4.482385 | trade:0.04 call:0.43 put:0.57 | ATM:0.30 OTM:0.70 | stage:0 thresh:0.15 bias:3.00 | lr: 2.52e-05 | left: 236s
step 00250 (  2.2%) | loss: 4.014366 | trade:0.09 call:0.43 put:0.57 | ATM:0.31 OTM:0.69 | stage:0 thresh:0.15 bias:3.00 | lr: 3.30e-05 | left: 235s
step 00300 (  2.7%) | loss: 3.533706 | trade:0.19 call:0.45 put:0.55 | ATM:0.32 OTM:0.68 | stage:0 thresh:0.15 bias:3.00 | lr: 4.07e-05 | left: 233s
step 00350 (  3.2%) | loss: 3.215385 | trade:0.33 call:0.47 put:0.53 | ATM:0.34 OTM:0.66 | stage:0 thresh:0.15 bias:3.00 | lr: 4.85e-05 | left: 232s
step 00400 (  3.7%) | loss: 3.020820 | trade:0.41 call:0.52 put:0.48 | ATM:0.37 OTM:0.63 | stage:0 thresh:0.15 bias:3.00 | lr: 5.60e-05 | left: 231s
step 00450 (  4.2%) | loss: 2.930535 | trade:0.42 call:0.54 put:0.46 | ATM:0.37 OTM:0.63 | stage:0 thresh:0.15 bias:3.00 | lr: 6.36e-05 | left: 230s
step 00500 (  4.8%) | loss: 2.911153 | trade:0.41 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | stage:0 thresh:0.15 bias:3.00 | lr: 7.13e-05 | left: 229s
step 00550 (  5.3%) | loss: 2.867578 | trade:0.43 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | stage:0 thresh:0.15 bias:3.00 | lr: 7.89e-05 | left: 227s
step 00600 (  5.8%) | loss: 2.784257 | trade:0.42 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | stage:0 thresh:0.15 bias:3.00 | lr: 8.66e-05 | left: 226s
step 00650 (  6.1%) | loss: 2.733907 | trade:0.44 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | stage:0 thresh:0.15 bias:3.00 | lr: 9.19e-05 | left: 225s
step 00700 (  6.6%) | loss: 2.606068 | trade:0.42 call:0.59 put:0.41 | ATM:0.40 OTM:0.60 | stage:0 thresh:0.15 bias:3.00 | lr: 9.93e-05 | left: 224s
step 00750 (  6.9%) | loss: 2.554513 | trade:0.40 call:0.61 put:0.39 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.04e-04 | left: 223s
step 00800 (  7.2%) | loss: 2.474625 | trade:0.42 call:0.53 put:0.47 | ATM:0.39 OTM:0.61 | stage:0 thresh:0.15 bias:3.00 | lr: 1.08e-04 | left: 223s
step 00850 (  7.4%) | loss: 2.400329 | trade:0.41 call:0.61 put:0.39 | ATM:0.41 OTM:0.59 | stage:0 thresh:0.15 bias:3.00 | lr: 1.11e-04 | left: 222s
step 00900 (  7.7%) | loss: 2.335939 | trade:0.40 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | stage:0 thresh:0.15 bias:3.00 | lr: 1.15e-04 | left: 222s
step 00950 (  7.9%) | loss: 2.261785 | trade:0.38 call:0.63 put:0.37 | ATM:0.41 OTM:0.59 | stage:0 thresh:0.15 bias:3.00 | lr: 1.19e-04 | left: 221s
step 01000 (  8.2%) | loss: 2.166817 | trade:0.42 call:0.64 put:0.36 | ATM:0.44 OTM:0.56 | stage:0 thresh:0.15 bias:3.00 | lr: 1.22e-04 | left: 220s
step 01050 (  8.4%) | loss: 2.089516 | trade:0.39 call:0.66 put:0.34 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.26e-04 | left: 220s
step 01100 (  8.6%) | loss: 2.036410 | trade:0.38 call:0.66 put:0.34 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.29e-04 | left: 219s
step 01150 (  8.8%) | loss: 1.963653 | trade:0.39 call:0.64 put:0.36 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.32e-04 | left: 219s
step 01200 (  9.0%) | loss: 1.947062 | trade:0.39 call:0.64 put:0.36 | ATM:0.38 OTM:0.62 | stage:0 thresh:0.15 bias:3.00 | lr: 1.35e-04 | left: 218s
step 01250 (  9.3%) | loss: 1.855622 | trade:0.35 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.39e-04 | left: 218s
step 01300 (  9.5%) | loss: 1.816013 | trade:0.34 call:0.69 put:0.31 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.42e-04 | left: 217s
step 01350 (  9.7%) | loss: 1.761344 | trade:0.39 call:0.60 put:0.40 | ATM:0.39 OTM:0.61 | stage:0 thresh:0.15 bias:3.00 | lr: 1.45e-04 | left: 217s
step 01400 (  9.9%) | loss: 1.696839 | trade:0.37 call:0.63 put:0.37 | ATM:0.44 OTM:0.56 | stage:0 thresh:0.15 bias:3.00 | lr: 1.48e-04 | left: 216s
step 01450 ( 10.1%) | loss: 1.664120 | trade:0.33 call:0.73 put:0.27 | ATM:0.45 OTM:0.55 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 216s
step 01500 ( 10.3%) | loss: 1.642067 | trade:0.44 call:0.64 put:0.36 | ATM:0.45 OTM:0.55 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 215s
step 01550 ( 10.6%) | loss: 1.576589 | trade:0.37 call:0.67 put:0.33 | ATM:0.45 OTM:0.55 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 215s
step 01600 ( 10.8%) | loss: 1.554455 | trade:0.38 call:0.65 put:0.35 | ATM:0.41 OTM:0.59 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 214s
step 01650 ( 11.0%) | loss: 1.533884 | trade:0.39 call:0.69 put:0.31 | ATM:0.45 OTM:0.55 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 214s
step 01700 ( 11.2%) | loss: 1.500276 | trade:0.34 call:0.67 put:0.33 | ATM:0.47 OTM:0.53 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 213s
step 01750 ( 11.4%) | loss: 1.434140 | trade:0.36 call:0.70 put:0.30 | ATM:0.50 OTM:0.50 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 213s
step 01800 ( 11.6%) | loss: 1.461165 | trade:0.31 call:0.65 put:0.35 | ATM:0.48 OTM:0.52 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 212s
step 01850 ( 11.8%) | loss: 1.438055 | trade:0.37 call:0.68 put:0.32 | ATM:0.48 OTM:0.52 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 212s
step 01900 ( 12.0%) | loss: 1.403799 | trade:0.37 call:0.65 put:0.35 | ATM:0.46 OTM:0.54 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 211s
step 01950 ( 12.2%) | loss: 1.411006 | trade:0.32 call:0.64 put:0.36 | ATM:0.46 OTM:0.54 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 211s
step 02000 ( 12.4%) | loss: 1.359221 | trade:0.31 call:0.70 put:0.30 | ATM:0.48 OTM:0.52 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 210s
step 02050 ( 12.6%) | loss: 1.408169 | trade:0.34 call:0.69 put:0.31 | ATM:0.50 OTM:0.50 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 210s
step 02100 ( 12.9%) | loss: 1.350300 | trade:0.35 call:0.68 put:0.32 | ATM:0.49 OTM:0.51 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 209s
step 02150 ( 13.1%) | loss: 1.365571 | trade:0.34 call:0.67 put:0.33 | ATM:0.48 OTM:0.52 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 208s
step 02200 ( 13.4%) | loss: 1.351380 | trade:0.38 call:0.64 put:0.36 | ATM:0.42 OTM:0.58 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 208s
step 02250 ( 13.6%) | loss: 1.319829 | trade:0.35 call:0.69 put:0.31 | ATM:0.57 OTM:0.43 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 207s
step 02300 ( 14.0%) | loss: 1.316224 | trade:0.33 call:0.64 put:0.36 | ATM:0.50 OTM:0.50 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 206s
step 02350 ( 14.2%) | loss: 1.298117 | trade:0.34 call:0.72 put:0.28 | ATM:0.55 OTM:0.45 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 206s
step 02400 ( 14.4%) | loss: 1.283057 | trade:0.31 call:0.74 put:0.26 | ATM:0.46 OTM:0.54 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 205s
step 02450 ( 14.6%) | loss: 1.313035 | trade:0.39 call:0.70 put:0.30 | ATM:0.51 OTM:0.49 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 205s
step 02500 ( 14.9%) | loss: 1.306820 | trade:0.38 call:0.60 put:0.40 | ATM:0.50 OTM:0.50 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 204s
step 02550 ( 15.1%) | loss: 1.272855 | trade:0.33 call:0.63 put:0.37 | ATM:0.49 OTM:0.51 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 204s
step 02600 ( 15.4%) | loss: 1.281412 | trade:0.33 call:0.57 put:0.43 | ATM:0.50 OTM:0.50 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 203s
step 02650 ( 15.9%) | loss: 1.271434 | trade:0.36 call:0.65 put:0.35 | ATM:0.54 OTM:0.46 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 202s
step 02700 ( 16.4%) | loss: 1.266330 | trade:0.30 call:0.69 put:0.31 | ATM:0.53 OTM:0.47 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 201s
step 02750 ( 16.9%) | loss: 1.270305 | trade:0.36 call:0.57 put:0.43 | ATM:0.55 OTM:0.45 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 199s
step 02800 ( 17.4%) | loss: 1.271933 | trade:0.35 call:0.65 put:0.35 | ATM:0.54 OTM:0.46 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 198s
step 02850 ( 17.9%) | loss: 1.221025 | trade:0.26 call:0.69 put:0.31 | ATM:0.60 OTM:0.40 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 197s
step 02900 ( 18.4%) | loss: 1.228161 | trade:0.38 call:0.66 put:0.34 | ATM:0.51 OTM:0.49 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 196s
step 02950 ( 18.9%) | loss: 1.243085 | trade:0.35 call:0.64 put:0.36 | ATM:0.54 OTM:0.46 | stage:0 thresh:0.15 bias:3.00 | lr: 1.50e-04 | left: 195s
