Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + risk-aware curriculum
Risk curriculum: 4 stages, ruin weight=2.0
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.066108 | trade:0.25 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | lr: 0.00e+00 | stage:1 risk:0.1x | left: 240s
step 00050 (  0.3%) | loss: 3.237363 | trade:0.26 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | lr: 5.24e-06 | stage:1 risk:0.1x | left: 239s
step 00100 (  0.9%) | loss: 3.190342 | trade:0.28 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | lr: 1.31e-05 | stage:1 risk:0.1x | left: 238s
step 00150 (  1.4%) | loss: 3.147899 | trade:0.32 call:0.44 put:0.56 | ATM:0.30 OTM:0.70 | lr: 2.09e-05 | stage:1 risk:0.1x | left: 237s
step 00200 (  1.9%) | loss: 3.083583 | trade:0.35 call:0.46 put:0.54 | ATM:0.31 OTM:0.69 | lr: 2.85e-05 | stage:1 risk:0.1x | left: 235s
step 00250 (  2.4%) | loss: 3.018189 | trade:0.36 call:0.49 put:0.51 | ATM:0.33 OTM:0.67 | lr: 3.63e-05 | stage:1 risk:0.1x | left: 234s
step 00300 (  2.9%) | loss: 2.961942 | trade:0.36 call:0.53 put:0.47 | ATM:0.34 OTM:0.66 | lr: 4.40e-05 | stage:1 risk:0.1x | left: 233s
step 00350 (  3.5%) | loss: 2.934774 | trade:0.36 call:0.54 put:0.46 | ATM:0.35 OTM:0.65 | lr: 5.19e-05 | stage:1 risk:0.1x | left: 232s
step 00400 (  4.0%) | loss: 2.858780 | trade:0.35 call:0.57 put:0.43 | ATM:0.36 OTM:0.64 | lr: 5.97e-05 | stage:1 risk:0.1x | left: 230s
step 00450 (  4.5%) | loss: 2.797503 | trade:0.34 call:0.56 put:0.44 | ATM:0.37 OTM:0.63 | lr: 6.76e-05 | stage:1 risk:0.1x | left: 229s
step 00500 (  5.0%) | loss: 2.771513 | trade:0.34 call:0.58 put:0.42 | ATM:0.38 OTM:0.62 | lr: 7.51e-05 | stage:1 risk:0.1x | left: 228s
step 00550 (  5.5%) | loss: 2.715045 | trade:0.35 call:0.58 put:0.42 | ATM:0.39 OTM:0.61 | lr: 8.30e-05 | stage:1 risk:0.1x | left: 227s
step 00600 (  6.1%) | loss: 2.638506 | trade:0.35 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 9.08e-05 | stage:1 risk:0.1x | left: 225s
step 00650 (  6.6%) | loss: 2.594558 | trade:0.36 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | lr: 9.86e-05 | stage:1 risk:0.1x | left: 224s
step 00700 (  7.1%) | loss: 2.479516 | trade:0.34 call:0.60 put:0.40 | ATM:0.41 OTM:0.59 | lr: 1.06e-04 | stage:1 risk:0.1x | left: 223s
step 00750 (  7.6%) | loss: 2.422535 | trade:0.34 call:0.63 put:0.37 | ATM:0.45 OTM:0.55 | lr: 1.14e-04 | stage:1 risk:0.1x | left: 222s
step 00800 (  8.1%) | loss: 2.347336 | trade:0.37 call:0.54 put:0.46 | ATM:0.41 OTM:0.59 | lr: 1.22e-04 | stage:1 risk:0.1x | left: 221s
step 00850 (  8.6%) | loss: 2.269227 | trade:0.35 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | lr: 1.30e-04 | stage:1 risk:0.1x | left: 219s
step 00900 (  9.1%) | loss: 2.195196 | trade:0.36 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 1.37e-04 | stage:1 risk:0.1x | left: 218s
step 00950 (  9.7%) | loss: 2.107401 | trade:0.35 call:0.64 put:0.36 | ATM:0.43 OTM:0.57 | lr: 1.45e-04 | stage:1 risk:0.1x | left: 217s
step 01000 ( 10.2%) | loss: 2.041150 | trade:0.34 call:0.68 put:0.32 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 216s
step 01050 ( 10.7%) | loss: 1.942284 | trade:0.32 call:0.69 put:0.31 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 214s
step 01100 ( 11.2%) | loss: 1.886854 | trade:0.35 call:0.66 put:0.34 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 213s
step 01150 ( 11.7%) | loss: 1.828053 | trade:0.32 call:0.65 put:0.35 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 212s
step 01200 ( 12.3%) | loss: 1.811692 | trade:0.34 call:0.67 put:0.33 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 211s
step 01250 ( 12.8%) | loss: 1.720688 | trade:0.33 call:0.63 put:0.37 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 209s
step 01300 ( 13.3%) | loss: 1.689535 | trade:0.28 call:0.70 put:0.30 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 208s
step 01350 ( 13.8%) | loss: 1.635573 | trade:0.35 call:0.58 put:0.42 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 207s
step 01400 ( 14.3%) | loss: 1.588511 | trade:0.35 call:0.61 put:0.39 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 206s
step 01450 ( 14.9%) | loss: 1.580615 | trade:0.29 call:0.72 put:0.28 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 204s
step 01500 ( 15.4%) | loss: 1.565747 | trade:0.37 call:0.64 put:0.36 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 203s
step 01550 ( 15.9%) | loss: 1.518741 | trade:0.34 call:0.64 put:0.36 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 202s
step 01600 ( 16.4%) | loss: 1.503032 | trade:0.36 call:0.65 put:0.35 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 201s
step 01650 ( 16.9%) | loss: 1.488324 | trade:0.35 call:0.67 put:0.33 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 199s
step 01700 ( 17.5%) | loss: 1.454206 | trade:0.30 call:0.68 put:0.32 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 198s
step 01750 ( 18.0%) | loss: 1.405334 | trade:0.31 call:0.69 put:0.31 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 197s
step 01800 ( 18.5%) | loss: 1.425988 | trade:0.28 call:0.63 put:0.37 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 196s
step 01850 ( 19.0%) | loss: 1.416513 | trade:0.34 call:0.65 put:0.35 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 194s
step 01900 ( 19.5%) | loss: 1.384376 | trade:0.32 call:0.64 put:0.36 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 193s
step 01950 ( 20.0%) | loss: 1.399912 | trade:0.29 call:0.60 put:0.40 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 192s
step 02000 ( 20.6%) | loss: 1.354782 | trade:0.28 call:0.68 put:0.32 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 191s
step 02050 ( 21.1%) | loss: 1.390478 | trade:0.34 call:0.68 put:0.32 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 189s
step 02100 ( 21.6%) | loss: 1.345796 | trade:0.30 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 188s
step 02150 ( 22.1%) | loss: 1.369403 | trade:0.31 call:0.66 put:0.34 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 187s
step 02200 ( 22.6%) | loss: 1.357267 | trade:0.36 call:0.59 put:0.41 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | stage:1 risk:0.1x | left: 186s
