Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head + capital preservation gate
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.010478 | trade:0.36 call:0.47 put:0.53 | ATM:0.40 OTM:0.60 | lr: 0.00e+00 | left: 240s
step 00050 (  0.3%) | loss: 3.096376 | trade:0.36 call:0.47 put:0.53 | ATM:0.40 OTM:0.60 | lr: 5.12e-06 | left: 239s
step 00100 (  0.8%) | loss: 3.046853 | trade:0.39 call:0.47 put:0.53 | ATM:0.40 OTM:0.60 | lr: 1.27e-05 | left: 238s
step 00150 (  1.4%) | loss: 3.032034 | trade:0.41 call:0.48 put:0.52 | ATM:0.40 OTM:0.60 | lr: 2.03e-05 | left: 237s
step 00200 (  1.8%) | loss: 3.008984 | trade:0.44 call:0.50 put:0.50 | ATM:0.41 OTM:0.59 | lr: 2.72e-05 | left: 236s
step 00250 (  2.3%) | loss: 2.951670 | trade:0.45 call:0.52 put:0.48 | ATM:0.41 OTM:0.59 | lr: 3.48e-05 | left: 234s
step 00300 (  2.8%) | loss: 2.916491 | trade:0.45 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | lr: 4.23e-05 | left: 233s
step 00350 (  3.2%) | loss: 2.856486 | trade:0.46 call:0.56 put:0.44 | ATM:0.42 OTM:0.58 | lr: 4.85e-05 | left: 232s
step 00400 (  3.4%) | loss: 2.827824 | trade:0.43 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 | lr: 5.17e-05 | left: 232s
step 00450 (  3.7%) | loss: 2.770800 | trade:0.43 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | lr: 5.48e-05 | left: 231s
step 00500 (  3.9%) | loss: 2.711010 | trade:0.44 call:0.58 put:0.42 | ATM:0.43 OTM:0.57 | lr: 5.79e-05 | left: 231s
step 00550 (  4.1%) | loss: 2.676836 | trade:0.44 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 | lr: 6.10e-05 | left: 230s
step 00600 (  4.3%) | loss: 2.638627 | trade:0.44 call:0.61 put:0.39 | ATM:0.44 OTM:0.56 | lr: 6.46e-05 | left: 230s
step 00650 (  4.5%) | loss: 2.547148 | trade:0.41 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | lr: 6.78e-05 | left: 229s
step 00700 (  4.7%) | loss: 2.514070 | trade:0.44 call:0.56 put:0.44 | ATM:0.43 OTM:0.57 | lr: 7.10e-05 | left: 229s
step 00750 (  4.9%) | loss: 2.448994 | trade:0.45 call:0.58 put:0.42 | ATM:0.44 OTM:0.56 | lr: 7.40e-05 | left: 228s
step 00800 (  5.1%) | loss: 2.374537 | trade:0.44 call:0.56 put:0.44 | ATM:0.44 OTM:0.56 | lr: 7.72e-05 | left: 228s
step 00850 (  5.3%) | loss: 2.353366 | trade:0.39 call:0.59 put:0.41 | ATM:0.44 OTM:0.56 | lr: 8.01e-05 | left: 227s
step 00900 (  5.5%) | loss: 2.271823 | trade:0.43 call:0.62 put:0.38 | ATM:0.45 OTM:0.55 | lr: 8.31e-05 | left: 227s
step 00950 (  5.7%) | loss: 2.208888 | trade:0.44 call:0.58 put:0.42 | ATM:0.45 OTM:0.55 | lr: 8.61e-05 | left: 226s
step 01000 (  6.0%) | loss: 2.148830 | trade:0.42 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | lr: 8.93e-05 | left: 226s
step 01050 (  6.2%) | loss: 2.081548 | trade:0.41 call:0.62 put:0.38 | ATM:0.44 OTM:0.56 | lr: 9.25e-05 | left: 225s
step 01100 (  6.4%) | loss: 2.023775 | trade:0.41 call:0.58 put:0.42 | ATM:0.44 OTM:0.56 | lr: 9.56e-05 | left: 225s
step 01150 (  6.6%) | loss: 1.949161 | trade:0.41 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | lr: 9.85e-05 | left: 224s
step 01200 (  6.8%) | loss: 1.889348 | trade:0.41 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | lr: 1.02e-04 | left: 224s
step 01250 (  7.0%) | loss: 1.853854 | trade:0.46 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 1.04e-04 | left: 223s
step 01300 (  7.2%) | loss: 1.808346 | trade:0.39 call:0.65 put:0.35 | ATM:0.46 OTM:0.54 | lr: 1.07e-04 | left: 223s
