Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,409
Architecture: v4 simplified two-head (gate+dir) + conviction gating
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 2.994944 | trade:0.26 call:0.48 put:0.52 | ATM:0.28 OTM:0.72 | lr: 0.00e+00 | left: 240s
step 00050 (  0.4%) | loss: 3.208274 | trade:0.26 call:0.49 put:0.51 | ATM:0.28 OTM:0.72 | lr: 5.53e-06 | left: 239s
step 00100 (  0.9%) | loss: 3.140709 | trade:0.30 call:0.48 put:0.52 | ATM:0.29 OTM:0.71 | lr: 1.33e-05 | left: 238s
step 00150 (  1.4%) | loss: 3.071705 | trade:0.36 call:0.49 put:0.51 | ATM:0.30 OTM:0.70 | lr: 2.12e-05 | left: 237s
step 00200 (  1.9%) | loss: 3.010593 | trade:0.41 call:0.50 put:0.50 | ATM:0.32 OTM:0.68 | lr: 2.91e-05 | left: 235s
step 00250 (  2.5%) | loss: 2.935061 | trade:0.43 call:0.53 put:0.47 | ATM:0.36 OTM:0.64 | lr: 3.70e-05 | left: 234s
step 00300 (  3.0%) | loss: 2.882532 | trade:0.43 call:0.54 put:0.46 | ATM:0.36 OTM:0.64 | lr: 4.49e-05 | left: 233s
step 00350 (  3.5%) | loss: 2.863750 | trade:0.44 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | lr: 5.28e-05 | left: 232s
step 00400 (  4.0%) | loss: 2.774154 | trade:0.45 call:0.55 put:0.45 | ATM:0.38 OTM:0.62 | lr: 6.07e-05 | left: 230s
step 00450 (  4.5%) | loss: 2.731308 | trade:0.43 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 6.80e-05 | left: 229s
step 00500 (  4.8%) | loss: 2.696288 | trade:0.44 call:0.57 put:0.43 | ATM:0.39 OTM:0.61 | lr: 7.21e-05 | left: 228s
step 00550 (  5.2%) | loss: 2.637395 | trade:0.43 call:0.56 put:0.44 | ATM:0.39 OTM:0.61 | lr: 7.84e-05 | left: 227s
step 00600 (  5.8%) | loss: 2.564211 | trade:0.43 call:0.55 put:0.45 | ATM:0.40 OTM:0.60 | lr: 8.63e-05 | left: 226s
step 00650 (  6.3%) | loss: 2.505319 | trade:0.44 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | lr: 9.42e-05 | left: 225s
step 00700 (  6.8%) | loss: 2.408468 | trade:0.42 call:0.60 put:0.40 | ATM:0.40 OTM:0.60 | lr: 1.02e-04 | left: 224s
step 00750 (  7.3%) | loss: 2.340280 | trade:0.41 call:0.63 put:0.37 | ATM:0.45 OTM:0.55 | lr: 1.10e-04 | left: 222s
step 00800 (  7.9%) | loss: 2.273575 | trade:0.41 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | lr: 1.18e-04 | left: 221s
step 00850 (  8.4%) | loss: 2.219373 | trade:0.40 call:0.60 put:0.40 | ATM:0.39 OTM:0.61 | lr: 1.26e-04 | left: 220s
step 00900 (  8.9%) | loss: 2.133834 | trade:0.44 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | lr: 1.34e-04 | left: 219s
step 00950 (  9.4%) | loss: 2.028360 | trade:0.38 call:0.66 put:0.34 | ATM:0.41 OTM:0.59 | lr: 1.42e-04 | left: 217s
step 01000 ( 10.0%) | loss: 1.957907 | trade:0.41 call:0.63 put:0.37 | ATM:0.44 OTM:0.56 | lr: 1.49e-04 | left: 216s
step 01050 ( 10.5%) | loss: 1.877119 | trade:0.40 call:0.68 put:0.32 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 215s
step 01100 ( 11.0%) | loss: 1.834606 | trade:0.40 call:0.68 put:0.32 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 214s
step 01150 ( 11.6%) | loss: 1.752710 | trade:0.41 call:0.63 put:0.37 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 212s
step 01200 ( 12.1%) | loss: 1.721024 | trade:0.42 call:0.67 put:0.33 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 211s
step 01250 ( 12.6%) | loss: 1.650212 | trade:0.38 call:0.66 put:0.34 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 210s
step 01300 ( 13.1%) | loss: 1.616832 | trade:0.36 call:0.69 put:0.31 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 208s
step 01350 ( 13.7%) | loss: 1.562247 | trade:0.37 call:0.61 put:0.39 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 207s
step 01400 ( 14.2%) | loss: 1.562155 | trade:0.41 call:0.62 put:0.38 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 206s
step 01450 ( 14.7%) | loss: 1.553400 | trade:0.31 call:0.73 put:0.27 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 205s
step 01500 ( 15.2%) | loss: 1.520358 | trade:0.39 call:0.65 put:0.35 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 204s
step 01550 ( 15.7%) | loss: 1.455688 | trade:0.40 call:0.71 put:0.29 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 202s
step 01600 ( 16.2%) | loss: 1.458011 | trade:0.40 call:0.67 put:0.33 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 201s
step 01650 ( 16.8%) | loss: 1.460726 | trade:0.39 call:0.67 put:0.33 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 200s
step 01700 ( 17.3%) | loss: 1.415952 | trade:0.36 call:0.66 put:0.34 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 198s
