Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Curriculum learning: enabled
  Stages: 3 | Selectivity growth: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.085122 | trade:0.25 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | lr: 0.00e+00 | left: 240s | cur_stage:0 thresh:0.000
step 00050 (  0.3%) | loss: 3.242214 | trade:0.26 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | lr: 5.20e-06 | left: 239s | cur_stage:0 thresh:0.000
step 00100 (  0.8%) | loss: 3.187603 | trade:0.28 call:0.43 put:0.57 | ATM:0.29 OTM:0.71 | lr: 1.27e-05 | left: 238s | cur_stage:0 thresh:0.000
step 00150 (  1.4%) | loss: 3.136587 | trade:0.34 call:0.44 put:0.56 | ATM:0.30 OTM:0.70 | lr: 2.04e-05 | left: 237s | cur_stage:0 thresh:0.000
step 00200 (  1.9%) | loss: 3.051061 | trade:0.39 call:0.45 put:0.55 | ATM:0.31 OTM:0.69 | lr: 2.81e-05 | left: 235s | cur_stage:0 thresh:0.000
step 00250 (  2.4%) | loss: 2.968823 | trade:0.44 call:0.48 put:0.52 | ATM:0.33 OTM:0.67 | lr: 3.57e-05 | left: 234s | cur_stage:0 thresh:0.000
step 00300 (  2.9%) | loss: 2.907055 | trade:0.44 call:0.52 put:0.48 | ATM:0.34 OTM:0.66 | lr: 4.34e-05 | left: 233s | cur_stage:0 thresh:0.000
step 00350 (  3.4%) | loss: 2.875640 | trade:0.44 call:0.54 put:0.46 | ATM:0.36 OTM:0.64 | lr: 5.10e-05 | left: 232s | cur_stage:0 thresh:0.000
step 00400 (  3.9%) | loss: 2.800693 | trade:0.43 call:0.57 put:0.43 | ATM:0.37 OTM:0.63 | lr: 5.86e-05 | left: 231s | cur_stage:0 thresh:0.000
step 00450 (  4.4%) | loss: 2.744125 | trade:0.42 call:0.56 put:0.44 | ATM:0.38 OTM:0.62 | lr: 6.63e-05 | left: 229s | cur_stage:0 thresh:0.000
step 00500 (  4.9%) | loss: 2.715958 | trade:0.42 call:0.58 put:0.42 | ATM:0.39 OTM:0.61 | lr: 7.38e-05 | left: 228s | cur_stage:0 thresh:0.000
step 00550 (  5.4%) | loss: 2.665427 | trade:0.42 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | lr: 8.14e-05 | left: 227s | cur_stage:0 thresh:0.000
step 00600 (  5.9%) | loss: 2.588066 | trade:0.44 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | lr: 8.90e-05 | left: 226s | cur_stage:0 thresh:0.000
step 00650 (  6.4%) | loss: 2.543697 | trade:0.44 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | lr: 9.66e-05 | left: 225s | cur_stage:0 thresh:0.000
step 00700 (  7.0%) | loss: 2.429768 | trade:0.42 call:0.60 put:0.40 | ATM:0.42 OTM:0.58 | lr: 1.04e-04 | left: 223s | cur_stage:0 thresh:0.000
step 00750 (  7.5%) | loss: 2.376739 | trade:0.41 call:0.62 put:0.38 | ATM:0.46 OTM:0.54 | lr: 1.12e-04 | left: 222s | cur_stage:0 thresh:0.000
step 00800 (  8.0%) | loss: 2.304600 | trade:0.44 call:0.54 put:0.46 | ATM:0.42 OTM:0.58 | lr: 1.20e-04 | left: 221s | cur_stage:0 thresh:0.000
step 00850 (  8.5%) | loss: 2.223220 | trade:0.43 call:0.63 put:0.37 | ATM:0.43 OTM:0.57 | lr: 1.27e-04 | left: 220s | cur_stage:0 thresh:0.000
step 00900 (  9.0%) | loss: 2.148619 | trade:0.43 call:0.60 put:0.40 | ATM:0.42 OTM:0.58 | lr: 1.35e-04 | left: 218s | cur_stage:0 thresh:0.000
step 00950 (  9.5%) | loss: 2.057553 | trade:0.40 call:0.65 put:0.35 | ATM:0.44 OTM:0.56 | lr: 1.42e-04 | left: 217s | cur_stage:0 thresh:0.000
step 01000 ( 10.0%) | loss: 1.990935 | trade:0.40 call:0.67 put:0.33 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 216s | cur_stage:0 thresh:0.000
step 01050 ( 10.5%) | loss: 1.897409 | trade:0.38 call:0.68 put:0.32 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 215s | cur_stage:0 thresh:0.000
step 01100 ( 11.0%) | loss: 1.838108 | trade:0.41 call:0.66 put:0.34 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 214s | cur_stage:0 thresh:0.000
step 01150 ( 11.5%) | loss: 1.776194 | trade:0.39 call:0.66 put:0.34 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 212s | cur_stage:0 thresh:0.000
step 01200 ( 12.0%) | loss: 1.759332 | trade:0.39 call:0.67 put:0.33 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 211s | cur_stage:0 thresh:0.000
step 01250 ( 12.5%) | loss: 1.675159 | trade:0.38 call:0.63 put:0.37 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 210s | cur_stage:0 thresh:0.000
step 01300 ( 13.0%) | loss: 1.634168 | trade:0.33 call:0.70 put:0.30 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 209s | cur_stage:0 thresh:0.000
step 01350 ( 13.5%) | loss: 1.579161 | trade:0.40 call:0.58 put:0.42 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 208s | cur_stage:0 thresh:0.000
step 01400 ( 14.0%) | loss: 1.539675 | trade:0.39 call:0.61 put:0.39 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 206s | cur_stage:0 thresh:0.000
