Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 147,935
Architecture: v4 simplified two-head (gate+dir) + adaptive stop loss gating
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.315222 | trade:0.21 call:0.57 put:0.43 | ATM:0.20 OTM:0.80 | lr: 0.00e+00 | left: 240s
step 00050 (  0.3%) | loss: 3.430420 | trade:0.21 call:0.57 put:0.43 | ATM:0.21 OTM:0.79 | lr: 4.77e-06 | left: 239s
step 00100 (  0.6%) | loss: 3.355468 | trade:0.22 call:0.57 put:0.43 | ATM:0.21 OTM:0.79 | lr: 9.36e-06 | left: 238s
step 00150 (  1.1%) | loss: 3.241485 | trade:0.25 call:0.57 put:0.43 | ATM:0.24 OTM:0.76 | lr: 1.58e-05 | left: 237s
step 00200 (  1.6%) | loss: 3.165883 | trade:0.29 call:0.57 put:0.43 | ATM:0.27 OTM:0.73 | lr: 2.38e-05 | left: 236s
step 00250 (  1.8%) | loss: 3.004640 | trade:0.34 call:0.58 put:0.42 | ATM:0.33 OTM:0.67 | lr: 2.75e-05 | left: 236s
step 00300 (  2.1%) | loss: 2.917063 | trade:0.39 call:0.59 put:0.41 | ATM:0.37 OTM:0.63 | lr: 3.09e-05 | left: 235s
step 00350 (  2.3%) | loss: 2.862465 | trade:0.43 call:0.59 put:0.41 | ATM:0.39 OTM:0.61 | lr: 3.44e-05 | left: 234s
step 00400 (  2.6%) | loss: 2.812363 | trade:0.43 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 3.83e-05 | left: 234s
step 00450 (  2.8%) | loss: 2.759943 | trade:0.44 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | lr: 4.16e-05 | left: 233s
step 00500 (  3.0%) | loss: 2.731475 | trade:0.43 call:0.58 put:0.42 | ATM:0.42 OTM:0.58 | lr: 4.52e-05 | left: 233s
