Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Curriculum: enabled with 4 stages
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.425159 | trade:0.11 call:0.47 put:0.53 | ATM:0.37 OTM:0.63 | lr: 0.00e+00 | stage:1 | left: 240s
step 00050 (  0.3%) | loss: 3.641281 | trade:0.11 call:0.47 put:0.53 | ATM:0.37 OTM:0.63 | lr: 5.13e-06 | stage:1 | left: 239s
step 00100 (  0.9%) | loss: 3.554249 | trade:0.13 call:0.46 put:0.54 | ATM:0.37 OTM:0.63 | lr: 1.28e-05 | stage:1 | left: 238s
step 00150 (  1.4%) | loss: 3.452210 | trade:0.18 call:0.46 put:0.54 | ATM:0.37 OTM:0.63 | lr: 2.05e-05 | stage:1 | left: 237s
step 00200 (  1.9%) | loss: 3.240059 | trade:0.26 call:0.46 put:0.54 | ATM:0.37 OTM:0.63 | lr: 2.82e-05 | stage:1 | left: 235s
step 00250 (  2.4%) | loss: 3.050053 | trade:0.40 call:0.47 put:0.53 | ATM:0.38 OTM:0.62 | lr: 3.58e-05 | stage:1 | left: 234s
step 00300 (  2.9%) | loss: 2.961860 | trade:0.44 call:0.50 put:0.50 | ATM:0.38 OTM:0.62 | lr: 4.35e-05 | stage:1 | left: 233s
step 00350 (  3.4%) | loss: 2.930319 | trade:0.44 call:0.52 put:0.48 | ATM:0.39 OTM:0.61 | lr: 5.11e-05 | stage:1 | left: 232s
step 00400 (  3.9%) | loss: 2.862025 | trade:0.42 call:0.55 put:0.45 | ATM:0.39 OTM:0.61 | lr: 5.87e-05 | stage:1 | left: 231s
step 00450 (  4.4%) | loss: 2.803403 | trade:0.42 call:0.54 put:0.46 | ATM:0.39 OTM:0.61 | lr: 6.64e-05 | stage:1 | left: 229s
step 00500 (  4.9%) | loss: 2.778980 | trade:0.41 call:0.57 put:0.43 | ATM:0.40 OTM:0.60 | lr: 7.40e-05 | stage:1 | left: 228s
step 00550 (  5.4%) | loss: 2.730428 | trade:0.42 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | lr: 8.16e-05 | stage:1 | left: 227s
step 00600 (  6.0%) | loss: 2.647722 | trade:0.43 call:0.56 put:0.44 | ATM:0.40 OTM:0.60 | lr: 8.93e-05 | stage:1 | left: 226s
step 00650 (  6.5%) | loss: 2.601764 | trade:0.44 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | lr: 9.69e-05 | stage:1 | left: 224s
step 00700 (  7.0%) | loss: 2.479826 | trade:0.41 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 1.04e-04 | stage:1 | left: 223s
step 00750 (  7.5%) | loss: 2.424511 | trade:0.40 call:0.61 put:0.39 | ATM:0.45 OTM:0.55 | lr: 1.12e-04 | stage:1 | left: 222s
step 00800 (  8.0%) | loss: 2.333488 | trade:0.42 call:0.54 put:0.46 | ATM:0.41 OTM:0.59 | lr: 1.20e-04 | stage:1 | left: 221s
step 00850 (  8.5%) | loss: 2.262065 | trade:0.42 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | lr: 1.27e-04 | stage:1 | left: 220s
step 00900 (  9.0%) | loss: 2.185139 | trade:0.41 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 1.35e-04 | stage:1 | left: 218s
step 00950 (  9.5%) | loss: 2.103727 | trade:0.39 call:0.64 put:0.36 | ATM:0.42 OTM:0.58 | lr: 1.43e-04 | stage:1 | left: 217s
step 01000 ( 10.0%) | loss: 2.008924 | trade:0.42 call:0.67 put:0.33 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 | left: 216s
step 01050 ( 10.5%) | loss: 1.925864 | trade:0.38 call:0.69 put:0.31 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | stage:1 | left: 215s
step 01100 ( 11.0%) | loss: 1.863280 | trade:0.39 call:0.67 put:0.33 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | stage:1 | left: 214s
step 01150 ( 11.5%) | loss: 1.795755 | trade:0.39 call:0.66 put:0.34 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | stage:1 | left: 212s
step 01200 ( 12.0%) | loss: 1.787345 | trade:0.38 call:0.67 put:0.33 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | stage:1 | left: 211s
step 01250 ( 12.5%) | loss: 1.699078 | trade:0.37 call:0.63 put:0.37 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | stage:1 | left: 210s
step 01300 ( 13.1%) | loss: 1.672412 | trade:0.33 call:0.70 put:0.30 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 | left: 209s
step 01350 ( 13.6%) | loss: 1.612081 | trade:0.39 call:0.61 put:0.39 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | stage:1 | left: 207s
step 01400 ( 14.1%) | loss: 1.559551 | trade:0.37 call:0.63 put:0.37 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | stage:1 | left: 206s
step 01450 ( 14.5%) | loss: 1.546629 | trade:0.34 call:0.73 put:0.27 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | stage:1 | left: 205s
step 01500 ( 15.0%) | loss: 1.533781 | trade:0.42 call:0.65 put:0.35 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | stage:1 | left: 204s
step 01550 ( 15.5%) | loss: 1.473494 | trade:0.38 call:0.66 put:0.34 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | stage:1 | left: 203s
step 01600 ( 16.0%) | loss: 1.457107 | trade:0.37 call:0.65 put:0.35 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 | left: 201s
step 01650 ( 16.5%) | loss: 1.449746 | trade:0.39 call:0.68 put:0.32 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 | left: 200s
step 01700 ( 17.1%) | loss: 1.422047 | trade:0.33 call:0.68 put:0.32 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 | left: 199s
step 01750 ( 17.6%) | loss: 1.362965 | trade:0.36 call:0.70 put:0.30 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:1 | left: 198s
step 01800 ( 18.1%) | loss: 1.391175 | trade:0.31 call:0.64 put:0.36 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 197s
step 01850 ( 18.6%) | loss: 1.374718 | trade:0.36 call:0.66 put:0.34 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 | left: 195s
step 01900 ( 19.1%) | loss: 1.347252 | trade:0.36 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:1 | left: 194s
step 01950 ( 19.6%) | loss: 1.353276 | trade:0.33 call:0.62 put:0.38 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 | left: 193s
step 02000 ( 20.1%) | loss: 1.308974 | trade:0.32 call:0.69 put:0.31 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 192s
step 02050 ( 20.6%) | loss: 1.349564 | trade:0.36 call:0.68 put:0.32 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 191s
step 02100 ( 21.1%) | loss: 1.300677 | trade:0.35 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 189s
step 02150 ( 21.6%) | loss: 1.319410 | trade:0.34 call:0.67 put:0.33 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 188s
step 02200 ( 22.1%) | loss: 1.311608 | trade:0.39 call:0.62 put:0.38 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | stage:1 | left: 187s
step 02250 ( 22.6%) | loss: 1.276989 | trade:0.35 call:0.67 put:0.33 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 186s
step 02300 ( 23.1%) | loss: 1.270458 | trade:0.33 call:0.63 put:0.37 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 184s
step 02350 ( 23.6%) | loss: 1.260887 | trade:0.34 call:0.70 put:0.30 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 183s
step 02400 ( 24.1%) | loss: 1.246413 | trade:0.31 call:0.73 put:0.27 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:1 | left: 182s
step 02450 ( 24.7%) | loss: 1.274510 | trade:0.39 call:0.67 put:0.33 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 181s
step 02500 ( 25.2%) | loss: 1.264195 | trade:0.38 call:0.58 put:0.42 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 180s
step 02550 ( 25.7%) | loss: 1.239407 | trade:0.33 call:0.60 put:0.40 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:1 | left: 178s
step 02600 ( 26.1%) | loss: 1.242151 | trade:0.33 call:0.56 put:0.44 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:1 | left: 177s
step 02650 ( 26.7%) | loss: 1.235089 | trade:0.36 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 176s
step 02700 ( 27.2%) | loss: 1.238148 | trade:0.31 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 | left: 175s
step 02750 ( 27.7%) | loss: 1.242870 | trade:0.37 call:0.54 put:0.46 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 174s
step 02800 ( 28.2%) | loss: 1.240432 | trade:0.34 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 172s
step 02850 ( 28.7%) | loss: 1.193742 | trade:0.27 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:1 | left: 171s
step 02900 ( 29.2%) | loss: 1.196519 | trade:0.37 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:1 | left: 170s
step 02950 ( 29.7%) | loss: 1.214841 | trade:0.35 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 | left: 169s
step 03000 ( 30.2%) | loss: 1.211651 | trade:0.39 call:0.57 put:0.43 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 167s
step 03050 ( 30.7%) | loss: 1.195169 | trade:0.35 call:0.63 put:0.37 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 166s
step 03100 ( 31.2%) | loss: 1.199877 | trade:0.36 call:0.66 put:0.34 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:1 | left: 165s
step 03150 ( 31.7%) | loss: 1.177524 | trade:0.36 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:1 | left: 164s
step 03200 ( 32.2%) | loss: 1.195246 | trade:0.33 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:1 | left: 163s
step 03250 ( 32.7%) | loss: 1.209596 | trade:0.27 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 161s
step 03300 ( 33.2%) | loss: 1.186866 | trade:0.36 call:0.68 put:0.32 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 160s
step 03350 ( 33.8%) | loss: 1.188835 | trade:0.30 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:1 | left: 159s
step 03400 ( 34.3%) | loss: 1.163552 | trade:0.33 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 158s
step 03450 ( 34.8%) | loss: 1.155620 | trade:0.33 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 157s
step 03500 ( 35.3%) | loss: 1.165519 | trade:0.32 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 155s
step 03550 ( 35.8%) | loss: 1.184190 | trade:0.35 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:1 | left: 154s
step 03600 ( 36.3%) | loss: 1.177113 | trade:0.31 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 153s
step 03650 ( 36.8%) | loss: 1.168560 | trade:0.31 call:0.66 put:0.34 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:1 | left: 152s
step 03700 ( 37.3%) | loss: 1.169274 | trade:0.35 call:0.64 put:0.36 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 150s
step 03750 ( 37.8%) | loss: 1.191017 | trade:0.27 call:0.65 put:0.35 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:1 | left: 149s
step 03800 ( 38.3%) | loss: 1.162826 | trade:0.34 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 148s
step 03850 ( 38.8%) | loss: 1.148785 | trade:0.34 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 147s
step 03900 ( 39.3%) | loss: 1.141902 | trade:0.39 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:1 | left: 146s
step 03950 ( 39.8%) | loss: 1.127153 | trade:0.26 call:0.67 put:0.33 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:1 | left: 144s
step 04000 ( 40.3%) | loss: 1.141227 | trade:0.34 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:1 | left: 143s
step 04050 ( 40.9%) | loss: 1.151724 | trade:0.36 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:1 | left: 142s
step 04100 ( 41.4%) | loss: 1.143791 | trade:0.29 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:1 | left: 141s
step 04150 ( 41.9%) | loss: 1.118266 | trade:0.31 call:0.57 put:0.43 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | stage:1 | left: 139s
step 04200 ( 42.4%) | loss: 1.122042 | trade:0.31 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:1 | left: 138s
step 04250 ( 42.9%) | loss: 1.123878 | trade:0.31 call:0.59 put:0.41 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:1 | left: 137s
step 04300 ( 43.4%) | loss: 1.144210 | trade:0.39 call:0.60 put:0.40 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:1 | left: 136s
step 04350 ( 43.9%) | loss: 1.117598 | trade:0.29 call:0.65 put:0.35 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:1 | left: 135s
