Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch with progressive feature masking curriculum.

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Curriculum stages: 4

step 00000 (  0.0%) | loss: 3.071674 | trade:0.25 call:0.47 put:0.53 | ATM:0.31 OTM:0.69 | stage:Core | lr: 0.00e+00 | left: 240s
step 00050 (  0.2%) | loss: 3.190612 | trade:0.26 call:0.47 put:0.53 | ATM:0.31 OTM:0.69 | stage:Core | lr: 2.62e-06 | left: 240s
step 00100 (  0.4%) | loss: 3.147311 | trade:0.27 call:0.46 put:0.54 | ATM:0.31 OTM:0.69 | stage:Core | lr: 5.80e-06 | left: 239s
step 00150 (  0.6%) | loss: 3.129675 | trade:0.31 call:0.47 put:0.53 | ATM:0.31 OTM:0.69 | stage:Core | lr: 8.83e-06 | left: 239s
step 00200 (  0.8%) | loss: 3.071133 | trade:0.35 call:0.47 put:0.53 | ATM:0.32 OTM:0.68 | stage:Core | lr: 1.17e-05 | left: 238s
step 00250 (  1.0%) | loss: 2.998470 | trade:0.40 call:0.48 put:0.52 | ATM:0.33 OTM:0.67 | stage:Core | lr: 1.46e-05 | left: 238s
step 00300 (  1.2%) | loss: 2.959831 | trade:0.43 call:0.49 put:0.51 | ATM:0.33 OTM:0.67 | stage:Core | lr: 1.76e-05 | left: 237s
step 00350 (  1.4%) | loss: 2.961659 | trade:0.44 call:0.51 put:0.49 | ATM:0.34 OTM:0.66 | stage:Core | lr: 2.06e-05 | left: 237s
step 00400 (  1.6%) | loss: 2.925985 | trade:0.43 call:0.52 put:0.48 | ATM:0.35 OTM:0.65 | stage:Core | lr: 2.36e-05 | left: 236s
step 00450 (  1.8%) | loss: 2.892068 | trade:0.45 call:0.53 put:0.47 | ATM:0.36 OTM:0.64 | stage:Core | lr: 2.64e-05 | left: 236s
step 00500 (  2.0%) | loss: 2.902476 | trade:0.44 call:0.54 put:0.46 | ATM:0.36 OTM:0.64 | stage:Core | lr: 2.95e-05 | left: 235s
