Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Temporal chunks: 4 chunks for robustness training
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + temporal robustness
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Temporal robustness weight: 0.15
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.093506 | trade:0.27 call:0.45 put:0.55 | ATM:0.23 OTM:0.77 | lr: 0.00e+00 | left: 240s
step 00050 (  0.7%) | loss: 3.210314 | trade:0.28 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 1.06e-05 | left: 238s
step 00100 (  1.5%) | loss: 3.173273 | trade:0.30 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 2.19e-05 | left: 236s
step 00150 (  2.2%) | loss: 3.059038 | trade:0.35 call:0.47 put:0.53 | ATM:0.26 OTM:0.74 | lr: 3.29e-05 | left: 235s
step 00200 (  2.9%) | loss: 2.986268 | trade:0.39 call:0.49 put:0.51 | ATM:0.28 OTM:0.72 | lr: 4.28e-05 | left: 233s
step 00250 (  3.5%) | loss: 2.915041 | trade:0.43 call:0.51 put:0.49 | ATM:0.30 OTM:0.70 | lr: 5.32e-05 | left: 231s
step 00300 (  4.3%) | loss: 2.884807 | trade:0.44 call:0.52 put:0.48 | ATM:0.33 OTM:0.67 | lr: 6.38e-05 | left: 230s
step 00350 (  4.9%) | loss: 2.839169 | trade:0.45 call:0.53 put:0.47 | ATM:0.34 OTM:0.66 | lr: 7.39e-05 | left: 228s
step 00400 (  5.7%) | loss: 2.790290 | trade:0.44 call:0.54 put:0.46 | ATM:0.35 OTM:0.65 | lr: 8.48e-05 | left: 226s
step 00450 (  6.4%) | loss: 2.726141 | trade:0.42 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | lr: 9.59e-05 | left: 225s
step 00500 (  7.2%) | loss: 2.685360 | trade:0.43 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | lr: 1.08e-04 | left: 223s
step 00550 (  8.0%) | loss: 2.577270 | trade:0.42 call:0.57 put:0.43 | ATM:0.37 OTM:0.63 | lr: 1.20e-04 | left: 221s
step 00600 (  8.8%) | loss: 2.508797 | trade:0.46 call:0.56 put:0.44 | ATM:0.37 OTM:0.63 | lr: 1.32e-04 | left: 219s
step 00650 (  9.6%) | loss: 2.395279 | trade:0.44 call:0.58 put:0.42 | ATM:0.39 OTM:0.61 | lr: 1.44e-04 | left: 217s
step 00700 ( 10.3%) | loss: 2.279153 | trade:0.41 call:0.60 put:0.40 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 215s
step 00750 ( 11.0%) | loss: 2.181292 | trade:0.36 call:0.59 put:0.41 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 214s
step 00800 ( 11.7%) | loss: 2.093618 | trade:0.42 call:0.61 put:0.39 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 212s
step 00850 ( 12.4%) | loss: 1.997609 | trade:0.39 call:0.57 put:0.43 | ATM:0.38 OTM:0.62 | lr: 1.50e-04 | left: 210s
step 00900 ( 13.1%) | loss: 1.908004 | trade:0.43 call:0.61 put:0.39 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 209s
step 00950 ( 13.8%) | loss: 1.838776 | trade:0.40 call:0.63 put:0.37 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 207s
step 01000 ( 14.5%) | loss: 1.712062 | trade:0.39 call:0.61 put:0.39 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 205s
step 01050 ( 15.2%) | loss: 1.693269 | trade:0.38 call:0.60 put:0.40 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 204s
step 01100 ( 15.9%) | loss: 1.620638 | trade:0.41 call:0.64 put:0.36 | ATM:0.41 OTM:0.59 | lr: 1.50e-04 | left: 202s
step 01150 ( 16.6%) | loss: 1.578377 | trade:0.37 call:0.66 put:0.34 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 200s
step 01200 ( 17.2%) | loss: 1.541949 | trade:0.41 call:0.60 put:0.40 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 199s
step 01250 ( 17.9%) | loss: 1.522319 | trade:0.35 call:0.66 put:0.34 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 197s
step 01300 ( 18.6%) | loss: 1.485185 | trade:0.42 call:0.62 put:0.38 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 195s
step 01350 ( 19.3%) | loss: 1.446650 | trade:0.40 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 194s
step 01400 ( 20.1%) | loss: 1.431157 | trade:0.35 call:0.64 put:0.36 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 192s
step 01450 ( 20.9%) | loss: 1.420830 | trade:0.36 call:0.63 put:0.37 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 190s
step 01500 ( 21.7%) | loss: 1.377022 | trade:0.33 call:0.74 put:0.26 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 188s
step 01550 ( 22.5%) | loss: 1.371818 | trade:0.37 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 186s
