Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with temporal robust selection
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 00000 (  0.0%) | loss: 3.093059 | trade:0.27 call:0.45 put:0.55 | ATM:0.23 OTM:0.77 | lr: 0.00e+00 | left: 240s | best_wcpf: -999.000
step 00050 (  0.4%) | loss: 3.220590 | trade:0.27 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 5.42e-06 | left: 239s | best_wcpf: -999.000
step 00100 (  0.9%) | loss: 3.165945 | trade:0.29 call:0.45 put:0.55 | ATM:0.24 OTM:0.76 | lr: 1.35e-05 | left: 238s | best_wcpf: -999.000
step 00150 (  1.4%) | loss: 3.111865 | trade:0.32 call:0.47 put:0.53 | ATM:0.24 OTM:0.76 | lr: 2.13e-05 | left: 237s | best_wcpf: -999.000
step 00200 (  2.0%) | loss: 3.050891 | trade:0.36 call:0.48 put:0.52 | ATM:0.26 OTM:0.74 | lr: 2.93e-05 | left: 235s | best_wcpf: -999.000
step 00250 (  2.5%) | loss: 2.965231 | trade:0.39 call:0.49 put:0.51 | ATM:0.28 OTM:0.72 | lr: 3.74e-05 | left: 234s | best_wcpf: -999.000
step 00300 (  2.8%) | loss: 2.914629 | trade:0.42 call:0.51 put:0.49 | ATM:0.30 OTM:0.70 | lr: 4.23e-05 | left: 233s | best_wcpf: -999.000
step 00350 (  3.3%) | loss: 2.902873 | trade:0.44 call:0.52 put:0.48 | ATM:0.32 OTM:0.68 | lr: 4.92e-05 | left: 232s | best_wcpf: -999.000
step 00400 (  3.8%) | loss: 2.835278 | trade:0.45 call:0.53 put:0.47 | ATM:0.34 OTM:0.66 | lr: 5.72e-05 | left: 231s | best_wcpf: -999.000
step 00450 (  4.3%) | loss: 2.785307 | trade:0.42 call:0.54 put:0.46 | ATM:0.34 OTM:0.66 | lr: 6.48e-05 | left: 230s | best_wcpf: -999.000
step 00500 (  4.9%) | loss: 2.766146 | trade:0.44 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 7.28e-05 | left: 228s | best_wcpf: -999.000
step 00550 (  5.4%) | loss: 2.727190 | trade:0.43 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | lr: 8.08e-05 | left: 227s | best_wcpf: -999.000
step 00600 (  5.9%) | loss: 2.667291 | trade:0.43 call:0.56 put:0.44 | ATM:0.37 OTM:0.63 | lr: 8.88e-05 | left: 226s | best_wcpf: -999.000
step 00650 (  6.5%) | loss: 2.604771 | trade:0.45 call:0.58 put:0.42 | ATM:0.37 OTM:0.63 | lr: 9.68e-05 | left: 224s | best_wcpf: -999.000
step 00700 (  7.0%) | loss: 2.510803 | trade:0.41 call:0.58 put:0.42 | ATM:0.37 OTM:0.63 | lr: 1.05e-04 | left: 223s | best_wcpf: -999.000
step 00750 (  7.5%) | loss: 2.447229 | trade:0.41 call:0.60 put:0.40 | ATM:0.40 OTM:0.60 | lr: 1.13e-04 | left: 222s | best_wcpf: -999.000
step 00800 (  8.0%) | loss: 2.358327 | trade:0.43 call:0.55 put:0.45 | ATM:0.39 OTM:0.61 | lr: 1.21e-04 | left: 221s | best_wcpf: -999.000
step 00850 (  8.6%) | loss: 2.299638 | trade:0.43 call:0.61 put:0.39 | ATM:0.38 OTM:0.62 | lr: 1.29e-04 | left: 219s | best_wcpf: -999.000
step 00900 (  9.1%) | loss: 2.199711 | trade:0.43 call:0.59 put:0.41 | ATM:0.37 OTM:0.63 | lr: 1.37e-04 | left: 218s | best_wcpf: -999.000
step 00950 (  9.6%) | loss: 2.100341 | trade:0.40 call:0.62 put:0.38 | ATM:0.41 OTM:0.59 | lr: 1.45e-04 | left: 217s | best_wcpf: -999.000
step 01000 ( 10.2%) | loss: 1.995577 | trade:0.41 call:0.65 put:0.35 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 216s | best_wcpf: -999.000
step 01001 | NEW BEST temporal robustness: worst_chunk_pf=0.219
step 01050 ( 10.7%) | loss: 1.903798 | trade:0.40 call:0.66 put:0.34 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 214s | best_wcpf: 0.219
step 01100 ( 11.2%) | loss: 1.835019 | trade:0.42 call:0.63 put:0.37 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 213s | best_wcpf: 0.219
step 01150 ( 11.7%) | loss: 1.734365 | trade:0.39 call:0.62 put:0.38 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 212s | best_wcpf: 0.219
step 01200 ( 12.2%) | loss: 1.704030 | trade:0.42 call:0.64 put:0.36 | ATM:0.39 OTM:0.61 | lr: 1.50e-04 | left: 211s | best_wcpf: 0.219
step 01250 ( 12.8%) | loss: 1.607249 | trade:0.40 call:0.64 put:0.36 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 209s | best_wcpf: 0.219
step 01300 ( 13.3%) | loss: 1.574868 | trade:0.33 call:0.67 put:0.33 | ATM:0.44 OTM:0.56 | lr: 1.50e-04 | left: 208s | best_wcpf: 0.219
step 01350 ( 13.8%) | loss: 1.510927 | trade:0.37 call:0.56 put:0.44 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 207s | best_wcpf: 0.219
step 01400 ( 14.4%) | loss: 1.505285 | trade:0.42 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 205s | best_wcpf: 0.219
step 01450 ( 14.9%) | loss: 1.510988 | trade:0.35 call:0.70 put:0.30 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 204s | best_wcpf: 0.219
step 01500 ( 15.4%) | loss: 1.486175 | trade:0.42 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 203s | best_wcpf: 0.219
step 01550 ( 15.9%) | loss: 1.418894 | trade:0.36 call:0.67 put:0.33 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 202s | best_wcpf: 0.219
step 01600 ( 16.4%) | loss: 1.412884 | trade:0.40 call:0.60 put:0.40 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 201s | best_wcpf: 0.219
step 01650 ( 17.0%) | loss: 1.415881 | trade:0.42 call:0.63 put:0.37 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 199s | best_wcpf: 0.219
step 01700 ( 17.5%) | loss: 1.379779 | trade:0.33 call:0.64 put:0.36 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 198s | best_wcpf: 0.219
step 01750 ( 18.0%) | loss: 1.332935 | trade:0.36 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 197s | best_wcpf: 0.219
step 01800 ( 18.6%) | loss: 1.372749 | trade:0.33 call:0.61 put:0.39 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 195s | best_wcpf: 0.219
step 01850 ( 19.1%) | loss: 1.351373 | trade:0.40 call:0.63 put:0.37 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 194s | best_wcpf: 0.219
step 01900 ( 19.7%) | loss: 1.320546 | trade:0.39 call:0.60 put:0.40 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 193s | best_wcpf: 0.219
step 01950 ( 20.2%) | loss: 1.326015 | trade:0.33 call:0.57 put:0.43 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 192s | best_wcpf: 0.219
step 02000 ( 20.7%) | loss: 1.285663 | trade:0.32 call:0.65 put:0.35 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 190s | best_wcpf: 0.219
step 02001 | NEW BEST temporal robustness: worst_chunk_pf=0.232
step 02050 ( 21.2%) | loss: 1.330935 | trade:0.37 call:0.66 put:0.34 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 189s | best_wcpf: 0.232
step 02100 ( 21.7%) | loss: 1.290323 | trade:0.35 call:0.62 put:0.38 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 188s | best_wcpf: 0.232
step 02150 ( 22.3%) | loss: 1.301724 | trade:0.36 call:0.60 put:0.40 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 187s | best_wcpf: 0.232
step 02200 ( 22.8%) | loss: 1.284755 | trade:0.39 call:0.62 put:0.38 | ATM:0.45 OTM:0.55 | lr: 1.50e-04 | left: 185s | best_wcpf: 0.232
step 02250 ( 23.3%) | loss: 1.258294 | trade:0.37 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 184s | best_wcpf: 0.232
step 02300 ( 23.9%) | loss: 1.252579 | trade:0.35 call:0.58 put:0.42 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 183s | best_wcpf: 0.232
step 02350 ( 24.4%) | loss: 1.249065 | trade:0.34 call:0.71 put:0.29 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 181s | best_wcpf: 0.232
step 02400 ( 24.9%) | loss: 1.245012 | trade:0.32 call:0.70 put:0.30 | ATM:0.43 OTM:0.57 | lr: 1.50e-04 | left: 180s | best_wcpf: 0.232
step 02450 ( 25.4%) | loss: 1.263792 | trade:0.40 call:0.66 put:0.34 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 179s | best_wcpf: 0.232
step 02500 ( 26.0%) | loss: 1.251886 | trade:0.38 call:0.57 put:0.43 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 178s | best_wcpf: 0.232
step 02550 ( 26.4%) | loss: 1.246470 | trade:0.34 call:0.61 put:0.39 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 177s | best_wcpf: 0.232
step 02600 ( 27.0%) | loss: 1.244621 | trade:0.34 call:0.55 put:0.45 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 175s | best_wcpf: 0.232
step 02650 ( 27.5%) | loss: 1.222671 | trade:0.37 call:0.62 put:0.38 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 174s | best_wcpf: 0.232
step 02700 ( 28.1%) | loss: 1.252818 | trade:0.32 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 173s | best_wcpf: 0.232
step 02750 ( 28.6%) | loss: 1.241782 | trade:0.36 call:0.56 put:0.44 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 171s | best_wcpf: 0.232
step 02800 ( 29.1%) | loss: 1.231030 | trade:0.36 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 170s | best_wcpf: 0.232
step 02850 ( 29.7%) | loss: 1.181507 | trade:0.30 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 169s | best_wcpf: 0.232
step 02900 ( 30.2%) | loss: 1.191862 | trade:0.38 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 168s | best_wcpf: 0.232
step 02950 ( 30.8%) | loss: 1.206178 | trade:0.36 call:0.60 put:0.40 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 166s | best_wcpf: 0.232
step 03000 ( 31.3%) | loss: 1.203132 | trade:0.38 call:0.57 put:0.43 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 165s | best_wcpf: 0.232
step 03001 | NEW BEST temporal robustness: worst_chunk_pf=0.373
step 03050 ( 31.8%) | loss: 1.176878 | trade:0.37 call:0.66 put:0.34 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 164s | best_wcpf: 0.373
step 03100 ( 32.3%) | loss: 1.180815 | trade:0.38 call:0.67 put:0.33 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 162s | best_wcpf: 0.373
step 03150 ( 32.8%) | loss: 1.176323 | trade:0.36 call:0.59 put:0.41 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 161s | best_wcpf: 0.373
step 03200 ( 33.4%) | loss: 1.200904 | trade:0.35 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 160s | best_wcpf: 0.373
step 03250 ( 33.9%) | loss: 1.191803 | trade:0.29 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 159s | best_wcpf: 0.373
step 03300 ( 34.4%) | loss: 1.188342 | trade:0.36 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 157s | best_wcpf: 0.373
step 03350 ( 35.0%) | loss: 1.179044 | trade:0.30 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 156s | best_wcpf: 0.373
step 03400 ( 35.5%) | loss: 1.169044 | trade:0.37 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 155s | best_wcpf: 0.373
step 03450 ( 36.1%) | loss: 1.138717 | trade:0.34 call:0.61 put:0.39 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 153s | best_wcpf: 0.373
step 03500 ( 36.6%) | loss: 1.174369 | trade:0.33 call:0.63 put:0.37 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 152s | best_wcpf: 0.373
step 03550 ( 37.1%) | loss: 1.166659 | trade:0.33 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 151s | best_wcpf: 0.373
step 03600 ( 37.6%) | loss: 1.157644 | trade:0.32 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 150s | best_wcpf: 0.373
step 03650 ( 38.2%) | loss: 1.157382 | trade:0.30 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 148s | best_wcpf: 0.373
step 03700 ( 38.7%) | loss: 1.151143 | trade:0.34 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 147s | best_wcpf: 0.373
step 03750 ( 39.3%) | loss: 1.199783 | trade:0.29 call:0.67 put:0.33 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 146s | best_wcpf: 0.373
step 03800 ( 39.9%) | loss: 1.163473 | trade:0.39 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 144s | best_wcpf: 0.373
step 03850 ( 40.4%) | loss: 1.144063 | trade:0.35 call:0.59 put:0.41 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 143s | best_wcpf: 0.373
step 03900 ( 41.0%) | loss: 1.135561 | trade:0.38 call:0.56 put:0.44 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 142s | best_wcpf: 0.373
step 03950 ( 41.5%) | loss: 1.111207 | trade:0.26 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 140s | best_wcpf: 0.373
step 04000 ( 42.1%) | loss: 1.149435 | trade:0.36 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 139s | best_wcpf: 0.373
step 04050 ( 42.5%) | loss: 1.144235 | trade:0.36 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 138s | best_wcpf: 0.373
step 04100 ( 43.1%) | loss: 1.133424 | trade:0.30 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 137s | best_wcpf: 0.373
step 04150 ( 43.6%) | loss: 1.104640 | trade:0.33 call:0.57 put:0.43 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 135s | best_wcpf: 0.373
