Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + conservative strike gating with enhanced direction discipline and exit training
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.2, pnl=0.2, exit=0.8
Score tuning: R:R bonus=0.3, hold bonus=0.0, freq center=2.5, drawdown penalty=0.5

step 00000 (  0.0%) | loss: 4.013708 | trade:0.20 call:0.53 put:0.47 | ATM:0.48 OTM:0.52 | lr: 0.00e+00 | left: 240s
step 00050 (  0.4%) | loss: 4.052793 | trade:0.20 call:0.53 put:0.47 | ATM:0.48 OTM:0.52 | lr: 5.26e-06 | left: 239s
step 00100 (  0.9%) | loss: 3.961515 | trade:0.21 call:0.52 put:0.48 | ATM:0.48 OTM:0.52 | lr: 1.30e-05 | left: 238s
step 00150 (  1.4%) | loss: 3.980408 | trade:0.24 call:0.54 put:0.46 | ATM:0.47 OTM:0.53 | lr: 2.06e-05 | left: 237s
step 00200 (  1.9%) | loss: 3.881365 | trade:0.28 call:0.55 put:0.45 | ATM:0.46 OTM:0.54 | lr: 2.81e-05 | left: 235s
step 00250 (  2.2%) | loss: 3.788825 | trade:0.31 call:0.56 put:0.44 | ATM:0.45 OTM:0.55 | lr: 3.36e-05 | left: 235s
step 00300 (  2.6%) | loss: 3.759618 | trade:0.34 call:0.56 put:0.44 | ATM:0.44 OTM:0.56 | lr: 3.84e-05 | left: 234s
step 00350 (  3.0%) | loss: 3.746952 | trade:0.37 call:0.57 put:0.43 | ATM:0.43 OTM:0.57 | lr: 4.56e-05 | left: 233s
step 00400 (  3.5%) | loss: 3.644914 | trade:0.37 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 | lr: 5.31e-05 | left: 231s
step 00450 (  4.1%) | loss: 3.602111 | trade:0.35 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 | lr: 6.08e-05 | left: 230s
step 00500 (  4.6%) | loss: 3.575970 | trade:0.37 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 | lr: 6.85e-05 | left: 229s
step 00550 (  5.1%) | loss: 3.531469 | trade:0.36 call:0.57 put:0.43 | ATM:0.41 OTM:0.59 | lr: 7.62e-05 | left: 228s
step 00600 (  5.4%) | loss: 3.464019 | trade:0.36 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 | lr: 8.07e-05 | left: 227s
step 00650 (  5.9%) | loss: 3.407551 | trade:0.38 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 8.81e-05 | left: 226s
