Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + VIX regime robustness + temporal chunking + stop prevention + FULL STOPPED P&L CONSISTENCY + feature noise injection + cross-temporal consistency
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5
VIX regime weights: vix_regime=0.2, vix_consistency=0.1
Temporal robustness: temporal_chunk=0.25, cross_temporal=0.4
Stop prevention: stop_prevention=0.3
Feature noise injection: std=0.05
CRITICAL: Training exclusively on STOPPED P&L to align with evaluation reality

step 00000 (  0.0%) | loss: 3.253875 | trade:0.16 call:0.45 put:0.55 | ATM:0.23 OTM:0.77 | lr: 0.00e+00 | left: 240s
step 00050 (  0.5%) | loss: 3.361684 | trade:0.17 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 7.24e-06 | left: 239s
step 00100 (  1.2%) | loss: 3.325857 | trade:0.19 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 1.82e-05 | left: 237s
step 00150 (  2.0%) | loss: 3.198080 | trade:0.22 call:0.47 put:0.53 | ATM:0.24 OTM:0.76 | lr: 2.93e-05 | left: 235s
step 00200 (  2.7%) | loss: 3.100048 | trade:0.26 call:0.49 put:0.51 | ATM:0.26 OTM:0.74 | lr: 4.02e-05 | left: 234s
step 00250 (  3.4%) | loss: 3.023536 | trade:0.30 call:0.51 put:0.49 | ATM:0.27 OTM:0.73 | lr: 5.13e-05 | left: 232s
step 00300 (  4.2%) | loss: 2.951484 | trade:0.34 call:0.51 put:0.49 | ATM:0.30 OTM:0.70 | lr: 6.26e-05 | left: 230s
step 00350 (  4.9%) | loss: 2.926561 | trade:0.35 call:0.53 put:0.47 | ATM:0.31 OTM:0.69 | lr: 7.38e-05 | left: 228s
step 00400 (  5.7%) | loss: 2.853625 | trade:0.34 call:0.54 put:0.46 | ATM:0.33 OTM:0.67 | lr: 8.50e-05 | left: 226s
step 00450 (  6.4%) | loss: 2.780197 | trade:0.34 call:0.54 put:0.46 | ATM:0.34 OTM:0.66 | lr: 9.63e-05 | left: 225s
step 00500 (  7.2%) | loss: 2.711077 | trade:0.34 call:0.55 put:0.45 | ATM:0.34 OTM:0.66 | lr: 1.08e-04 | left: 223s
step 00550 (  7.9%) | loss: 2.635711 | trade:0.34 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 1.19e-04 | left: 221s
step 00600 (  8.7%) | loss: 2.559683 | trade:0.36 call:0.55 put:0.45 | ATM:0.35 OTM:0.65 | lr: 1.30e-04 | left: 219s
step 00650 (  9.4%) | loss: 2.468022 | trade:0.38 call:0.53 put:0.47 | ATM:0.35 OTM:0.65 | lr: 1.41e-04 | left: 217s
step 00700 ( 10.2%) | loss: 2.377916 | trade:0.34 call:0.54 put:0.46 | ATM:0.37 OTM:0.63 | lr: 1.50e-04 | left: 216s
step 00750 ( 10.9%) | loss: 2.233689 | trade:0.37 call:0.55 put:0.45 | ATM:0.36 OTM:0.64 | lr: 1.50e-04 | left: 214s
step 00800 ( 11.7%) | loss: 2.118665 | trade:0.35 call:0.59 put:0.41 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 212s
step 00850 ( 12.4%) | loss: 2.075765 | trade:0.36 call:0.62 put:0.38 | ATM:0.40 OTM:0.60 | lr: 1.50e-04 | left: 210s
