Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + VIX regime robustness + light temporal chunking + stop prevention + FULL STOPPED P&L CONSISTENCY + feature noise injection + direction-side loss + MAXIMUM CONSERVATIVE GATE BIAS + cross-temporal consistency
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5
VIX regime weights: vix_regime=0.2, vix_consistency=0.1
Temporal robustness: temporal_chunk=0.5, cross_temporal=0.3
Direction-side loss: dir_side=0.4
Stop prevention: stop_prevention=0.3
Feature noise injection: std=0.05
CRITICAL: Training exclusively on STOPPED P&L to align with evaluation reality
MAXIMUM CONSERVATIVE GATE BIAS: NO_TRADE=+1.2, TRADE=-1.2 for ultra-selectivity

step 00000 (  0.0%) | loss: 3.841379 | trade:0.08 call:0.45 put:0.55 | ATM:0.23 OTM:0.77 | lr: 0.00e+00 | left: 240s
step 00050 (  0.6%) | loss: 3.978419 | trade:0.09 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 8.78e-06 | left: 239s
step 00100 (  1.4%) | loss: 3.916689 | trade:0.10 call:0.46 put:0.54 | ATM:0.24 OTM:0.76 | lr: 2.07e-05 | left: 237s
step 00150 (  2.2%) | loss: 3.723513 | trade:0.13 call:0.47 put:0.53 | ATM:0.24 OTM:0.76 | lr: 3.25e-05 | left: 235s
step 00200 (  3.0%) | loss: 3.560075 | trade:0.17 call:0.51 put:0.49 | ATM:0.25 OTM:0.75 | lr: 4.43e-05 | left: 233s
step 00250 (  3.7%) | loss: 3.397830 | trade:0.23 call:0.53 put:0.47 | ATM:0.26 OTM:0.74 | lr: 5.62e-05 | left: 231s
step 00300 (  4.5%) | loss: 3.251370 | trade:0.32 call:0.53 put:0.47 | ATM:0.30 OTM:0.70 | lr: 6.80e-05 | left: 229s
step 00350 (  5.3%) | loss: 3.192117 | trade:0.34 call:0.54 put:0.46 | ATM:0.31 OTM:0.69 | lr: 7.99e-05 | left: 227s
step 00400 (  6.1%) | loss: 3.092612 | trade:0.34 call:0.55 put:0.45 | ATM:0.33 OTM:0.67 | lr: 9.18e-05 | left: 225s
step 00450 (  6.8%) | loss: 3.001011 | trade:0.34 call:0.55 put:0.45 | ATM:0.34 OTM:0.66 | lr: 1.03e-04 | left: 224s
step 00500 (  7.6%) | loss: 2.896126 | trade:0.33 call:0.56 put:0.44 | ATM:0.34 OTM:0.66 | lr: 1.14e-04 | left: 222s
