[2026-03-23 04:06:22] Signal handlers installed
[2026-03-23 04:06:22] Loop starting: hours=3.0, max_experiments=30
[2026-03-23 04:06:22] phase=startup | rss_mb=805.7 | vmsize_kb=17375580 | vmrss_kb=721344 | cgroup_mb=1290 | pids=8 | disk_used_gb=3133.7 | disk_free_gb=3794.9
[2026-03-23 04:14:45] phase=pre_train_1 | rss_mb=805.7 | vmsize_kb=17376772 | vmrss_kb=722644 | cgroup_mb=1289 | pids=6 | disk_used_gb=2957.2 | disk_free_gb=3971.4
[2026-03-23 04:18:56] phase=post_train_1 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1294 | pids=7 | disk_used_gb=2957.2 | disk_free_gb=3971.4
[2026-03-23 04:18:56] phase=post_exp_1 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1294 | pids=6 | disk_used_gb=2957.2 | disk_free_gb=3971.4
[2026-03-23 04:27:27] phase=pre_train_2 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1294 | pids=7 | disk_used_gb=2957.2 | disk_free_gb=3971.4
[2026-03-23 04:31:37] phase=post_train_2 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1297 | pids=10 | disk_used_gb=2957.2 | disk_free_gb=3971.4
[2026-03-23 04:31:37] phase=post_exp_2 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1297 | pids=10 | disk_used_gb=2957.2 | disk_free_gb=3971.4
[2026-03-23 04:40:04] phase=pre_train_3 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1295 | pids=8 | disk_used_gb=2957.3 | disk_free_gb=3971.4
[2026-03-23 04:44:14] phase=post_train_3 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1297 | pids=7 | disk_used_gb=2957.3 | disk_free_gb=3971.4
[2026-03-23 04:44:14] phase=post_exp_3 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1296 | pids=7 | disk_used_gb=2957.3 | disk_free_gb=3971.4
[2026-03-23 04:52:44] phase=pre_train_4 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1293 | pids=6 | disk_used_gb=2957.3 | disk_free_gb=3971.3
[2026-03-23 04:56:54] phase=post_train_4 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1296 | pids=7 | disk_used_gb=2957.3 | disk_free_gb=3971.4
[2026-03-23 04:56:54] phase=post_exp_4 | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1295 | pids=7 | disk_used_gb=2957.3 | disk_free_gb=3971.4
[2026-03-23 04:57:11] SIGNAL RECEIVED: SIGTERM (signum=15)
[2026-03-23 04:57:11] phase=signal_death | rss_mb=805.7 | vmsize_kb=17450520 | vmrss_kb=722644 | cgroup_mb=1297 | pids=7 | disk_used_gb=2957.3 | disk_free_gb=3971.3
