Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=1.0, pnl=0.3
Exit override strength: 0.5 (gate targets flipped on exit bars)
Direction feature noise: 0.15 (returns + trend features)
Position state: flat for random batches, tracked for day-sequential

step 00000 (  0.0%) | loss: 0.000000 | trade:0.68 call:0.53 put:0.47 | ATM:0.41 OTM:0.59 [seq] | lr: 0.00e+00 | left: 240s
step 00050 (  0.1%) | loss: 0.689053 | trade:0.68 call:0.47 put:0.53 | ATM:0.42 OTM:0.58 [seq] | lr: 2.33e-06 | left: 240s
step 00100 (  0.4%) | loss: 1.117687 | trade:0.71 call:0.48 put:0.52 | ATM:0.46 OTM:0.54 [seq] | lr: 5.84e-06 | left: 239s
step 00150 (  0.6%) | loss: 0.834511 | trade:0.70 call:0.48 put:0.52 | ATM:0.45 OTM:0.55 [seq] | lr: 9.88e-06 | left: 239s
step 00200 (  0.7%) | loss: 0.619882 | trade:0.70 call:0.44 put:0.56 | ATM:0.47 OTM:0.53 [seq] | lr: 1.25e-05 | left: 238s
step 00250 (  0.9%) | loss: 0.468899 | trade:0.68 call:0.50 put:0.50 | ATM:0.46 OTM:0.54 [seq] | lr: 1.52e-05 | left: 238s
step 00300 (  1.1%) | loss: 0.753530 | trade:0.65 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 [seq] | lr: 1.81e-05 | left: 237s
step 00350 (  1.3%) | loss: 0.775597 | trade:0.60 call:0.55 put:0.45 | ATM:0.44 OTM:0.56 [rnd] | lr: 2.11e-05 | left: 237s
step 00400 (  1.4%) | loss: 0.752237 | trade:0.64 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 [seq] | lr: 2.39e-05 | left: 237s
step 00450 (  1.6%) | loss: 0.835636 | trade:0.50 call:0.55 put:0.45 | ATM:0.47 OTM:0.53 [seq] | lr: 2.72e-05 | left: 236s
step 00500 (  1.8%) | loss: 0.539705 | trade:0.36 call:0.57 put:0.43 | ATM:0.46 OTM:0.54 [seq] | lr: 3.04e-05 | left: 236s
step 00550 (  2.0%) | loss: 0.690239 | trade:0.54 call:0.64 put:0.36 | ATM:0.48 OTM:0.52 [seq] | lr: 3.32e-05 | left: 235s
step 00600 (  2.2%) | loss: 0.511735 | trade:0.28 call:0.84 put:0.16 | ATM:0.53 OTM:0.47 [seq] | lr: 3.60e-05 | left: 235s
step 00650 (  2.3%) | loss: 0.699749 | trade:0.26 call:0.65 put:0.35 | ATM:0.46 OTM:0.54 [seq] | lr: 3.91e-05 | left: 234s
step 00700 (  2.5%) | loss: 0.841264 | trade:0.19 call:0.66 put:0.34 | ATM:0.46 OTM:0.54 [seq] | lr: 4.23e-05 | left: 234s
step 00750 (  2.7%) | loss: 0.757044 | trade:0.22 call:0.68 put:0.32 | ATM:0.45 OTM:0.55 [seq] | lr: 4.54e-05 | left: 233s
