Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.3, dir=2.0, pnl=0.3
Exit override strength: 0.5 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 00000 (  0.0%) | loss: 0.000000 | trade:0.59 call:0.53 put:0.47 | ATM:0.41 OTM:0.59 [seq] | lr: 0.00e+00 | left: 240s
step 00050 (  0.2%) | loss: 1.141424 | trade:0.59 call:0.47 put:0.53 | ATM:0.42 OTM:0.58 [seq] | lr: 2.88e-06 | left: 240s
step 00100 (  0.4%) | loss: 1.384945 | trade:0.62 call:0.49 put:0.51 | ATM:0.46 OTM:0.54 [seq] | lr: 6.23e-06 | left: 239s
step 00150 (  0.6%) | loss: 1.273564 | trade:0.61 call:0.48 put:0.52 | ATM:0.45 OTM:0.55 [seq] | lr: 9.82e-06 | left: 239s
step 00200 (  0.8%) | loss: 1.025110 | trade:0.61 call:0.44 put:0.56 | ATM:0.47 OTM:0.53 [seq] | lr: 1.27e-05 | left: 238s
step 00250 (  0.9%) | loss: 0.784201 | trade:0.61 call:0.50 put:0.50 | ATM:0.46 OTM:0.54 [seq] | lr: 1.53e-05 | left: 238s
step 00300 (  1.1%) | loss: 1.272123 | trade:0.58 call:0.61 put:0.39 | ATM:0.48 OTM:0.52 [seq] | lr: 1.83e-05 | left: 237s
step 00350 (  1.3%) | loss: 1.312622 | trade:0.55 call:0.56 put:0.44 | ATM:0.44 OTM:0.56 [rnd] | lr: 2.08e-05 | left: 237s
step 00400 (  1.4%) | loss: 1.154135 | trade:0.57 call:0.57 put:0.43 | ATM:0.42 OTM:0.58 [seq] | lr: 2.39e-05 | left: 237s
step 00450 (  1.6%) | loss: 1.310450 | trade:0.46 call:0.56 put:0.44 | ATM:0.48 OTM:0.52 [seq] | lr: 2.74e-05 | left: 236s
step 00500 (  1.9%) | loss: 0.933854 | trade:0.41 call:0.57 put:0.43 | ATM:0.47 OTM:0.53 [seq] | lr: 3.09e-05 | left: 236s
step 00550 (  2.0%) | loss: 1.218795 | trade:0.51 call:0.64 put:0.36 | ATM:0.49 OTM:0.51 [seq] | lr: 3.34e-05 | left: 235s
step 00600 (  2.2%) | loss: 0.907301 | trade:0.36 call:0.85 put:0.15 | ATM:0.54 OTM:0.46 [seq] | lr: 3.64e-05 | left: 235s
step 00650 (  2.3%) | loss: 1.244758 | trade:0.32 call:0.66 put:0.34 | ATM:0.47 OTM:0.53 [seq] | lr: 3.89e-05 | left: 234s
step 00700 (  2.6%) | loss: 1.412078 | trade:0.19 call:0.65 put:0.35 | ATM:0.44 OTM:0.56 [seq] | lr: 4.32e-05 | left: 234s
step 00750 (  2.8%) | loss: 1.164205 | trade:0.22 call:0.67 put:0.33 | ATM:0.45 OTM:0.55 [seq] | lr: 4.64e-05 | left: 233s
step 00800 (  2.9%) | loss: 1.092172 | trade:0.31 call:0.60 put:0.40 | ATM:0.48 OTM:0.52 [seq] | lr: 4.91e-05 | left: 233s
step 00850 (  3.1%) | loss: 0.509423 | trade:0.35 call:0.58 put:0.42 | ATM:0.41 OTM:0.59 [seq] | lr: 5.15e-05 | left: 233s
step 00900 (  3.3%) | loss: 0.925934 | trade:0.46 call:0.80 put:0.20 | ATM:0.56 OTM:0.44 [seq] | lr: 5.47e-05 | left: 232s
step 00950 (  3.4%) | loss: 0.647435 | trade:0.19 call:0.89 put:0.11 | ATM:0.54 OTM:0.46 [seq] | lr: 5.71e-05 | left: 232s
step 01000 (  3.6%) | loss: 0.998062 | trade:0.27 call:0.74 put:0.26 | ATM:0.48 OTM:0.52 [rnd] | lr: 5.96e-05 | left: 231s
step 01050 (  3.7%) | loss: 0.737921 | trade:0.21 call:0.73 put:0.27 | ATM:0.41 OTM:0.59 [seq] | lr: 6.24e-05 | left: 231s
step 01100 (  3.9%) | loss: 0.719057 | trade:0.32 call:0.90 put:0.10 | ATM:0.55 OTM:0.45 [seq] | lr: 6.49e-05 | left: 231s
step 01150 (  4.1%) | loss: 0.771989 | trade:0.25 call:0.90 put:0.10 | ATM:0.54 OTM:0.46 [seq] | lr: 6.77e-05 | left: 230s
step 01200 (  4.2%) | loss: 1.194783 | trade:0.28 call:0.78 put:0.22 | ATM:0.50 OTM:0.50 [rnd] | lr: 7.03e-05 | left: 230s
step 01250 (  4.4%) | loss: 1.173218 | trade:0.28 call:0.77 put:0.23 | ATM:0.49 OTM:0.51 [rnd] | lr: 7.34e-05 | left: 229s
step 01300 (  4.6%) | loss: 0.542259 | trade:0.25 call:0.93 put:0.07 | ATM:0.66 OTM:0.34 [seq] | lr: 7.67e-05 | left: 229s
step 01350 (  4.7%) | loss: 0.740922 | trade:0.25 call:0.79 put:0.21 | ATM:0.51 OTM:0.49 [rnd] | lr: 7.90e-05 | left: 229s
