Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), reduced ATM bias for strike diversity
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.4
Exit override strength: 0.15 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 00000 (  0.0%) | loss: 0.000000 | trade:0.59 call:0.52 put:0.48 | ATM:0.38 OTM:0.62 [seq] | lr: 0.00e+00 | left: 240s
step 00050 (  0.1%) | loss: 1.196144 | trade:0.59 call:0.46 put:0.54 | ATM:0.38 OTM:0.62 [seq] | lr: 2.33e-06 | left: 240s
step 00100 (  0.3%) | loss: 1.534261 | trade:0.62 call:0.48 put:0.52 | ATM:0.42 OTM:0.58 [seq] | lr: 5.78e-06 | left: 239s
step 00150 (  0.5%) | loss: 1.357642 | trade:0.62 call:0.47 put:0.53 | ATM:0.42 OTM:0.58 [seq] | lr: 8.65e-06 | left: 239s
step 00200 (  0.7%) | loss: 1.069412 | trade:0.62 call:0.43 put:0.57 | ATM:0.44 OTM:0.56 [seq] | lr: 1.14e-05 | left: 238s
step 00250 (  0.9%) | loss: 0.818726 | trade:0.61 call:0.50 put:0.50 | ATM:0.43 OTM:0.57 [seq] | lr: 1.42e-05 | left: 238s
step 00300 (  1.0%) | loss: 1.322785 | trade:0.59 call:0.61 put:0.39 | ATM:0.44 OTM:0.56 [seq] | lr: 1.70e-05 | left: 238s
step 00350 (  1.2%) | loss: 1.375035 | trade:0.56 call:0.55 put:0.45 | ATM:0.41 OTM:0.59 [rnd] | lr: 1.97e-05 | left: 237s
step 00400 (  1.3%) | loss: 1.239497 | trade:0.58 call:0.58 put:0.42 | ATM:0.39 OTM:0.61 [seq] | lr: 2.23e-05 | left: 237s
step 00450 (  1.5%) | loss: 1.416415 | trade:0.48 call:0.56 put:0.44 | ATM:0.45 OTM:0.55 [seq] | lr: 2.52e-05 | left: 236s
step 00500 (  1.7%) | loss: 0.977327 | trade:0.42 call:0.57 put:0.43 | ATM:0.44 OTM:0.56 [seq] | lr: 2.78e-05 | left: 236s
