date,fold,strategy_label,bar,side_intended,reason
2024-12-19,0,strategy,15,P,gated_iv_percentile
2024-12-19,0,strategy,17,C,skipped_no_contracts_at_bar
2024-12-20,0,strategy,18,P,gated_iv_percentile
2024-12-20,0,strategy,20,P,gated_iv_percentile
2024-12-20,0,strategy,23,C,skipped_no_contracts_at_bar
2024-12-20,0,strategy,25,C,skipped_no_contracts_at_bar
2024-12-20,0,strategy,26,C,skipped_no_contracts_at_bar
2024-12-27,0,strategy,17,C,skipped_context_spread
2024-12-27,0,strategy,18,C,skipped_no_contracts_at_bar
2024-12-27,0,strategy,21,C,skipped_context_spread
2024-12-31,0,strategy,16,C,skipped_no_contracts_at_bar
2024-12-31,0,strategy,17,C,skipped_no_contracts_at_bar
2024-12-31,0,strategy,27,C,skipped_no_contracts_at_bar
2024-12-31,0,strategy,29,C,skipped_no_contracts_at_bar
2025-01-02,0,strategy,19,C,skipped_context_spread
2025-01-02,0,strategy,21,C,skipped_no_contracts_at_bar
2025-01-02,0,strategy,22,C,skipped_no_contracts_at_bar
2025-01-02,0,strategy,23,C,skipped_no_contracts_at_bar
2025-01-02,0,strategy,24,C,skipped_context_spread
2025-01-02,0,strategy,25,C,skipped_context_spread
2025-01-03,0,strategy,17,P,gated_iv_percentile
2025-01-03,0,strategy,18,P,skipped_no_contracts_at_bar
2025-01-03,0,strategy,21,P,gated_iv_percentile
2025-01-03,0,strategy,24,P,gated_iv_percentile
2025-01-03,0,strategy,46,P,skipped_context_spread
2025-01-03,0,strategy,47,P,skipped_context_spread
2025-01-03,0,strategy,50,P,skipped_context_spread
2025-01-07,0,strategy,15,C,skipped_no_contracts_at_bar
2025-01-08,0,strategy,19,C,skipped_no_contracts_at_bar
2025-01-08,0,strategy,20,C,skipped_no_contracts_at_bar
2025-01-08,0,strategy,21,C,skipped_no_contracts_at_bar
2025-01-14,0,strategy,17,P,skipped_no_contracts_at_bar
2025-01-14,0,strategy,19,P,skipped_no_contracts_at_bar
2025-01-14,0,strategy,20,P,skipped_no_contracts_at_bar
2025-01-14,0,strategy,22,P,skipped_no_contracts_at_bar
2025-01-14,0,strategy,23,P,gated_iv_percentile
2025-01-14,0,strategy,24,P,skipped_no_contracts_at_bar
2025-01-15,0,strategy,15,C,skipped_no_contracts_at_bar
2025-01-15,0,strategy,16,C,skipped_no_contracts_at_bar
2025-01-15,0,strategy,17,C,skipped_no_contracts_at_bar
2025-01-16,0,strategy,107,P,skipped_context_spread
2025-01-16,0,strategy,110,P,skipped_context_spread
2025-01-17,0,strategy,16,C,skipped_no_contracts_at_bar
2025-01-17,0,strategy,18,C,skipped_no_contracts_at_bar
2025-01-17,0,strategy,19,C,skipped_no_contracts_at_bar
2025-01-17,0,strategy,22,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,15,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,16,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,17,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,18,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,20,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,21,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,23,P,skipped_context_spread
2025-01-21,0,strategy,24,P,skipped_no_contracts_at_bar
2025-01-21,0,strategy,26,P,skipped_no_contracts_at_bar
2025-01-21,0,strategy,27,P,skipped_no_contracts_at_bar
2025-01-21,0,strategy,29,C,skipped_no_contracts_at_bar
2025-01-21,0,strategy,30,P,skipped_context_spread
2025-01-29,0,strategy,22,C,skipped_no_contracts_at_bar
2025-01-30,0,strategy,32,P,gated_iv_percentile
2025-01-30,0,strategy,33,P,gated_iv_percentile
2025-02-03,0,strategy,16,P,skipped_no_contracts_at_bar
2025-02-03,0,strategy,18,P,skipped_no_contracts_at_bar
2025-02-03,0,strategy,20,P,skipped_no_contracts_at_bar
2025-02-03,0,strategy,22,P,skipped_no_contracts_at_bar
2025-02-03,0,strategy,23,P,skipped_no_contracts_at_bar
2025-02-03,0,strategy,54,C,skipped_context_spread
2025-02-03,0,strategy,55,C,skipped_context_spread
2025-02-03,0,strategy,57,C,skipped_context_spread
2025-02-03,0,strategy,59,C,gated_iv_percentile
2025-02-05,0,strategy,30,C,skipped_context_spread
2025-02-07,0,strategy,30,P,gated_iv_percentile
2025-02-07,0,strategy,31,P,gated_iv_percentile
2025-02-07,0,strategy,32,P,gated_iv_percentile
2025-02-07,0,strategy,33,P,gated_iv_percentile
2025-02-07,0,strategy,34,P,gated_iv_percentile
2025-02-07,0,strategy,37,P,gated_iv_percentile
2025-02-13,0,strategy,15,C,skipped_no_contracts_at_bar
2025-02-13,0,strategy,16,C,skipped_no_contracts_at_bar
2025-02-18,0,strategy,25,C,skipped_no_contracts_at_bar
2025-02-18,0,strategy,26,C,skipped_no_contracts_at_bar
2025-02-27,0,strategy,16,P,skipped_no_contracts_at_bar
2025-03-03,0,strategy,15,P,gated_iv_percentile
2025-03-04,0,strategy,15,P,gated_iv_percentile
2025-03-04,0,strategy,17,C,gated_vrp
2025-03-04,0,strategy,18,C,gated_vrp
2025-03-05,0,strategy,15,C,gated_vrp
2025-03-05,0,strategy,17,P,gated_vrp
2025-03-05,0,strategy,18,P,gated_iv_percentile
2025-03-05,0,strategy,19,P,gated_iv_percentile
2025-03-05,0,strategy,24,P,gated_iv_percentile
2025-03-05,0,strategy,25,P,gated_iv_percentile
2025-03-05,0,strategy,30,C,gated_vrp
2025-03-05,0,strategy,32,C,gated_vrp
2025-03-05,0,strategy,33,C,gated_vrp
2025-03-05,0,strategy,34,C,gated_vrp
2025-03-05,0,strategy,36,C,gated_vrp
2025-03-05,0,strategy,37,C,gated_vrp
2025-03-05,0,strategy,46,P,gated_vrp
2025-03-05,0,strategy,47,P,gated_vrp
2025-03-05,0,strategy,48,P,gated_vrp
2025-03-05,0,strategy,49,P,gated_vrp
2025-03-05,0,strategy,50,P,gated_vrp
2025-03-05,0,strategy,51,P,gated_vrp
2025-03-05,0,strategy,54,P,gated_vrp
2025-03-05,0,strategy,69,C,gated_vrp
2025-03-06,0,strategy,21,C,gated_vrp
2025-03-06,0,strategy,22,C,gated_vrp
2025-03-06,0,strategy,24,P,gated_vrp
2025-03-06,0,strategy,25,P,gated_vrp
2025-03-06,0,strategy,26,P,gated_vrp
2025-03-06,0,strategy,28,P,gated_vrp
2025-03-06,0,strategy,33,C,gated_vrp
2025-03-06,0,strategy,34,C,gated_vrp
2025-03-06,0,strategy,35,C,gated_vrp
2025-03-06,0,strategy,36,C,gated_vrp
2025-03-06,0,strategy,37,C,gated_vrp
2025-03-06,0,strategy,38,C,gated_vrp
2025-03-07,0,strategy,45,P,gated_vrp
2025-03-07,0,strategy,47,P,gated_vrp
2025-03-07,0,strategy,49,P,gated_vrp
2025-03-07,0,strategy,51,P,gated_vrp
2025-03-07,0,strategy,52,P,gated_vrp
2025-03-07,0,strategy,54,C,gated_vrp
2025-03-10,0,strategy,18,P,gated_vrp
2025-03-10,0,strategy,21,P,gated_vrp
2025-03-10,0,strategy,22,P,gated_vrp
2025-03-10,0,strategy,23,P,gated_vrp
2025-03-10,0,strategy,24,P,gated_vrp
2025-03-11,0,strategy,27,P,gated_vrp
2025-03-11,0,strategy,32,P,gated_vrp
2025-03-11,0,strategy,33,P,gated_vrp
2025-03-11,0,strategy,34,P,gated_vrp
2025-03-11,0,strategy,37,P,gated_vrp
2025-03-11,0,strategy,39,C,gated_vrp
2025-03-11,0,strategy,40,P,gated_vrp
2025-03-11,0,strategy,41,P,gated_vrp
2025-03-14,0,strategy,30,P,gated_iv_percentile
2025-03-14,0,strategy,32,C,gated_iv_percentile
2025-03-14,0,strategy,33,C,gated_vrp
2025-03-19,0,strategy,16,C,gated_vrp
2025-03-19,0,strategy,17,C,gated_vrp
2025-03-19,0,strategy,21,C,gated_vrp
2025-03-19,0,strategy,22,C,gated_vrp
2025-03-19,0,strategy,23,C,gated_vrp
2025-03-19,0,strategy,24,C,skipped_no_contracts_at_bar
2024-12-30,0,control_A,69,P,skipped_context_spread
2025-01-03,0,control_A,18,C,skipped_no_contracts_at_bar
2025-01-29,0,control_A,59,P,gated_iv_percentile
2025-03-06,0,control_B,31,C,gated_vrp
2025-01-17,0,control_B,52,P,skipped_context_spread
2025-01-29,0,control_B,58,C,gated_iv_percentile
2025-03-05,0,control_B,32,C,gated_vrp
2024-12-27,0,control_B,59,P,gated_iv_percentile
2025-03-04,0,control_B,31,C,gated_vrp
2025-01-07,0,control_B,62,P,gated_iv_percentile
2025-03-10,0,control_B,76,P,gated_vrp
2025-02-07,0,control_B,34,C,gated_iv_percentile
2025-03-21,1,strategy,16,C,skipped_no_contracts_at_bar
2025-03-21,1,strategy,18,C,skipped_no_contracts_at_bar
2025-03-21,1,strategy,19,C,skipped_no_contracts_at_bar
2025-03-26,1,strategy,16,P,skipped_no_contracts_at_bar
2025-03-26,1,strategy,17,P,skipped_no_contracts_at_bar
2025-03-26,1,strategy,18,P,skipped_no_contracts_at_bar
2025-03-26,1,strategy,19,P,skipped_no_contracts_at_bar
2025-03-26,1,strategy,20,P,skipped_no_contracts_at_bar
2025-03-27,1,strategy,19,C,skipped_no_contracts_at_bar
2025-03-27,1,strategy,20,C,skipped_no_contracts_at_bar
2025-03-27,1,strategy,23,C,skipped_no_contracts_at_bar
2025-03-27,1,strategy,24,C,skipped_context_spread
2025-03-28,1,strategy,16,P,skipped_no_contracts_at_bar
2025-03-28,1,strategy,18,P,skipped_no_contracts_at_bar
2025-03-28,1,strategy,19,P,skipped_no_contracts_at_bar
2025-03-28,1,strategy,21,P,skipped_no_contracts_at_bar
2025-03-28,1,strategy,22,P,skipped_no_contracts_at_bar
2025-03-31,1,strategy,23,C,gated_vrp
2025-03-31,1,strategy,24,C,gated_vrp
2025-03-31,1,strategy,25,C,skipped_no_contracts_at_bar
2025-03-31,1,strategy,26,C,skipped_no_contracts_at_bar
2025-03-31,1,strategy,27,C,skipped_no_contracts_at_bar
2025-04-01,1,strategy,15,C,skipped_no_contracts_at_bar
2025-04-01,1,strategy,16,C,skipped_no_contracts_at_bar
2025-04-01,1,strategy,17,C,skipped_no_contracts_at_bar
2025-04-03,1,strategy,15,P,gated_vrp
2025-04-03,1,strategy,17,P,gated_vrp
2025-04-03,1,strategy,19,P,gated_vrp
2025-04-04,1,strategy,27,C,gated_vrp
2025-04-04,1,strategy,28,C,gated_vrp
2025-04-04,1,strategy,30,P,gated_vrp
2025-04-04,1,strategy,31,P,gated_vrp
2025-04-04,1,strategy,34,P,gated_vrp
2025-04-04,1,strategy,35,P,gated_vrp
2025-04-04,1,strategy,36,P,gated_vrp
2025-04-04,1,strategy,37,P,gated_vrp
2025-04-04,1,strategy,38,P,gated_vrp
2025-04-04,1,strategy,39,P,gated_vrp
2025-04-04,1,strategy,95,P,gated_vrp
2025-04-04,1,strategy,96,P,gated_iv_percentile
2025-04-04,1,strategy,97,P,gated_iv_percentile
2025-04-04,1,strategy,99,P,gated_iv_percentile
2025-04-04,1,strategy,115,P,gated_vrp
2025-04-04,1,strategy,116,P,gated_iv_percentile
2025-04-04,1,strategy,119,P,gated_iv_percentile
2025-04-07,1,strategy,18,C,gated_vrp
2025-04-07,1,strategy,20,C,gated_vrp
2025-04-07,1,strategy,21,C,gated_vrp
2025-04-07,1,strategy,22,C,gated_iv_percentile
2025-04-07,1,strategy,23,C,gated_vrp
2025-04-07,1,strategy,24,C,gated_vrp
2025-04-07,1,strategy,61,C,gated_iv_percentile
2025-04-07,1,strategy,62,C,gated_iv_percentile
2025-04-07,1,strategy,63,C,gated_vrp
2025-04-07,1,strategy,74,C,gated_vrp
2025-04-07,1,strategy,75,C,gated_vrp
2025-04-07,1,strategy,78,C,gated_vrp
2025-04-07,1,strategy,79,C,gated_vrp
2025-04-07,1,strategy,80,C,gated_vrp
2025-04-07,1,strategy,81,C,gated_vrp
2025-04-07,1,strategy,83,C,gated_vrp
2025-04-07,1,strategy,84,C,gated_vrp
2025-04-07,1,strategy,87,C,gated_vrp
2025-04-08,1,strategy,15,C,gated_vrp
2025-04-08,1,strategy,16,C,gated_vrp
2025-04-08,1,strategy,18,P,gated_vrp
2025-04-08,1,strategy,20,P,gated_vrp
2025-04-08,1,strategy,21,C,gated_vrp
2025-04-08,1,strategy,22,C,gated_vrp
2025-04-08,1,strategy,23,C,gated_vrp
2025-04-08,1,strategy,25,C,gated_vrp
2025-04-08,1,strategy,26,C,gated_vrp
2025-04-08,1,strategy,27,C,gated_vrp
2025-04-08,1,strategy,28,C,gated_vrp
2025-04-08,1,strategy,30,C,gated_vrp
2025-04-09,1,strategy,17,P,gated_vrp
2025-04-09,1,strategy,44,P,gated_vrp
2025-04-09,1,strategy,47,C,gated_vrp
2025-04-09,1,strategy,49,C,gated_vrp
2025-04-09,1,strategy,52,P,gated_vrp
2025-04-09,1,strategy,53,C,gated_vrp
2025-04-09,1,strategy,59,C,gated_vrp
2025-04-09,1,strategy,60,C,gated_vrp
2025-04-09,1,strategy,61,C,gated_vrp
2025-04-09,1,strategy,62,C,gated_vrp
2025-04-09,1,strategy,74,P,gated_vrp
2025-04-09,1,strategy,76,C,gated_vrp
2025-04-09,1,strategy,77,C,gated_vrp
2025-04-09,1,strategy,78,P,gated_vrp
2025-04-09,1,strategy,79,P,gated_vrp
2025-04-09,1,strategy,80,P,gated_vrp
2025-04-09,1,strategy,81,P,gated_vrp
2025-04-09,1,strategy,82,P,gated_vrp
2025-04-09,1,strategy,86,P,gated_vrp
2025-04-09,1,strategy,105,C,gated_vrp
