date,fold,strategy_label,bar,side_intended,reason
2025-01-15,0,strategy,120,P,zero_hold
2025-02-24,0,strategy,120,C,zero_hold
2025-03-05,0,strategy,-1,X,no_v1b_candidates
2025-03-06,0,strategy,-1,X,no_v1b_candidates
2025-03-07,0,strategy,-1,X,no_v1b_candidates
2025-03-10,0,strategy,-1,X,no_v1b_candidates
2025-03-11,0,strategy,-1,X,no_v1b_candidates
2025-03-12,0,strategy,-1,X,no_v1b_candidates
2024-12-19,0,control_A,65,C,gated_iv_percentile
2024-12-26,0,control_A,18,C,skipped_no_contracts_at_bar
2024-12-27,0,control_A,30,P,gated_iv_percentile
2025-01-07,0,control_A,59,C,skipped_context_spread
2025-01-21,0,control_A,24,P,skipped_no_contracts_at_bar
2025-01-22,0,control_A,17,C,skipped_no_contracts_at_bar
2025-01-23,0,control_A,106,C,skipped_no_delta_contract
2025-01-29,0,control_A,101,C,gated_iv_percentile
2025-02-04,0,control_A,28,C,skipped_no_contracts_at_bar
2025-02-06,0,control_A,28,C,gated_iv_percentile
2025-02-11,0,control_A,29,C,gated_iv_percentile
2025-02-21,0,control_A,17,C,skipped_no_contracts_at_bar
2025-02-26,0,control_A,21,C,skipped_no_contracts_at_bar
2025-03-04,0,control_A,27,C,gated_vrp
2025-03-18,0,control_A,24,P,gated_iv_percentile
2025-03-19,0,control_A,91,C,gated_vrp
2025-03-06,0,control_B,114,C,gated_vrp
2025-01-29,0,control_B,90,C,gated_iv_percentile
2025-03-05,0,control_B,94,P,gated_vrp
2024-12-27,0,control_B,34,C,gated_iv_percentile
2025-01-07,0,control_B,68,C,gated_iv_percentile
2025-03-10,0,control_B,64,C,gated_vrp
2025-01-29,0,control_B,58,C,gated_iv_percentile
2025-02-20,0,control_B,31,P,gated_iv_percentile
2025-03-14,0,control_B,30,C,gated_iv_percentile
2025-03-18,0,control_B,39,C,skipped_context_spread
2025-03-10,0,control_B,117,C,gated_vrp
2025-03-11,0,control_B,73,C,gated_vrp
2025-03-10,0,control_B,91,C,gated_vrp
2025-03-11,0,control_B,71,P,gated_vrp
2025-03-12,0,control_B,59,C,gated_vrp
2025-03-24,1,strategy,120,C,zero_hold
2025-03-28,1,strategy,120,C,zero_hold
2025-04-03,1,strategy,-1,X,no_v1b_candidates
2025-04-04,1,strategy,-1,X,no_v1b_candidates
2025-04-07,1,strategy,-1,X,no_v1b_candidates
2025-04-08,1,strategy,-1,X,no_v1b_candidates
2025-04-09,1,strategy,-1,X,no_v1b_candidates
2025-04-10,1,strategy,-1,X,no_v1b_candidates
2025-04-11,1,strategy,-1,X,no_v1b_candidates
