date,fold,side,entry_mid,entry_cost_per_contract,contracts,equity_before,net_pnl_dollars_per_contract,trade_pnl_dollars,equity_after
2024-12-19,0,C,17.600000381469727,1760.0000381469727,2,2000000.0,28.806361333465574,57.61272266693115,2000057.612722667
2024-12-20,0,C,19.200000762939453,1920.0000762939453,2,2000057.612722667,821.7183150268555,1643.436630053711,2001701.0493527206
2024-12-23,0,C,9.899999618530273,989.9999618530273,5,2001701.0493527206,-45.93996162414551,-229.69980812072754,2001471.3495446
2024-12-24,0,C,4.599999904632568,459.99999046325684,10,2001471.3495446,27.240019130706788,272.40019130706787,2001743.749735907
2024-12-27,0,P,13.600000381469727,1360.0000381469727,3,2001743.749735907,71.83992347717285,215.51977043151854,2001959.2695063385
2024-12-30,0,C,14.5,1450.0,3,2001959.2695063385,-321.70001144409184,-965.1000343322755,2000994.1694720061
2024-12-31,0,C,18.299999237060547,1829.9999237060547,2,2000994.1694720061,-194.63992309570312,-389.27984619140625,2000604.8896258147
2025-01-02,0,C,14.800000190734863,1480.0000190734863,3,2000604.8896258147,-108.88000011444092,-326.64000034332275,2000278.2496254714
2025-01-03,0,C,13.800000190734863,1380.0000190734863,3,2000278.2496254714,501.71994266510006,1505.1598279953002,2001783.4094534668
2025-01-06,0,C,9.5,950.0,5,2001783.4094534668,-16.69996566772461,-83.49982833862305,2001699.9096251281
2025-01-07,0,C,11.600000381469727,1160.0000381469727,4,2001699.9096251281,-296.9600574493408,-1187.8402297973632,2000512.0693953307
2025-01-08,0,C,13.699999809265137,1369.9999809265137,3,2000512.0693953307,171.78001918792725,515.3400575637818,2001027.4094528945
2025-01-10,0,C,13.5,1350.0,3,2001027.4094528945,-180.10002670288085,-540.3000801086425,2000487.1093727858
2025-01-13,0,C,15.5,1550.0,3,2000487.1093727858,60.1420760500431,180.4262281501293,2000667.5356009358
2025-01-14,0,C,15.199999809265137,1519.9999809265137,3,2000667.5356009358,-272.1599426269532,-816.4798278808596,1999851.055773055
2025-01-16,0,C,10.800000190734863,1080.0000190734863,4,1999851.055773055,241.51995410919187,966.0798164367675,2000817.1355894918
2025-01-17,0,C,10.529999732971191,1052.9999732971191,4,2000817.1355894918,-171.42401123046878,-685.6960449218751,2000131.43954457
2025-01-21,0,P,9.100000381469727,910.0000381469727,5,2000131.43954457,-175.46002883911132,-877.3001441955566,1999254.1394003744
2025-01-27,0,C,14.300000190734863,1430.0000190734863,3,1999254.1394003744,-18.580038261413577,-55.74011478424073,1999198.39928559
2025-01-28,0,C,12.5,1250.0,3,1999198.39928559,220.00001907348633,660.000057220459,1999858.3993428105
2025-01-29,0,C,15.199999809265137,1519.9999809265137,3,1999858.3993428105,77.84005737304686,233.52017211914057,2000091.9195149296
2025-01-30,0,C,11.899999618530273,1189.9999618530273,4,2000091.9195149296,-289.5199234008789,-1158.0796936035156,1998933.839821326
2025-02-03,0,P,19.219999313354492,1921.9999313354492,2,1998933.839821326,102.62403106689453,205.24806213378906,1999139.0878834599
2025-02-04,0,C,9.600000381469727,960.0000381469727,5,1999139.0878834599,-115.76003837585449,-578.8001918792725,1998560.2876915806
2025-02-07,0,C,11.100000381469727,1110.0000381469727,4,1998560.2876915806,-166.6600383758545,-666.640153503418,1997893.647538077
2025-02-10,0,C,12.050000190734863,1205.0000190734863,4,1997893.647538077,204.35993881225585,817.4397552490234,1998711.0872933262
2025-02-11,0,C,13.5,1350.0,3,1998711.0872933262,-110.80000000000001,-332.40000000000003,1998378.6872933262
2025-02-12,0,C,12.899999618530273,1289.9999618530273,3,1998378.6872933262,92.26000022888184,276.7800006866455,1998655.467294013
2025-02-13,0,C,10.949999809265137,1094.9999809265137,4,1998655.467294013,46.24001922607421,184.96007690429684,1998840.4273709173
2025-02-20,0,C,10.699999809265137,1069.9999809265137,4,1998840.4273709173,3.580038261413574,14.320153045654296,1998854.747523963
2025-02-25,0,C,15.300000190734863,1530.0000190734863,3,1998854.747523963,-19.180038261413575,-57.54011478424073,1998797.2074091788
2025-02-26,0,C,9.600000381469727,960.0000381469727,5,1998797.2074091788,-45.76005744934082,-228.8002872467041,1998568.4071219321
2025-02-27,0,C,17.200000762939453,1720.0000762939453,2,1998568.4071219321,-351.76010742187503,-703.5202148437501,1997864.8869070883
2025-02-28,0,C,19.399999618530273,1939.9999618530273,2,1997864.8869070883,153.54887621040345,307.0977524208069,1998171.984659509
2025-03-03,0,C,17.200000762939453,1720.0000762939453,2,1998171.984659509,-445.3200386047363,-890.6400772094726,1997281.3445822995
2025-03-04,0,C,23.5,2350.0,2,1997281.3445822995,-194.9459240758419,-389.8918481516838,1996891.452734148
2025-03-13,0,C,22.700000762939453,2270.0000762939453,2,1996891.452734148,-379.24963927021025,-758.4992785404205,1996132.9534556074
2025-03-14,0,C,23.649999618530273,2364.9999618530273,2,1996132.9534556074,334.9449142682076,669.8898285364152,1996802.8432841438
2025-03-17,0,P,15.800000190734863,1580.0000190734863,3,1996802.8432841438,-190.0488194434166,-570.1464583302497,1996232.6968258135
2025-03-18,0,P,17.899999618530273,1789.9999618530273,2,1996232.6968258135,168.61571440186503,337.23142880373007,1996569.9282546171
2025-03-19,0,C,22.799999237060547,2279.9999237060547,2,1996569.9282546171,-149.33432353744504,-298.6686470748901,1996271.2596075423
2025-03-20,1,C,14.5,1450.0,3,1996271.2596075423,-8.700000000000001,-26.1,1996245.1596075422
