bar_of_day,n_trades,pf,win_rate,avg_pnl,median_pnl,sharpe,gross_profit,gross_loss
60,56,0.6683,0.5,-0.051124,-0.009374,-0.1659,5.769211,8.632154
61,1,0.0,0.0,-0.400172,-0.400172,0.0,0.0,0.400172
62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2,0.0252,0.5,-0.173944,-0.173944,-0.9508,0.009,0.356889
66,7,1.0533,0.7143,0.005102,0.037358,0.0219,0.705588,0.669878
67,4,0.8956,0.5,-0.020438,-0.058504,-0.0544,0.701414,0.783164
68,9,1.6045,0.5556,0.06131,0.044793,0.1955,1.464638,0.912848
69,2,0.046,0.5,-0.172069,-0.172069,-0.912,0.016607,0.360745
70,2,0.0,0.0,-0.467853,-0.467853,-8.4001,0.0,0.935705
71,5,7.9684,0.4,0.199235,-0.038966,0.642,1.139131,0.142955
72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,6,0.0286,0.3333,-0.266993,-0.364562,-1.2728,0.047192,1.649148
74,2,99.0,1.0,0.42489,0.42489,11.5444,0.84978,0.0
75,4,1.5003,0.5,0.062733,0.158238,0.1815,0.752457,0.501526
76,1,0.0,0.0,-0.402453,-0.402453,0.0,0.0,0.402453
77,5,1.206,0.6,0.035979,0.02619,0.0844,1.053367,0.873471
78,3,0.0,0.0,-0.232751,-0.303265,-1.6231,0.0,0.698254
79,4,0.3214,0.25,-0.109301,-0.174043,-0.5335,0.207105,0.644309
80,7,1.8844,0.5714,0.069407,0.009,0.2634,1.035232,0.549384
81,4,0.2812,0.5,-0.14129,-0.185355,-0.5411,0.221145,0.786306
82,2,0.0,0.0,-0.253854,-0.253854,-1.2118,0.0,0.507708
83,6,0.7181,0.5,-0.041287,-0.008172,-0.1386,0.630917,0.878638
84,4,2.4969,0.75,0.118276,0.179896,0.4092,0.789166,0.316061
85,3,0.0,0.0,-0.366697,-0.428649,-3.2598,0.0,1.100091
86,3,0.2697,0.3333,-0.20012,-0.39913,-0.6705,0.22175,0.822109
87,1,99.0,1.0,0.544545,0.544545,0.0,0.544545,0.0
88,5,1.4101,0.4,0.04361,-0.056053,0.1448,0.749803,0.531755
89,5,0.1912,0.4,-0.166072,-0.245152,-0.7243,0.196353,1.026714
90,4,99.0,1.0,0.281702,0.310387,1.7871,1.126809,0.0
91,3,0.0,0.0,-0.360359,-0.373714,-7.4506,0.0,1.081076
92,4,0.1281,0.5,-0.103471,-0.023035,-0.5769,0.060788,0.474671
93,2,0.0,0.0,-0.372473,-0.372473,-24.4032,0.0,0.744945
94,6,0.2108,0.3333,-0.146211,-0.152597,-0.6503,0.234258,1.111522
95,2,0.0828,0.5,-0.199616,-0.199616,-0.8471,0.036031,0.435263
96,2,1.7232,0.5,0.117141,0.117141,0.2656,0.558235,0.323953
97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,5,1.0191,0.6,0.002763,0.009,0.0084,0.736253,0.72244
99,3,0.0,0.0,-0.272521,-0.369242,-1.6569,0.0,0.817564
100,6,0.4616,0.3333,-0.131168,-0.29368,-0.3785,0.674858,1.461863
101,3,1.2133,0.6667,0.02255,0.0235,0.0814,0.384851,0.3172
102,6,0.3061,0.1667,-0.231484,-0.411141,-0.5996,0.612623,2.001524
103,1,0.0,0.0,-0.052558,-0.052558,0.0,0.0,0.052558
104,4,0.1952,0.5,-0.082925,-0.009981,-0.5108,0.080437,0.412136
