step,action,n_buckets,n_bars,n_trades,pf,win_rate,avg_pnl,median_pnl,sharpe,gross_profit,gross_loss,max_drawdown
0,all buckets,16,239,231788,79.9091,0.9264,0.29965,0.33225,1.298,70335.390646,880.192662,0.01812
1,removed 255-269 (PF=41.501),15,225,218303,84.6592,0.9275,0.300187,0.333292,1.3036,66314.968037,783.316494,0.01812
2,removed 30-44 (PF=57.299),14,210,203841,87.6345,0.9278,0.300266,0.334082,1.3076,61912.933783,706.490345,0.005016
3,removed 240-254 (PF=63.967),13,195,189398,90.1914,0.9283,0.300262,0.334413,1.3093,57506.684795,637.607311,0.005016
4,removed 225-239 (PF=64.808),12,180,174953,93.2057,0.9292,0.30037,0.33478,1.3118,53120.505349,569.927719,0.005016
5,removed 210-224 (PF=67.574),11,165,160473,96.5127,0.9302,0.300454,0.3348,1.3144,48719.47337,504.798471,0.005016
6,removed 195-209 (PF=81.125),10,150,145849,98.3764,0.9304,0.300621,0.334576,1.3158,44295.591369,450.266655,0.005016
7,removed 135-149 (PF=85.307),9,135,131228,100.0679,0.9306,0.300965,0.334082,1.3168,39893.681143,398.665967,0.005016
8,removed 45-59 (PF=85.364),8,120,116719,102.2904,0.9308,0.300542,0.334576,1.3186,35425.289121,346.320754,0.019368
9,removed 90-104 (PF=88.915),7,105,102127,104.4942,0.931,0.301314,0.336312,1.3229,31069.581794,297.333139,0.019368
10,removed 165-179 (PF=100.166),6,90,87494,105.2517,0.9306,0.301509,0.335718,1.3224,26633.307572,253.044037,0.019368
11,removed 150-164 (PF=100.399),5,75,72864,106.2701,0.9306,0.302168,0.335625,1.3233,22226.3536,209.14955,0.004015
12,removed 75-89 (PF=101.757),4,60,58340,107.4666,0.9308,0.301695,0.336418,1.3226,17766.217089,165.318523,0.004015
13,removed 180-194 (PF=105.089),3,45,43707,108.3062,0.9301,0.299947,0.3316,1.3176,13231.949614,122.171644,0.004015
14,removed 60-74 (PF=106.035),2,30,29185,109.4755,0.931,0.299777,0.334639,1.3201,8829.656523,80.654215,0.004015
15,removed 105-119 (PF=106.453),1,15,14604,112.6415,0.9301,0.301156,0.338387,1.3251,4437.475552,39.39469,0.004015
