bucket,in_window,n_bar_days,n_labelable,n_trade_worthy,n_trades,pf,win_rate,avg_pnl,median_pnl,sharpe,gross_profit,gross_loss,max_drawdown
0-14,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-29,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-44,,14790,300220,12721,14462,57.2986,0.9234,0.299074,0.317263,1.2506,4402.034254,76.826149,0.01812
45-59,,14790,292627,12816,14509,85.3639,0.9294,0.304366,0.329091,1.3027,4468.392022,52.345213,0.005016
60-74,***,14790,652242,12766,14522,106.0348,0.9282,0.300288,0.326844,1.3126,4402.293091,41.517429,0.019368
75-89,***,14790,626000,12778,14524,101.7575,0.93,0.30407,0.333593,1.3263,4460.136511,43.831027,0.01902
90-104,***,14790,609833,12756,14592,88.9145,0.9292,0.295143,0.322932,1.2893,4355.707326,48.987615,0.00716
105-119,,14790,264417,12726,14581,106.4525,0.9319,0.298397,0.331053,1.3151,4392.180971,41.259524,0.004292
120-134,,14790,258609,12513,14604,112.6415,0.9301,0.301156,0.338387,1.3251,4437.475552,39.39469,0.004047
135-149,,14790,251891,12497,14621,85.3072,0.9285,0.297538,0.340364,1.3076,4401.910226,51.600688,0.003464
150-164,,14790,247494,12561,14630,100.3988,0.9308,0.298227,0.336715,1.3181,4406.953972,43.894487,0.007562
165-179,,14790,241211,12392,14633,100.1663,0.9333,0.300142,0.338501,1.3259,4436.274222,44.289102,0.005248
180-194,,14790,234447,12220,14633,105.0891,0.9328,0.306917,0.346889,1.3379,4534.267475,43.146879,0.004125
195-209,,14790,228604,12106,14624,81.1248,0.9277,0.298779,0.3374,1.3001,4423.882001,54.531817,0.004261
210-224,,14655,219760,12133,14480,67.5738,0.9182,0.299441,0.333442,1.2838,4401.031979,65.129248,0.003775
225-239,,14655,212529,12173,14445,64.808,0.917,0.298962,0.329806,1.28,4386.179446,67.679592,0.004249
240-254,,14655,201046,12220,14443,63.9671,0.9224,0.300309,0.330323,1.2858,4406.248988,68.883034,0.006568
255-269,,13678,167199,11167,13485,41.5006,0.907,0.290956,0.322182,1.2129,4020.422608,96.876168,0.011936
270-284,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285-299,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300-314,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315-329,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330-344,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345-359,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360-374,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375-389,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
