width,start,end,n_trades,pf,win_rate,avg_pnl,median_pnl,sharpe,gross_profit,gross_loss,max_drawdown
45,193,238,43576,71.5419,0.9211,0.298874,0.33425,1.2896,13208.348876,184.62406,0.003799
45,58,103,43628,97.139,0.9292,0.300121,0.327216,1.3076,13229.864628,136.195184,0.016928
45,36,81,43538,87.6783,0.9282,0.301941,0.326154,1.3016,13297.570438,151.663225,0.018824
45,219,264,43348,61.0867,0.9179,0.298223,0.329778,1.2742,13142.521276,215.145367,0.013493
45,100,145,43798,103.4506,0.9304,0.298824,0.335,1.3169,13215.656007,127.748531,0.004015
45,92,137,43783,102.0778,0.9303,0.298239,0.331366,1.3112,13186.989706,129.185734,0.004015
45,87,132,43761,103.4603,0.9313,0.299032,0.331,1.3127,13213.67712,127.717316,0.004015
45,65,110,43655,98.2916,0.9294,0.299381,0.328,1.307,13203.812216,134.333018,0.002888
45,218,263,43349,62.3536,0.9184,0.298692,0.330006,1.2764,13159.025839,211.038588,0.013493
45,56,101,43618,95.524,0.9292,0.300146,0.326968,1.3055,13230.27469,138.502029,0.018443
45,203,248,43445,67.1114,0.9198,0.299073,0.331,1.2812,13189.749305,196.53525,0.003543
45,219,264,43348,61.0867,0.9179,0.298223,0.329778,1.2742,13142.521276,215.145367,0.013493
45,169,214,43851,88.7458,0.9299,0.301964,0.340072,1.3143,13392.338458,150.906671,0.002133
45,52,97,43598,93.8688,0.9286,0.300052,0.326154,1.3039,13222.525552,140.861755,0.018135
45,181,226,43727,80.8196,0.9259,0.301476,0.3395,1.3065,13347.818385,165.155613,0.002026
45,138,183,43885,97.5654,0.9318,0.299708,0.338571,1.3203,13288.871232,136.20478,0.005264
45,38,83,43543,91.1785,0.9289,0.302408,0.327021,1.3058,13313.758311,146.018635,0.016215
45,37,82,43541,89.5814,0.9283,0.302096,0.326198,1.3041,13302.044753,148.491222,0.018637
45,53,98,43603,94.0613,0.9287,0.299961,0.326408,1.3043,13219.746039,140.543934,0.006245
45,85,130,43749,103.7401,0.9314,0.299052,0.331053,1.3138,13210.573718,127.343016,0.004015
