step,action,n_bars,n_trades,pf,win_rate,avg_pnl,median_pnl,sharpe,gross_profit,gross_loss,max_drawdown
0,60-105 only,45,43638,98.396,0.9291,0.299826,0.327755,1.3092,13218.136929,134.336071,0.019368
1,added 120-134 (PF=112.641),60,58242,101.6263,0.9294,0.300159,0.330133,1.3132,17655.612481,173.730761,0.004015
2,added 105-119 (PF=106.453),75,72823,102.5525,0.9299,0.299806,0.330323,1.3135,22047.793452,214.990285,0.004015
3,added 180-194 (PF=105.089),90,87456,102.9765,0.9304,0.300996,0.333881,1.3175,26582.060927,258.137165,0.019368
4,added 150-164 (PF=100.399),105,102086,102.6019,0.9304,0.300599,0.334136,1.3176,30989.014898,302.031652,0.019368
5,added 165-179 (PF=100.166),120,116719,102.2904,0.9308,0.300542,0.334576,1.3186,35425.289121,346.320754,0.019368
6,added 45-59 (PF=85.364),135,131228,100.0679,0.9306,0.300965,0.334082,1.3168,39893.681143,398.665967,0.005016
7,added 135-149 (PF=85.307),150,145849,98.3764,0.9304,0.300621,0.334576,1.3158,44295.591369,450.266655,0.005016
8,added 195-209 (PF=81.125),165,160473,96.5127,0.9302,0.300454,0.3348,1.3144,48719.47337,504.798471,0.005016
9,added 210-224 (PF=67.574),180,174953,93.2057,0.9292,0.30037,0.33478,1.3118,53120.505349,569.927719,0.005016
10,added 225-239 (PF=64.808),195,189398,90.1914,0.9283,0.300262,0.334413,1.3093,57506.684795,637.607311,0.005016
11,added 240-254 (PF=63.967),210,203841,87.6345,0.9278,0.300266,0.334082,1.3076,61912.933783,706.490345,0.005016
12,added 30-44 (PF=57.299),225,218303,84.6592,0.9275,0.300187,0.333292,1.3036,66314.968037,783.316494,0.01812
13,added 255-269 (PF=41.501),239,231788,79.9091,0.9264,0.29965,0.33225,1.298,70335.390646,880.192662,0.01812
