fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held
-1,2026-03-05,38,150,put,83.0000263443061,model,112
-1,2026-03-06,108,125,put,137.74999990968996,model,17
-1,2026-03-09,50,140,put,-1083.2500008158386,model,90
-1,2026-03-10,53,105,put,-938.9749751784102,model,52
-1,2026-03-11,40,140,put,1064.4249234366666,model,100
-1,2026-03-12,109,125,put,-222.4999617709614,model,16
-1,2026-03-13,106,139,put,837.8999632015448,model,33
-1,2026-03-16,53,80,put,1537.8999623019763,model,27
-1,2026-03-17,53,165,put,681.7500189518906,model,112
-1,2026-03-18,115,160,put,3.124961637727509,model,45
-1,2026-03-19,90,145,put,-1.099973013298893,model,55
-1,2026-03-20,97,120,put,-18.799923824183317,model,23
-1,2026-03-23,67,110,put,-509.12494358870345,model,43
-1,2026-03-24,110,190,put,177.37495926627244,model,80
-1,2026-03-25,46,115,put,66.00001814916004,model,69
-1,2026-03-26,48,240,put,2600.4600914390385,model,192
-1,2026-03-27,87,110,put,193.50005821805973,model,23
-1,2026-03-30,117,120,put,167.24998242938278,model,3
-1,2026-03-31,65,100,put,290.62498202481135,model,35
-1,2026-04-01,49,65,put,55.99998286239545,model,16
