day,bar_index,window_idx,rule,pnl,pred_score,label,v0_pnl,v1_pnl
2023-01-26,42,0,V0_fallback,-975.6786347687786,,,,
2023-01-27,83,0,V0_fallback,-1024.8333331421018,,,,
2023-01-30,69,0,V0_fallback,-138.29906093802686,,,,
2023-02-01,92,0,V0_fallback,-351.7000184200704,,,,
2023-02-03,112,0,V0_fallback,1868.0849172519147,,,,
2023-02-06,41,0,V0_fallback,-664.369215307907,,,,
2023-02-07,39,0,V0_fallback,-805.2724390928545,,,,
2023-02-08,35,0,V0_fallback,924.0955785170844,,,,
2023-02-09,31,0,V0_fallback,2801.6819333325734,,,,
2023-02-15,82,0,V0_fallback,-981.3298213761426,,,,
2023-02-23,95,0,V0_fallback,351.8647359515789,,,,
2023-03-01,100,0,V0_fallback,-714.0339958909357,,,,
2023-03-13,49,0,V0_fallback,312.9062511269003,,,,
2023-03-21,42,0,V0_fallback,-118.81607589645766,,,,
2023-03-28,87,0,V0_fallback,72.83140399634911,,,,
2023-03-30,119,0,V0_fallback,588.0999908350408,,,,
2023-04-03,105,0,V0_fallback,-740.5517533883966,,,,
2023-04-04,88,0,V0_fallback,229.1916171036661,,,,
2023-04-11,75,0,V0_fallback,-1025.0317151649788,,,,
2023-04-12,35,1,V0_fallback,-630.6484217047691,,,,
2023-04-13,31,1,V0_fallback,-1109.0399976065755,,,,
2023-04-14,34,1,V0_fallback,3706.5295243394726,,,,
2023-04-25,86,1,V0_fallback,2251.2400999313595,,,,
2023-04-26,80,1,V0_fallback,194.04993230439052,,,,
2023-04-27,30,1,V0_fallback,-887.6059595992707,,,,
2023-04-28,114,1,V0_fallback,-906.1000091038644,,,,
2023-05-04,120,1,V0_fallback,-723.9901731167646,,,,
2023-05-10,103,1,V0_fallback,740.5166110203188,,,,
2023-05-12,55,1,V0_fallback,2194.3575076180696,,,,
2023-05-22,118,1,V0_fallback,-261.3999610155821,,,,
2023-06-01,118,1,V0_fallback,-858.9810822055549,,,,
2023-06-05,39,1,V0_fallback,-576.0505914205313,,,,
2023-06-06,35,1,V0_fallback,-490.1988139407513,,,,
2023-06-07,96,1,V0_fallback,523.8214071377047,,,,
2023-06-09,73,1,V0_fallback,170.22654605098066,,,,
2023-06-13,47,1,V0_fallback,-938.617226690054,,,,
2023-06-16,96,1,V0_fallback,-494.9583894113699,,,,
2023-06-20,52,1,V0_fallback,-910.7871933655535,,,,
2023-06-21,31,1,V0_fallback,-891.212613902602,,,,
2023-06-22,31,1,V0_fallback,315.0824824552238,,,,
2023-06-26,76,1,V0_fallback,-809.2700306340307,,,,
2023-06-28,44,1,V0_fallback,56.94072196832332,,,,
2023-06-29,42,1,V0_fallback,-784.1502225933916,,,,
2023-06-30,79,1,V0_fallback,-912.4999591376292,,,,
2023-07-03,73,1,V0_fallback,-826.4749825542874,,,,
2023-07-05,40,1,V0_fallback,-435.50527319516,,,,
2023-07-07,47,1,V0_fallback,-1084.9576962273131,,,,
2023-07-10,86,2,V0,-505.4999615289271,0.0024057778121319867,0.0,-505.4999615289271,-505.4999615289271
2023-07-11,45,2,V0,-948.0383354961376,0.05300036839570996,0.0,-948.0383354961376,-948.0383354961376
2023-07-12,119,2,V0,-7.93269516140802,0.0004849872920521288,0.0,-7.93269516140802,-7.93269516140802
2023-07-13,100,2,V0,-430.9200303274393,0.002725006851008096,0.0,-430.9200303274393,-430.9200303274393
2023-07-14,74,2,V0,-157.05996563896537,0.00593236384652695,0.0,-157.05996563896537,-157.05996563896537
2023-07-17,71,2,V0,-839.9500476580114,0.006096247119605654,0.0,-839.9500476580114,-839.9500476580114
2023-07-18,55,2,V0,1419.129252280826,0.0008209752313819047,0.0,1419.129252280826,-923.94756359132
2023-07-19,64,2,V0,270.41666719689965,0.04401210974999206,0.0,270.41666719689965,270.41666719689965
2023-07-20,34,2,V0,313.89961557773523,0.007591043120081871,0.0,313.89961557773523,313.89961557773523
2023-07-21,67,2,V0,-787.0499635849148,0.011100588720002894,0.0,-787.0499635849148,-787.0499635849148
2023-07-24,40,2,V0,-917.4014743806116,0.02459903948747254,0.0,-917.4014743806116,-917.4014743806116
2023-07-26,96,2,V0,-162.2000565558672,0.05819826493929932,0.0,-162.2000565558672,-162.2000565558672
2023-07-28,30,2,V0,-264.76829050577015,0.00010580673366545219,0.0,-264.76829050577015,-361.50279367247174
2023-07-31,120,2,V0,100.59000344745816,0.022875528831874704,0.0,100.59000344745816,100.59000344745816
2023-08-01,55,2,V0,-697.3333049016256,0.005200920309762744,0.0,-697.3333049016256,-697.3333049016256
2023-08-03,39,2,V0,-920.1739136353136,0.0006915495256678435,0.0,-920.1739136353136,-920.1739136353136
2023-08-07,31,2,V0,-1061.4640036152157,0.00235032965596762,0.0,-1061.4640036152157,-1061.4640036152157
2023-08-10,74,2,V0,3588.4535459675667,0.03743329544151972,0.0,3588.4535459675667,3588.4535459675667
2023-08-14,32,2,V0,-940.7319374445096,0.0006915495256678435,0.0,-940.7319374445096,-940.7319374445096
2023-08-17,111,2,V0,180.13641960828596,0.05300036839570996,0.0,180.13641960828596,180.13641960828596
2023-08-18,32,2,V0,-963.2999635569752,0.0028094670174100096,0.0,-963.2999635569752,-963.2999635569752
2023-08-21,58,2,V0,-907.7751940643636,0.009912686219132343,0.0,-907.7751940643636,-907.7751940643636
2023-08-22,58,2,V0,603.6663783519083,0.0003168188948053753,0.0,603.6663783519083,603.6663783519083
2023-08-24,36,2,V0,3876.4998949061737,0.000673450451900506,0.0,3876.4998949061737,3876.4998949061737
2023-08-25,113,2,V0,-1074.3135826078765,0.0017222088189573143,0.0,-1074.3135826078765,-1074.3135826078765
2023-08-28,100,2,V0,-190.4698474820831,0.005200920309762744,0.0,-190.4698474820831,-190.4698474820831
2023-08-29,96,2,V0,-1039.8335403278968,0.009734611604001575,0.0,-1039.8335403278968,-1039.8335403278968
2023-08-30,94,2,V0,-773.8124846145511,0.002725006851008096,0.0,-773.8124846145511,-773.8124846145511
2023-08-31,36,2,V0,-173.0996802715277,0.012871844862688983,0.0,-173.0996802715277,-173.0996802715277
2023-09-08,30,2,V0,-447.4852077790564,0.005344705884287896,0.0,-447.4852077790564,-447.4852077790564
2023-09-13,35,2,V0,-920.4025137765868,0.0012286939938669604,0.0,-920.4025137765868,-920.4025137765868
2023-09-15,61,2,V0,1177.230030383684,0.05168406022998208,0.0,1177.230030383684,1177.230030383684
2023-09-22,51,2,V0,38.24744855612517,0.007945005654319543,0.0,38.24744855612517,38.24744855612517
2023-09-25,54,2,V0,-1004.2282617408782,0.005344705884287896,0.0,-1004.2282617408782,-1004.2282617408782
2023-09-28,60,2,V0,-1057.236951111419,0.009363632966347568,0.0,-1057.236951111419,-1057.236951111419
2023-09-29,49,2,V0,3180.2518355682605,0.0001881966314413484,0.0,3180.2518355682605,3180.2518355682605
2023-10-02,40,2,V0,644.509366768334,0.000123782357967211,0.0,644.509366768334,644.509366768334
2023-10-03,31,3,V0,2627.3273418919607,0.002533173657372122,0.0,2627.3273418919607,2627.3273418919607
2023-10-05,33,3,V0,-777.0150581272522,0.12971742169954564,0.0,-777.0150581272522,-777.0150581272522
2023-10-09,37,3,V0,-1140.6198500026624,0.0009821797828474244,0.0,-1140.6198500026624,-1140.6198500026624
2023-10-10,31,3,V0,664.2941914275289,0.0027658862254055796,0.0,664.2941914275289,-860.6190121730878
2023-10-12,30,3,V0,1811.9406318344395,0.014596066320824719,0.0,1811.9406318344395,1811.9406318344395
2023-10-18,84,3,V0,-575.999963119626,0.0009191167192743483,0.0,-575.999963119626,-575.999963119626
2023-10-20,43,3,V0,-695.4885734579401,0.015582964804020338,0.0,-695.4885734579401,-695.4885734579401
2023-10-23,31,3,V0,746.0000732988119,0.0011586214796478656,0.0,746.0000732988119,-1116.1358990462895
2023-10-24,34,3,V0,-257.5714329821724,0.0022509625753951113,0.0,-257.5714329821724,-257.5714329821724
2023-10-26,35,3,V0,87.91594389609274,0.12411521977194194,0.0,87.91594389609274,87.91594389609274
2023-10-27,37,3,V0,-968.5596112210158,0.03221634950459789,1.0,-968.5596112210158,1505.8848978282117
2023-10-30,30,3,V0,-935.1080783525072,0.012987521539481682,0.0,-935.1080783525072,-935.1080783525072
2023-10-31,35,3,V0,-1137.4230577501542,0.00856030887072912,0.0,-1137.4230577501542,-1137.4230577501542
2023-11-01,34,3,V0,-71.43583202550856,0.0006781560965903792,0.0,-71.43583202550856,-299.2000184759498
2023-11-07,33,3,V0,768.550000410527,0.00020945017319863387,0.0,768.550000410527,-933.6874565035104
2023-11-08,120,3,V0,-314.5869176592679,0.00011433351170511123,0.0,-314.5869176592679,-314.5869176592679
2023-11-09,38,3,V0,712.8158676214516,0.00048066085717212185,0.0,712.8158676214516,712.8158676214516
2023-11-10,31,3,V0,-1085.7613626159728,1.3351875840536265e-05,0.0,-1085.7613626159728,-1085.7613626159728
2023-11-14,30,3,V0,-581.7471955592019,0.0010663754395816064,0.0,-581.7471955592019,-581.7471955592019
2023-11-16,50,3,V0,-42.35145427529121,0.00470538902366987,0.0,-42.35145427529121,-42.35145427529121
2023-11-17,33,3,V0,-899.8427479729996,0.0010916280630930753,0.0,-899.8427479729996,-899.8427479729996
2023-11-20,31,3,V0,-1146.8367272703415,0.0007442908527277841,0.0,-1146.8367272703415,-1146.8367272703415
2023-11-21,86,3,V0,-687.9000283278525,0.001095073062450394,0.0,-687.9000283278525,-687.9000283278525
2023-11-22,43,3,V0,-946.5468509346248,0.03856801583578101,0.0,-946.5468509346248,-946.5468509346248
2023-11-24,48,3,V0,-516.492671836825,0.0003857756507105255,0.0,-516.492671836825,-516.492671836825
2023-11-27,30,3,V0,-727.6666368643442,0.00023202169318576948,0.0,-727.6666368643442,-727.6666368643442
2023-11-28,66,3,V0,-448.9000192455947,0.0011336190413219886,0.0,-448.9000192455947,-448.9000192455947
2023-11-30,31,3,V0,236.1610151052657,0.00010807874868554993,0.0,236.1610151052657,236.1610151052657
2023-12-04,118,3,V0,-653.6000091597438,0.003025701880186289,0.0,-653.6000091597438,-653.6000091597438
2023-12-05,38,3,V0,-515.9411569296875,0.00022318071061356245,1.0,-515.9411569296875,-372.15050357500616
2023-12-08,39,3,V0,-219.2091130029697,0.006307310209590239,0.0,-219.2091130029697,-219.2091130029697
2023-12-11,31,3,V0,-918.1548631893384,0.0004470230865925789,0.0,-918.1548631893384,-918.1548631893384
2023-12-13,34,3,V0,-21.299998913065664,0.0003879340177638048,0.0,-21.299998913065664,-21.299998913065664
2023-12-14,30,3,V0,1994.326935769775,0.0018179840828017456,0.0,1994.326935769775,1994.326935769775
