xsim_idx,xsim_name,in_l2,in_w2a,category
0,ret_6,False,False,x_sim_only
1,ret_12,False,False,x_sim_only
2,volume_ratio,True,False,in_l2
3,bar_range,False,False,x_sim_only
4,realized_vol,False,False,x_sim_only
5,range_ratio,False,False,x_sim_only
6,vwap_dist,False,False,x_sim_only
7,session_range_pct,False,False,x_sim_only
8,prev_high_dist,False,False,x_sim_only
9,ema_cross,False,False,x_sim_only
10,consec_direction,False,False,x_sim_only
11,speed_estimate,False,False,x_sim_only
12,vix_roc,False,False,x_sim_only
13,minutes_to_close,False,False,x_sim_only
14,vix_regime,False,False,x_sim_only
15,bollinger_position,False,False,x_sim_only
16,rsi_7,False,False,x_sim_only
17,session_range_position,False,False,x_sim_only
18,poc_dist,False,False,x_sim_only
19,va_position,False,False,x_sim_only
20,ib_break,False,False,x_sim_only
21,atr_14,False,False,x_sim_only
22,bar_delta,False,False,x_sim_only
23,session_cum_delta,False,False,x_sim_only
24,macdh_slope,False,False,x_sim_only
25,force_index_2,False,False,x_sim_only
26,effort_vs_result,False,False,x_sim_only
27,trend_5min,False,False,x_sim_only
28,vwap_slope,True,False,in_l2
29,intraday_sin,False,False,x_sim_only
30,intraday_cos,False,False,x_sim_only
31,intraday_phase,False,False,x_sim_only
32,opening_gap_pct,False,False,x_sim_only
33,session_open_dist,False,False,x_sim_only
34,first15_range_pct,True,False,in_l2
35,first15_close_position,False,False,x_sim_only
36,first15_acceptance,False,False,x_sim_only
37,bars_since_break_above_first15,True,False,in_l2
38,bars_since_break_below_first15,True,False,in_l2
39,vwap_reclaim_state,False,False,x_sim_only
40,ib_extension_pct,False,False,x_sim_only
41,marker_10am,False,False,x_sim_only
42,marker_11am,False,False,x_sim_only
43,marker_1130am,False,False,x_sim_only
44,lunch_flag,False,False,x_sim_only
45,power_hour_flag,False,False,x_sim_only
46,volume_climax_signal,False,False,x_sim_only
47,breakout_confirmation,False,False,x_sim_only
48,sigma_pos,True,True,in_l2
49,omar_retest_dist_norm,True,True,in_l2
50,omar_range_pct,True,True,in_l2
51,last10_range_over_omar,True,True,in_l2
52,inside_first15,True,True,in_l2
53,late_window_40_120_flag,True,True,in_l2
54,omar_mid_pos_units,True,True,in_l2
55,last10_break_state,True,True,in_l2
56,atm_iv,True,False,in_l2
57,vrp,False,False,x_sim_only
58,iv_percentile,True,False,in_l2
59,atm_gamma,False,False,x_sim_only
60,atm_theta_per_bar,False,False,x_sim_only
61,gamma_pressure,False,False,x_sim_only
62,aggregate_charm,False,False,x_sim_only
63,option_spread_pct,False,False,x_sim_only
64,iv_skew_pct,False,False,x_sim_only
65,current_moneyness_pct,False,False,x_sim_only
66,near_atm_moneyness_pct,False,False,x_sim_only
67,theta_acceleration,False,False,x_sim_only
68,slice_call_iv_mean,False,False,x_sim_only
69,slice_put_iv_mean,False,False,x_sim_only
70,slice_iv_skew_slope,False,False,x_sim_only
71,slice_iv_curvature,False,False,x_sim_only
72,slice_gamma_concentration,False,False,x_sim_only
73,slice_gamma_dollar_concentration,False,False,x_sim_only
74,slice_theta_pressure,False,False,x_sim_only
75,slice_dist_to_max_gamma,False,False,x_sim_only
76,slice_dist_to_max_gamma_dollar,False,False,x_sim_only
77,slice_call_put_gamma_imbalance,False,False,x_sim_only
78,slice_mean_spread,False,False,x_sim_only
79,slice_txn_center_share,False,False,x_sim_only
80,slice_quality_share,False,False,x_sim_only
81,log_near_call_volume,False,False,x_sim_only
82,log_near_put_volume,False,False,x_sim_only
83,call_put_flow_ratio,False,False,x_sim_only
84,log_total_volume,False,False,x_sim_only
85,chain_call_put_ratio,False,False,x_sim_only
86,log_chain_volume,False,False,x_sim_only
87,log_near_transactions,False,False,x_sim_only
88,put_call_txn_ratio,False,False,x_sim_only
