fold_idx,day,entry_bar,exit_bar,direction,pnl,trigger,bars_held,max_prob
-1,2026-03-05,38,41,put,-165.75000167168955,model,3,0.9882880540085941
-1,2026-03-06,108,125,put,137.74999990968996,model,17,0.9745520121835707
-1,2026-03-09,50,140,put,-1083.2500008158386,model,90,0.9694818205514585
-1,2026-03-10,53,105,put,-938.9749751784102,model,52,0.973731947650858
-1,2026-03-11,40,140,put,1064.4249234366666,model,100,0.976065980528614
-1,2026-03-12,109,125,put,-222.4999617709614,model,16,0.9678043763710238
-1,2026-03-13,106,139,put,837.8999632015448,model,33,0.9603693716326908
-1,2026-03-16,53,194,put,498.0249229009011,model,141,0.9785169931063817
-1,2026-03-17,53,165,put,681.7500189518906,model,112,0.9814095539164701
-1,2026-03-18,115,160,put,3.124961637727509,model,45,0.9678986191727943
-1,2026-03-19,90,145,put,-1.099973013298893,model,55,0.9823301216263185
-1,2026-03-20,97,100,put,-202.1249434947425,model,3,0.9723717698434665
-1,2026-03-23,67,110,put,-509.12494358870345,model,43,0.9846484362600351
-1,2026-03-24,110,190,put,177.37495926627244,model,80,0.982691459727556
-1,2026-03-25,46,115,put,66.00001814916004,model,69,0.9850919200875884
-1,2026-03-26,48,240,put,2600.4600914390385,model,192,0.9730292953654939
-1,2026-03-27,87,110,put,193.50005821805973,model,23,0.9635641495914721
-1,2026-03-30,117,120,put,167.24998242938278,model,3,0.9702451082499
-1,2026-03-31,65,100,put,290.62498202481135,model,35,0.9808996175363364
-1,2026-04-01,49,65,put,55.99998286239545,model,16,0.9685123369698867
