day,side,action_id,base_bar,base_pnl,base_hl,h3a_bar,h3a_pnl,h3a_hl
2023-03-31,call,1,269,903.0000610351562,969.1184866816596,269,903.0000610351562,969.1184866816596
2023-04-12,call,1,47,-14.880020141601562,-28.190022602677345,48,-143.06004333496094,-169.72213154534498
2023-04-13,call,1,260,2489.368896484375,2717.157595390546,249,2032.5677490234375,2214.046248233366
2023-04-14,put,13,214,2786.51806640625,2967.185451038477,140,2152.267578125,2287.2731074381227
2023-04-17,call,1,120,-567.4700317382812,-633.082554142548,43,76.02997589111328,74.92226441804951
2023-04-18,call,1,55,-333.953857421875,-382.8626885306122,34,-127.34611511230469,-154.18146911872188
2023-04-19,call,1,256,754.1871948242188,821.2468605778445,257,812.2618408203125,886.0899315628674
2023-04-20,call,1,150,23.624361038208008,8.789893730508586,121,-99.09774780273438,-124.77011851662732
2023-04-21,call,1,35,101.8695297241211,100.69230506573196,35,101.8695297241211,100.69230506573196
2023-04-24,put,13,234,522.550048828125,495.6842438094833,151,1007.6499633789062,1034.2484751262498
2023-04-25,call,1,40,-277.58331298828125,-391.7610111667126,40,-277.58331298828125,-391.7610111667126
2023-04-26,call,1,45,-406.24346923828125,-465.10036852226955,45,-406.24346923828125,-465.10036852226955
2023-04-27,call,1,248,2155.085205078125,2411.9056962972068,202,1457.502197265625,1625.2389868727735
2023-04-28,put,13,35,-338.1900329589844,-463.7387873083353,35,-338.1900329589844,-463.7387873083353
2023-05-01,call,7,113,-423.2536315917969,-478.7418227957979,110,-246.44927978515625,-285.9225842714976
2023-05-02,call,1,259,-1015.62451171875,-1215.7102121185617,259,-1015.62451171875,-1215.7102121185617
2023-05-05,call,1,256,195.13888549804688,187.10790019054636,256,195.13888549804688,187.10790019054636
2023-05-08,put,13,47,81.40498352050781,76.05578560595002,90,-384.5180358886719,-431.467503393335
2023-05-09,put,18,121,149.3600311279297,156.63855132968803,120,118.67007446289062,122.73565938998395
2023-05-10,call,1,200,-566.2822265625,-643.7166584851938,200,-566.2822265625,-643.7166584851938
2023-05-11,call,1,47,-37.75602722167969,-58.22507842313219,46,89.56633758544922,83.1816185364337
2023-05-12,put,13,135,137.1321258544922,131.31892331402054,145,11.321709632873535,-10.062088386539969
2023-05-15,call,1,44,-440.37701416015625,-557.4212852200346,37,-291.9566345214844,-392.58272227013975
2023-05-16,call,1,40,-245.54345703125,-284.66667921947436,32,90.76090240478516,95.15532575851834
2023-05-17,call,1,35,72.3958740234375,67.68711084872484,33,23.125038146972656,13.283896235128243
2023-05-18,put,14,136,-212.34344482421875,-252.9649446356385,227,713.7371215820312,765.1209271891155
2023-05-19,call,1,102,-571.1905517578125,-639.0415760013583,104,-502.2307434082031,-563.5465316260244
2023-05-22,call,1,36,-98.58795166015625,-180.2641998253596,36,-98.58795166015625,-180.2641998253596
2023-05-23,put,13,110,170.9600067138672,182.58889179833517,111,42.259986877441406,39.316858796020774
2023-05-25,call,1,57,65.18978118896484,61.01244773452336,56,92.81916046142578,91.54407282191666
2023-05-26,call,1,225,591.244140625,628.0686496929959,225,591.244140625,628.0686496929959
2023-05-30,call,1,111,-36.86540603637695,-74.0129574333673,111,-36.86540603637695,-74.0129574333673
2023-05-31,call,1,40,-372.2115478515625,-496.17611909800996,40,-372.2115478515625,-496.17611909800996
2023-06-01,call,1,217,3112.642333984375,3403.4012827713327,170,2993.0224609375,3275.1839852125063
2023-06-02,call,1,89,1580.3428955078125,1738.6774721424501,35,190.4215545654297,187.7365128200497
2023-06-05,call,1,151,49.11862564086914,-30.633130025001805,243,-293.9345397949219,-417.3866725678574
2023-06-06,put,13,85,-742.6390991210938,-894.3857406702135,85,-742.6390991210938,-894.3857406702135
2023-06-07,put,18,120,-219.1800079345703,-310.32784902715537,120,-219.1800079345703,-310.32784902715537
2023-06-08,call,1,196,1616.6099853515625,1764.8947070912786,261,1125.570068359375,1219.1547969440119
2023-06-09,call,6,106,-18.839963912963867,-40.25149807534539,93,-33.516944885253906,-56.33972721804793
2023-06-12,put,14,50,-120.0258560180664,-151.51536728020073,44,-267.5908508300781,-314.752089903688
2023-06-13,call,1,263,731.4601440429688,731.9338752964183,262,682.0796508789062,677.1709382904797
2023-06-14,put,18,100,-104.86572265625,-129.2529588160186,100,-104.86572265625,-129.2529588160186
2023-06-15,put,13,232,-447.5749816894531,-518.1341615881896,252,-830.7499389648438,-943.1585904558655
2023-06-16,put,13,94,73.20000457763672,71.89903798520473,248,-65.39996337890625,-86.19270136452262
2023-06-20,put,14,128,495.1699523925781,534.4160696357553,160,393.2000732421875,419.9126105478669
2023-06-21,put,13,41,-229.65855407714844,-271.37283806844414,39,24.792699813842773,8.93728268690084
2023-06-22,put,19,163,-295.7648620605469,-396.8298678395844,122,-182.41696166992188,-272.9084689771869
2023-06-23,put,18,98,-68.15882110595703,-87.60578193766736,97,17.5462589263916,7.30302205349467
2023-06-26,call,1,66,-51.10001754760742,-124.5022744240055,66,-51.10001754760742,-124.5022744240055
2023-06-27,call,1,229,2450.826904296875,2757.5089354949746,249,2838.911376953125,3197.3017126001046
2023-06-28,call,1,249,449.1999206542969,476.08991291530435,257,345.25,361.1050001955777
2023-06-29,put,13,55,20.149982452392578,14.112758707095963,55,20.149982452392578,14.112758707095963
2023-06-30,put,13,197,-468.0799560546875,-525.994882536714,202,-507.6799621582031,-569.7969267345811
2023-07-03,call,5,79,29.899999618530273,27.408816701131553,79,29.899999618530273,27.408816701131553
2023-07-05,call,6,145,-105.80001831054688,-125.09205112796973,145,-105.80001831054688,-125.09205112796973
2023-07-06,call,2,94,98.14002227783203,98.76400875234624,94,98.14002227783203,98.76400875234624
2023-07-07,call,6,260,1795.550048828125,1967.8590916683343,266,1645.0699462890625,1801.2630679032477
2023-08-29,put,13,170,-631.669189453125,-714.1533189560104,113,-19.831613540649414,-32.15088096496914
2023-09-25,call,1,230,571.3538208007812,607.6335890149527,232,465.43603515625,490.3356991402859
2023-09-28,put,13,116,11.65636157989502,-64.69836616240711,115,-85.8919448852539,-174.02786862632576
2023-10-03,put,13,150,503.92596435546875,537.0885605876148,146,646.0840454101562,693.542449747771
2023-10-04,put,13,135,-293.07403564453125,-337.5467310186762,105,11.375807762145996,-3.822864207510765
2023-10-05,call,1,65,-409.2699890136719,-518.7680736222673,67,-486.4899597167969,-603.6670392118162
2023-10-06,call,1,150,3040.23828125,3316.460022832204,150,3040.23828125,3316.460022832204
2023-10-09,call,1,75,-352.8570556640625,-408.54659596871164,75,-352.8570556640625,-408.54659596871164
2023-10-10,call,1,211,401.57696533203125,431.2954880427516,211,401.57696533203125,431.2954880427516
2023-10-11,call,1,105,-127.85245513916016,-150.752091599244,105,-127.85245513916016,-150.752091599244
2023-10-12,call,1,150,106.59476470947266,46.97447526178928,195,57.42414855957031,-8.022043170214992
2023-10-13,call,1,110,-781.0477294921875,-891.1596988297191,110,-781.0477294921875,-891.1596988297191
2023-10-16,call,1,125,-150.70999145507812,-235.53612667559224,125,-150.70999145507812,-235.53612667559224
2023-10-17,call,1,180,2024.03369140625,2205.768227732412,206,1436.662109375,1559.516140498161
2023-10-18,put,13,150,646.2726440429688,699.4027333659457,150,646.2726440429688,699.4027333659457
2023-10-23,call,1,-1,,,-1,,
2023-10-24,call,1,110,-238.96153259277344,-282.3828716389065,110,-238.96153259277344,-282.3828716389065
2023-10-25,call,1,-1,,,-1,,
2023-10-26,call,1,100,-497.8703308105469,-637.4064529827256,100,-497.8703308105469,-637.4064529827256
2023-10-27,put,13,241,2597.080078125,2836.758085734099,165,491.18084716796875,523.1489316813647
2023-10-30,put,13,143,-170.77740478515625,-198.47988597076414,153,-349.5502014160156,-394.71096326245726
2023-10-31,call,1,160,176.5786895751953,183.54103717114353,116,274.7962646484375,293.12638693635995
2023-11-01,call,6,101,-157.30503845214844,-254.11816781014204,104,-235.34495544433594,-341.913074426353
2023-11-02,put,13,-1,,,-1,,
2023-11-03,call,1,-1,,,-1,,
2023-11-06,call,2,160,-241.67996215820312,-291.48995803296566,160,-241.67996215820312,-291.48995803296566
2023-11-07,put,18,165,530.4000244140625,580.0022011607399,124,-242.79000854492188,-277.23022668509054
2023-11-08,call,2,110,-125.22527313232422,-155.6729179143519,110,-125.22527313232422,-155.6729179143519
2023-11-09,call,1,210,123.89002227783203,125.79047156000615,210,123.89002227783203,125.79047156000615
2023-11-10,put,19,180,-680.7999877929688,-754.5096841982144,180,-680.7999877929688,-754.5096841982144
2023-11-13,call,3,155,829.9640502929688,909.9379248355957,155,829.9640502929688,909.9379248355957
2023-11-14,put,13,100,-128.06996154785156,-210.61441590459447,103,-276.5699768066406,-376.67592827150366
2023-11-15,call,1,125,-225.36949157714844,-268.350515807143,125,-225.36949157714844,-268.350515807143
2023-11-16,put,19,185,-489.0078125,-546.3425327646321,185,-489.0078125,-546.3425327646321
2023-11-17,call,6,165,443.4984436035156,486.6063856858625,165,443.4984436035156,486.6063856858625
2023-11-20,call,5,190,-111.09996032714844,-131.6761459160951,190,-111.09996032714844,-131.6761459160951
2023-11-21,call,6,211,569.610107421875,618.8466779462827,211,569.610107421875,618.8466779462827
2023-11-22,call,6,160,959.811279296875,1062.7903076569921,160,959.811279296875,1062.7903076569921
2023-11-24,call,5,170,30.88756561279297,23.93936064721845,170,30.88756561279297,23.93936064721845
2023-11-27,call,5,170,-104.20001983642578,-183.45418838163215,170,-104.20001983642578,-183.45418838163215
2023-11-28,call,5,165,1080.594970703125,1168.5941784394795,210,38.87043762207031,15.653477978341412
2023-11-29,call,6,220,-335.3528747558594,-385.5790180688809,220,-335.3528747558594,-385.5790180688809
2023-11-30,call,1,145,-587.8333129882812,-661.315949810048,68,-331.625,-378.4192708854874
2023-12-01,call,1,220,1474.5152587890625,1586.3155557566115,235,1314.798583984375,1411.0358702335848
2023-12-04,put,13,117,-49.70988464355469,-76.58975933858663,136,-345.4390869140625,-400.32362131967017
2023-12-05,put,18,193,1579.517578125,1739.4544587689693,146,1356.873291015625,1493.2633884609886
2023-12-06,put,19,220,845.1799926757812,910.3073996162443,220,845.1799926757812,910.3073996162443
2023-12-07,put,18,217,-428.29998779296875,-488.3850336868659,216,-457.9999694824219,-521.4746394673091
2023-12-08,call,6,105,-648.3242797851562,-788.7871973788303,105,-648.3242797851562,-788.7871973788303
2023-12-11,call,6,120,-152.68539428710938,-250.1297142220126,101,-196.5179443359375,-298.76846509491577
2023-12-12,call,6,155,-182.40003967285156,-210.27613076170826,155,-182.40003967285156,-210.27613076170826
2023-12-15,call,6,-1,,,-1,,
2023-12-18,call,5,210,251.65109252929688,266.92354799213126,210,251.65109252929688,266.92354799213126
2023-12-19,call,5,120,200.99722290039062,210.52930085668294,145,34.40336990356445,26.28779422595764
2023-12-20,call,6,120,-111.63887023925781,-139.26003633959576,123,-190.0833282470703,-226.7837138638936
2023-12-22,call,1,156,-334.478271484375,-444.30960500758624,245,-304.98040771484375,-417.6054516978886
2023-12-26,put,19,110,52.09206771850586,44.49293809004223,109,26.440990447998047,16.431045321165378
2023-12-27,call,6,43,-190.73643493652344,-279.8649297492136,185,-164.0216064453125,-254.5113482824978
2023-12-28,put,19,151,-98.12002563476562,-116.65706196583616,116,268.1799621582031,285.08216592290745
2024-01-02,put,18,135,-351.3247985839844,-398.51816100746424,131,-84.16818237304688,-101.80882226316943
2024-01-03,call,1,145,-703.12939453125,-797.9119175068153,145,-703.12939453125,-797.9119175068153
2024-01-04,call,1,190,-469.9201354980469,-550.802588753101,190,-469.9201354980469,-550.802588753101
2024-01-05,call,1,153,-346.9671325683594,-397.36741382074933,155,-391.4295349121094,-447.1738551037567
2024-01-08,put,19,180,-271.3124694824219,-313.4753796866606,146,-94.04056549072266,-116.41866464466875
2024-01-09,call,6,215,1236.625,1363.612890199206,215,1236.625,1363.612890199206
2024-01-10,call,1,215,482.24188232421875,539.1493378797841,215,482.24188232421875,539.1493378797841
2024-01-12,put,13,245,-128.2499237060547,-153.20564513501927,203,208.35003662109375,222.55019194629645
2024-01-16,call,1,195,-781.625,-880.7338623251444,177,-611.9790649414062,-696.0987373368445
