peak_pnl,n_t1_old,n_t1_new
16.25006457615148,24,1
449.6499969949527,20,7
1035.9749610529122,11,9
1461.7499813105574,7,7
1536.7501071066933,2,2
1916.950035600778,10,10
173.62500112466728,40,5
76.74994434917275,18,1
449.6499969949527,20,7
1035.9749610529122,11,9
1444.2500380599763,7,7
640.9750445862529,10,8
781.1249153431431,2,2
212.97494293141347,33,1
177.75005677060454,12,2
155.849996154736,51,1
-2.4999804305739772,33,0
76.74994434917275,18,1
449.6499969949527,20,7
654.0751012951117,10,9
426.3249244669579,5,4
207.90003744965853,12,2
5218.170161905324,5,5
-197.5499983555647,42,0
1916.950035600778,10,10
1255.4200315143169,7,7
341.2749430835811,7,6
1506.9000393956899,22,19
68.09994250501867,26,1
1533.6999605265285,11,11
173.62500112466728,40,5
-88.75001742690804,21,0
-130.59997243748626,23,0
503.3249980371112,20,7
-4.075040610232094,11,0
1444.2500380599763,7,7
426.1499230772758,9,6
212.97494293141347,33,1
197.7500373483943,12,2
363.9999996647239,44,4
3978.6099610470087,4,4
449.6499969949527,20,7
1618.250000687316,9,9
452.22489990829007,10,9
53.00003780052067,24,1
1721.2499247811384,16,16
727.0751202028953,10,10
3266.559864076376,1,1
1234.875088534562,2,2
426.3249244669579,5,4
212.97494293141347,33,1
197.7500373483943,12,2
155.849996154736,51,1
5218.170161905324,5,5
-197.5499983555647,42,0
1916.950035600778,10,10
1758.6500182820705,7,7
698.5999400394481,6,6
1506.9000393956899,22,19
1752.3499248195742,21,21
1533.6999605265285,11,11
