member,feature,horizon_minutes,sign,n_sessions,mean_ic,se,ci_low,ci_high,p_one_sided,maxT_p_one_sided,sign_stable_folds,control_mean_ic,control_maxT_p_one_sided,fold0_mean_ic,fold1_mean_ic,fold2_mean_ic,fold3_mean_ic,fold4_mean_ic
omar_clipped_neg3_pos3|60m|-,omar_clipped_neg3_pos3,60,-,213,0.5217198901738915,0.016145360979878495,0.48989387993665817,0.553545900411125,3.7043829205538464e-84,4.999750012499375e-05,5,6.985688146054838e-05,1.0,0.5245425646347356,0.5918153860950329,0.5053722654486575,0.5035324765172233,0.5064407928726171
spx_vwap_gap_points|60m|-,spx_vwap_gap_points,60,-,213,0.4787317562969435,0.01706521664149231,0.44509251093045016,0.5123710016634367,1.3406011568665865e-73,4.999750012499375e-05,5,-0.0017214038142170417,1.0,0.4775024583976941,0.5395722098167473,0.44030593073504354,0.46869859125140234,0.4774060752562012
spx_vwap_gap_bps|60m|-,spx_vwap_gap_bps,60,-,213,0.47872675985218005,0.017066618889930222,0.4450847503497101,0.51236876935465,1.3615216757019466e-73,4.999750012499375e-05,5,-0.0017252050480120484,1.0,0.47751873305975645,0.5395751480594737,0.44039352417215644,0.4686418934797562,0.4773376096965087
omar_clipped_neg3_pos3|30m|-,omar_clipped_neg3_pos3,30,-,213,0.4187646029320599,0.014370277143419923,0.39043766815194914,0.4470915377121707,2.1990814833423457e-76,4.999750012499375e-05,5,0.0005316813709951541,1.0,0.41197963076463756,0.4935318240856592,0.3930393398800158,0.4283601954447639,0.39114838418512254
spx_vwap_gap_bps|30m|-,spx_vwap_gap_bps,30,-,213,0.37419773755454183,0.01457205470795117,0.345473055406477,0.40292241970260667,2.6589356592040073e-67,4.999750012499375e-05,5,0.0015778091724147209,1.0,0.3669026789175506,0.44805891668475967,0.343184417255136,0.37836810713220537,0.3480192087577222
spx_vwap_gap_points|30m|-,spx_vwap_gap_points,30,-,213,0.3741632021323045,0.014574498640426292,0.3454337024629671,0.40289270180164183,2.77235017196919e-67,4.999750012499375e-05,5,0.0015956884168512177,1.0,0.3667718658376608,0.4479502420794215,0.3430580274484803,0.37846122104691987,0.3480304164782378
spx_vwap_gap_over_session_range|60m|-,spx_vwap_gap_over_session_range,60,-,213,0.3637263649476061,0.017876892977293522,0.32848712937930036,0.3989656005159118,4.821199719669849e-52,4.999750012499375e-05,5,-0.002259366851679602,1.0,0.3228512822315928,0.4266902718346109,0.3116007380902038,0.36665842766668466,0.348642908278751
omar_clipped_neg3_pos3|15m|-,omar_clipped_neg3_pos3,15,-,213,0.32455748695220465,0.01132455997146342,0.30223432167685815,0.34688065222755116,3.6889214585004163e-75,4.999750012499375e-05,5,0.00521675153806602,0.943702814859257,0.3076477057032876,0.3627740832642166,0.31354712390163636,0.35329390623531587,0.30648558471406323
spx_vwap_gap_bps|15m|-,spx_vwap_gap_bps,15,-,213,0.29089344059829614,0.011357236547694043,0.26850586269997206,0.3132810184966202,4.021579052566609e-67,4.999750012499375e-05,5,0.004886089410093657,0.9662016899155043,0.2834358112937039,0.33768270444717635,0.2787259109161225,0.30160508263048996,0.27018532040424925
spx_vwap_gap_points|15m|-,spx_vwap_gap_points,15,-,213,0.2908259407508549,0.01135933109501364,0.2684342340452208,0.31321764745648895,4.2994947098664055e-67,4.999750012499375e-05,5,0.004876436542168244,0.9664516774161291,0.28321952782011656,0.3374969173586811,0.27855994455700583,0.3017218718666631,0.27020012169186136
