feature,family,moneyness_band,sample_count,measured_p95_abs,injected_p95_abs,measured_p99_abs,injected_p99_abs,nonzero_noise_enabled
A.context.atm_strike,A,atm,10770,0.0,0.0,0.0,0.0,False
A.context.atm_strike,A,near,12924,0.0,0.0,0.0,0.0,False
A.context.atm_strike,A,wing,21540,0.0,0.0,0.0,0.0,False
A.context.spx_for_ladder,A,atm,10770,0.0,0.0,0.0,0.0,False
A.context.spx_for_ladder,A,near,12924,0.0,0.0,0.0,0.0,False
A.context.spx_for_ladder,A,wing,21540,0.0,0.0,0.0,0.0,False
B.day.session_15m_bucket,B,atm,10770,0.0,0.0,0.0,0.0,False
B.day.session_15m_bucket,B,near,12924,0.0,0.0,0.0,0.0,False
B.day.session_15m_bucket,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.abs_offset,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.abs_offset,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.abs_offset,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.moneyness_bps,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.moneyness_bps,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.moneyness_bps,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.offset,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.offset,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.offset,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.strike,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.strike,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.strike,B,wing,21540,0.0,0.0,0.0,0.0,False
C.mid.logret_15m,C,atm,10346,0.015879367200664372,0.01591545530589957,0.02898753687325227,0.029544498946163924,True
C.mid.logret_15m,C,near,12410,0.030455551895095925,0.029137611318225707,0.07671884100677795,0.06899287148695143,True
C.mid.logret_15m,C,wing,19250,0.06453852113757114,0.06453852113757114,0.11778303565638346,0.11778303565638346,True
C.mid.logret_1m,C,atm,10770,0.01562531790308086,0.015384918839479473,0.028987536873252173,0.027398974188114475,True
C.mid.logret_1m,C,near,12912,0.027398974188114537,0.02750276269430736,0.06899287148695142,0.06899287148695142,True
C.mid.logret_1m,C,wing,21328,0.05406722127027579,0.05406722127027582,0.11778303565638346,0.11778303565638346,True
C.mid.logret_5m,C,atm,10646,0.015625317903080818,0.015610117562588462,0.03030534949532899,0.0289875368732522,True
C.mid.logret_5m,C,near,12770,0.028987536873252173,0.028987536873252187,0.06899287148695145,0.06899287148695142,True
C.mid.logret_5m,C,wing,20711,0.0582570746587243,0.05493554260402857,0.11778303565638346,0.11778303565638346,True
C.mid.mid_spot_bps,C,atm,10770,0.13380163907007708,0.13389013778633893,0.20131660086975597,0.20128414568792735,True
C.mid.mid_spot_bps,C,near,12918,0.13396959961845312,0.134001105536732,0.2663037819802057,0.2664275923071635,True
C.mid.mid_spot_bps,C,wing,21435,0.13412278007857795,0.13412089120649773,0.4001451192965959,0.39826198469876317,True
C.mid.mid_tick_q,C,atm,10770,0.09999999999999964,0.09999999999999964,0.15000000000000036,0.15000000000000036,True
C.mid.mid_tick_q,C,near,12918,0.10000000000000142,0.10000000000000142,0.1999999999999993,0.1999999999999993,True
C.mid.mid_tick_q,C,wing,21435,0.10000000000000142,0.10000000000000142,0.29999999999999716,0.29999999999999716,True
C.mid.path_range_15m,C,atm,10312,0.015037877364540542,0.015117548765670917,0.028987536873252173,0.028997856850525115,True
C.mid.path_range_15m,C,near,12410,0.031748698314580326,0.033647242542040615,0.09881466035498815,0.0826508902603807,True
C.mid.path_range_15m,C,wing,19367,0.06453852113757119,0.06453852113757119,0.11778303565638348,0.11778303565638346,True
C.mid.realized_vol_15m,C,atm,10278,0.019741171638581717,0.02017542981072271,0.04432602842311001,0.04326366299331087,True
C.mid.realized_vol_15m,C,near,12370,0.03671501511409578,0.03705321149559748,0.07799945851043966,0.07539289286997891,True
C.mid.realized_vol_15m,C,wing,19223,0.06004940365064324,0.05884475454306193,0.1294701719793736,0.1302612403389911,True
D.near_atm.put_call_mid_ratio,D,atm,10770,0.028571428571426694,0.030524595574663936,0.1025354513754364,0.12811513641300806,True
D.near_atm.put_call_mid_ratio,D,near,12918,0.2446045918261288,0.2597560975609774,2.1498511904761863,2.203244047619042,True
D.near_atm.side_smile_slope_bps_per_5pt,D,atm,10768,0.03359822171332163,0.03359858294616558,0.06709309524128536,0.06710679778439932,True
D.near_atm.side_smile_slope_bps_per_5pt,D,near,12918,0.06699481620934886,0.0670209168965183,0.1333651634869426,0.13339309343919192,True
D.near_atm.straddle_mid_spot_bps,D,atm,10770,0.13311661947682651,0.13308085236850944,0.13451370944169905,0.13442432137674082,True
D.near_atm.straddle_mid_spot_bps,D,near,12918,0.13425269579412563,0.13424404493416375,0.26642475299095675,0.26546220267298254,True
E.bs.delta,E,atm,10770,0.0013740149095980312,0.0014003650827781877,0.003197994002607579,0.0033931487195302257,True
E.bs.delta,E,near,12917,0.0036752414944473235,0.003671896985582568,0.007864551640171066,0.007377486967278358,True
E.bs.delta,E,wing,21409,0.0045724022615215125,0.004443722764601962,0.012506338145206195,0.012441146515422608,True
E.bs.gamma,E,atm,10770,0.0001486704774411057,0.00015326448613348645,0.00033704986881494866,0.00035524022302556996,True
E.bs.gamma,E,near,12917,8.39057821952762e-05,8.005360820372736e-05,0.00029289829817508563,0.0002764988889410524,True
E.bs.gamma,E,wing,21409,0.00015230838714491428,0.000155660258348876,0.000629129235835032,0.0006649111725993478,True
E.bs.iv,E,atm,10770,0.001984267670176652,0.0019601263016298743,0.003560483556221798,0.0034649844064011857,True
E.bs.iv,E,near,12917,0.0030734834214472978,0.0031458919727655466,0.00736227217494477,0.008377626940484358,True
E.bs.iv,E,wing,21409,0.005353308665564087,0.005362511567099104,0.024408268366941294,0.024480624030978948,True
