feature,family,moneyness_band,sample_count,mean,p50_abs,p95_abs,p99_abs,nonzero_noise_enabled
A.context.atm_strike,A,atm,10770,0.0,0.0,0.0,0.0,False
A.context.atm_strike,A,near,12924,0.0,0.0,0.0,0.0,False
A.context.atm_strike,A,wing,21540,0.0,0.0,0.0,0.0,False
A.context.spx_for_ladder,A,atm,10770,0.0,0.0,0.0,0.0,False
A.context.spx_for_ladder,A,near,12924,0.0,0.0,0.0,0.0,False
A.context.spx_for_ladder,A,wing,21540,0.0,0.0,0.0,0.0,False
B.day.session_15m_bucket,B,atm,10770,0.0,0.0,0.0,0.0,False
B.day.session_15m_bucket,B,near,12924,0.0,0.0,0.0,0.0,False
B.day.session_15m_bucket,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.abs_offset,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.abs_offset,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.abs_offset,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.moneyness_bps,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.moneyness_bps,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.moneyness_bps,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.offset,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.offset,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.offset,B,wing,21540,0.0,0.0,0.0,0.0,False
B.ladder.strike,B,atm,10770,0.0,0.0,0.0,0.0,False
B.ladder.strike,B,near,12924,0.0,0.0,0.0,0.0,False
B.ladder.strike,B,wing,21540,0.0,0.0,0.0,0.0,False
C.mid.logret_15m,C,atm,10346,-3.324967115996732e-05,0.00038723328641378923,0.015879367200664372,0.02898753687325227,True
C.mid.logret_15m,C,near,12410,6.654416848554872e-05,0.0014760150281204545,0.030455551895095925,0.07671884100677795,True
C.mid.logret_15m,C,wing,19250,0.0001366488396591497,0.0,0.06453852113757114,0.11778303565638346,True
C.mid.logret_1m,C,atm,10770,-3.419860612962065e-05,9.938277772401395e-05,0.01562531790308086,0.028987536873252173,True
C.mid.logret_1m,C,near,12912,0.00012351939118315086,0.0009861518966194152,0.027398974188114537,0.06899287148695142,True
C.mid.logret_1m,C,wing,21328,-2.6857190710099504e-05,0.0,0.05406722127027579,0.11778303565638346,True
C.mid.logret_5m,C,atm,10646,-2.87899738970932e-05,8.628987100279574e-05,0.015625317903080818,0.03030534949532899,True
C.mid.logret_5m,C,near,12770,0.00012466677014104447,0.0006372996094152275,0.028987536873252173,0.06899287148695145,True
C.mid.logret_5m,C,wing,20711,2.7617299924282933e-05,0.0,0.0582570746587243,0.11778303565638346,True
C.mid.mid_spot_bps,C,atm,10770,3.638058875106434e-05,0.0,0.13380163907007708,0.20131660086975597,True
C.mid.mid_spot_bps,C,near,12918,0.0016622288311353612,0.0,0.13396959961845312,0.2663037819802057,True
C.mid.mid_spot_bps,C,wing,21435,0.011687721654856972,0.0,0.13412278007857795,0.4001451192965959,True
C.mid.mid_tick_q,C,atm,10770,2.785515320334425e-05,0.0,0.09999999999999964,0.15000000000000036,True
C.mid.mid_tick_q,C,near,12918,0.0012463229602105684,0.0,0.10000000000000142,0.1999999999999993,True
C.mid.mid_tick_q,C,wing,21435,0.008738045253090748,0.0,0.10000000000000142,0.29999999999999716,True
C.mid.path_range_15m,C,atm,10312,-0.0009422734399687237,0.0,0.015037877364540542,0.028987536873252173,True
C.mid.path_range_15m,C,near,12410,-0.001023531233919645,0.0009877368484080828,0.031748698314580326,0.09881466035498815,True
C.mid.path_range_15m,C,wing,19367,-0.00021816532781602263,0.0,0.06453852113757119,0.11778303565638348,True
C.mid.realized_vol_15m,C,atm,10278,-0.0001558792418343276,0.003409107927549282,0.019741171638581717,0.04432602842311001,True
C.mid.realized_vol_15m,C,near,12370,4.78056626145781e-05,0.0035048621517601436,0.03671501511409578,0.07799945851043966,True
C.mid.realized_vol_15m,C,wing,19223,0.0005519270966736263,0.002431201404742761,0.06004940365064324,0.1294701719793736,True
D.near_atm.put_call_mid_ratio,D,atm,10770,-0.0031410699890504394,0.0,0.028571428571426694,0.1025354513754364,True
D.near_atm.put_call_mid_ratio,D,near,12918,-0.06412281702776462,0.00012572685840012143,0.2446045918261288,2.1498511904761863,True
D.near_atm.side_smile_slope_bps_per_5pt,D,atm,10768,-0.0007027498849293709,0.0,0.03359822171332163,0.06709309524128536,True
D.near_atm.side_smile_slope_bps_per_5pt,D,near,12918,-0.0007377803081916825,0.0,0.06699481620934886,0.1333651634869426,True
D.near_atm.straddle_mid_spot_bps,D,atm,10770,7.276117750208134e-05,0.0,0.13311661947682651,0.13451370944169905,True
D.near_atm.straddle_mid_spot_bps,D,near,12918,0.0033244576622707884,0.0,0.13425269579412563,0.26642475299095675,True
E.bs.delta,E,atm,10770,-1.0597242323809616e-05,0.0,0.0013740149095980312,0.003197994002607579,True
E.bs.delta,E,near,12917,-8.50326090682804e-05,0.0,0.0036752414944473235,0.007864551640171066,True
E.bs.delta,E,wing,21409,1.8107599713502702e-05,0.0,0.0045724022615215125,0.012506338145206195,True
E.bs.gamma,E,atm,10770,-6.050233796478986e-08,0.0,0.0001486704774411057,0.00033704986881494866,True
E.bs.gamma,E,near,12917,-1.4334185551356474e-06,0.0,8.39057821952762e-05,0.00029289829817508563,True
E.bs.gamma,E,wing,21409,9.583970020408716e-06,0.0,0.00015230838714491428,0.000629129235835032,True
E.bs.iv,E,atm,10770,3.943998841627409e-06,0.0,0.001984267670176652,0.003560483556221798,True
E.bs.iv,E,near,12917,-2.4315627905550305e-05,0.0,0.0030734834214472978,0.00736227217494477,True
E.bs.iv,E,wing,21409,0.0004946299558209375,0.0,0.005353308665564087,0.024408268366941294,True
