feature_contract_version,neural_rows,processed_path,processed_sha256,session,status
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-02.pkl,6bab75d57071f0d69d2aad1380cf8ed11ef2f2e4772a5e173fcea2d8ceac40c6,2025-01-02,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-03.pkl,a1e98751738f6aaf7408fe0ff79df8f7354df3d598820cc451ec17942e757831,2025-01-03,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-06.pkl,97b385732cfab31412ac388a0453760dd0ffc3c4bedc997da1299c4da4232c20,2025-01-06,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-07.pkl,6939c8b1b7f7454ee01a2219861080c4e78b05969b2df9c503ffad30c8173930,2025-01-07,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-08.pkl,80f020b24eb9d905962b2a9f72b2493021d52b30381388841b2f122cf399ab9f,2025-01-08,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-10.pkl,cc7f57184891ca73eb4ffc66af02da8c9f57091c598d257a74419c0022c0112e,2025-01-10,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-13.pkl,cfd1a01dc714c4aae42f2a74143a6b887367261931465faff31240caa535b6fe,2025-01-13,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-14.pkl,6fff2ca5f6b3dd312cb8d70a5b3e1d899ba784e910144920f42fc264e3ffb672,2025-01-14,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-15.pkl,0bab325af7fc5fa938199e3c8560b43de67a375a36197a9f43f0e525c13a2168,2025-01-15,pass
protocol101-live-v2-microstructure-masked,359,data/processed/spxw_0dte_neural_protocol101_live_v2_microstructure_masked_15mo/2025-01-16.pkl,902329c28b2b8d921a714e513e2f733a39b6dd36656efb024ef0e0d774e907f9,2025-01-16,pass
