session,status,neural_rows,expected_decision_minutes,early_close_session,report_only_reason,ladder_shape_ok_share,tradable_minute_share,mean_tradable_candidates,min_tradable_candidates,near_atm_tradable_share,label_total_cell_count,label_candidate_cell_count,label_finite_share,label_nonzero_share,label_positive_share,label_negative_share,label_spot_sample_count,label_spot_match_count,label_spot_mismatch_count,entry_quote_match_count,entry_quote_mismatch_count,entry_quote_missing_count,entry_quote_match_share,entry_quote_sweep_match_count,entry_quote_sweep_mismatch_count,entry_quote_sweep_missing_count,entry_quote_sweep_stale_count,entry_quote_sweep_match_share,ladder_quote_sweep_match_count,ladder_quote_sweep_mismatch_count,ladder_quote_sweep_match_share,label_fee_model,feature_contract_version,decision_grid,context_lag_exact_one_minute_share,future_context_row_count,opening_no_leading_backfill,context_reconstruction_match_share,context_reconstruction_mismatch_count,context_window_sample_match_share,vix_close_finite_share,failed_checks,record_hash
2025-09-02,pass,360,360,False,,1.0,1.0,29.9,10,0.9856481481481482,105840,75348,1.0,0.9940675266762223,0.39398524181132877,0.6000822848648936,36,36,0,36,0,0,1.0,10764,0,0,0,1.0,10764,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,1320f26ea48309e7fe8daf2bc7ae59ba0c5fc58285d583cc84667685e273cf26
2025-09-03,pass,360,360,False,,1.0,1.0,27.083333333333332,13,0.9739197530864198,105840,68250,1.0,0.9923809523809524,0.3295970695970696,0.6627838827838828,36,36,0,36,0,0,1.0,9750,0,0,0,1.0,9750,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9944444444444445,,3fdd1fd371b79b66250e1ece3f28c3b5ed4f5c31aa235d8b487f2af0f3fd4478
2025-09-04,pass,360,360,False,,1.0,1.0,24.816666666666666,13,0.9208333333333333,105840,62538,1.0,0.9920688221561291,0.3861652115513768,0.6059036106047523,36,36,0,36,0,0,1.0,8934,0,0,0,1.0,8934,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,5f33d4a0cdc35467fd51d81e71bde5bc020c6ca80a60e61b57b2a32a0192d320
2025-09-05,pass,360,360,False,,1.0,1.0,30.20277777777778,11,0.9944444444444445,105840,76111,1.0,0.9945999921167769,0.30107343222398864,0.6935265598927882,36,36,0,36,0,0,1.0,10873,0,0,0,1.0,10873,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,32754ac1c4416e89cec89ca1997ddb6bf2947f6ccd6ed4ac89d545668c4856e2
2025-09-08,pass,360,360,False,,1.0,1.0,24.79722222222222,13,0.9447530864197531,105840,62489,1.0,0.9890060650674519,0.3161516426891133,0.6728544223783386,36,36,0,36,0,0,1.0,8927,0,0,0,1.0,8927,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,45fcc934dade94c174712638ac2e85d80eb4d7cf6733e003853381a07d2dde6f
2025-09-09,pass,360,360,False,,1.0,1.0,23.680555555555557,10,0.9148148148148149,105840,59675,1.0,0.9909844993715962,0.360670297444491,0.6303142019271052,36,36,0,36,0,0,1.0,8525,0,0,0,1.0,8525,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,5ef19d51ed60c10f80d6bf804d6695c13a547be0ead10fbe33cb7cee4bd540b8
2025-09-10,pass,360,360,False,,1.0,1.0,25.880555555555556,17,0.9651234567901235,105840,65219,1.0,0.9904935678253269,0.34433217313972925,0.6461613946855977,36,36,0,36,0,0,1.0,9317,0,0,0,1.0,9317,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,db07b279d69ee0281e9e92f91d1f92a7be1205821fa407d4c510b83cf6d005c2
2025-09-11,pass,360,360,False,,1.0,1.0,25.038888888888888,12,0.9253086419753086,105840,63098,1.0,0.9876541253288535,0.3386002725918413,0.6490538527370122,36,36,0,36,0,0,1.0,9014,0,0,0,1.0,9014,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,e01ec602cf1cadfecea0c48b9ba9aa5514dded39e59bdf25849760bd786933d7
2025-09-12,pass,360,360,False,,1.0,1.0,22.13888888888889,11,0.870679012345679,105840,55790,1.0,0.9877038895859473,0.28202186771822907,0.7056820218677182,36,36,0,36,0,0,1.0,7970,0,0,0,1.0,7970,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,75b3b594609701c1c40146f196dd4f1315d677c8fb3c177a2b13c6116180ae91
2025-09-15,pass,360,360,False,,1.0,1.0,25.90277777777778,13,0.9265432098765433,105840,65275,1.0,0.9848333971658368,0.27367292225201073,0.7111604749138262,36,36,0,36,0,0,1.0,9325,0,0,0,1.0,9325,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,35038c9d587a5dc79fc04f37a31ddd08fdc829f010dc547bca3037c3e6436579
