session,era,era_assignment_reason,source_types,source_statuses,source_paths
2024-10-01,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-02,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-03,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-04,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-07,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-08,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-09,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-10,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-11,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
2024-10-14,pre_program_oct2024_jun2025,matched_single_rule,raw_vendor_session,raw_file_present,data/raw/databento/opra_spxw_cbbo_1m;data/raw/databento/opra_spxw_definition;data/raw/databento/opra_spxw_ohlcv_1m;data/raw/databento/opra_spxw_statistics;data/vendor/thetadata/index/spx_1m;data/vendor/thetadata/index/vix_1m
