split,delay_seconds,rows,coverage,original_pnl,delayed_pnl,pnl_delta,median_trade_delta,positive_trade_fraction
q1_2026,0,1795,1.0,624610.0,624610.0,0.0,0.0,0.6863509749303621
q1_2026,1,1795,0.7476323119777158,450950.0,437590.0,-13360.000000000004,-9.999999999999886,0.6862891207153502
q1_2026,5,1795,0.7476323119777158,450950.0,387830.0,-63120.00000000003,-39.999999999999545,0.6587183308494784
q1_2026,15,1795,0.7476323119777158,450950.0,294220.0,-156730.0,-100.0,0.5991058122205664
q1_2026,30,1795,0.7476323119777158,450950.0,152830.0,-298120.0,-180.00000000000023,0.5454545454545454
q1_2026,60,1795,0.7476323119777158,450950.0,-63139.99999999999,-514090.0,-330.0000000000001,0.43815201192250375
q3_2025,0,1292,1.0,300750.0,300750.0,0.0,0.0,0.794891640866873
q3_2025,1,1292,1.0,300750.0,281680.0,-19069.999999999985,-9.999999999999801,0.7732198142414861
q3_2025,5,1292,1.0,300750.0,242130.0,-58620.0,-20.000000000000284,0.7523219814241486
q3_2025,15,1292,1.0,300750.0,161050.0,-139700.0,-79.99999999999977,0.6873065015479877
q3_2025,30,1292,1.0,300750.0,86659.99999999997,-214090.0,-139.99999999999994,0.6021671826625387
q3_2025,60,1292,1.0,300750.0,-68719.99999999999,-369470.0,-234.99999999999972,0.44969040247678016
q4_2024_external,0,1037,1.0,254930.0,254930.0,0.0,0.0,0.6894889103182257
q4_2024_external,1,1037,1.0,254930.0,246910.0,-8020.000000000003,-9.999999999999801,0.6798457087753134
q4_2024_external,5,1037,1.0,254930.0,227060.0,-27869.999999999996,-29.999999999999375,0.6576663452266153
q4_2024_external,15,1037,1.0,254930.0,168150.0,-86780.0,-69.99999999999994,0.609450337512054
q4_2024_external,30,1037,1.0,254930.0,106320.0,-148610.0,-110.00000000000011,0.5554484088717454
q4_2024_external,60,1037,1.0,254930.0,-4419.999999999996,-259350.0,-200.0,0.4416586306653809
q4_2025,0,1369,1.0,455760.0,455760.0,0.0,0.0,0.7560262965668371
q4_2025,1,1369,0.9481373265157049,396660.0,378650.0,-18010.000000000004,-10.000000000000114,0.7357473035439137
q4_2025,5,1369,0.9481373265157049,396660.0,313700.0,-82960.0,-49.99999999999929,0.6926040061633282
q4_2025,15,1369,0.9481373265157049,396660.0,226430.0,-170229.99999999997,-109.99999999999977,0.615562403697997
q4_2025,30,1369,0.9481373265157049,396660.0,101790.00000000003,-294870.0,-189.99999999999986,0.5600924499229584
q4_2025,60,1369,0.9481373265157049,396660.0,-71300.0,-467960.0,-305.0,0.4391371340523883
