trade_number,session,decision_time,contract_id,side,entry_bid,entry_ask,premium_required,premium_cap,cash,daily_pnl_before,risk_passed,risk_reason,paper_pnl
1,2024-10-01,2024-10-01T14:15:00+00:00,SPXW-20241001-05710.000-P,PUT,24.4,24.8,2480.0,4000.0,10000.0,0.0,True,pass,-50.0
2,2024-10-01,2024-10-01T14:21:00+00:00,SPXW-20241001-05675.000-C,CALL,30.7,31.0,3100.0,3980.0,9950.0,-50.0,True,pass,300.0
3,2024-10-01,2024-10-01T14:41:00+00:00,SPXW-20241001-05675.000-C,CALL,33.6,34.0,3400.0,4000.0,10250.0,250.0,True,pass,-460.0000000000001
4,2024-10-01,2024-10-01T15:19:00+00:00,SPXW-20241001-05665.000-C,CALL,26.2,26.4,2640.0,3916.0,9790.0,-210.0,True,pass,2430.0000000000005
5,2024-10-01,2024-10-01T17:31:00+00:00,SPXW-20241001-05680.000-C,CALL,15.7,15.9,1590.0,4000.0,12220.0,2220.0,True,pass,1510.0
6,2024-10-01,2024-10-01T18:43:00+00:00,SPXW-20241001-05715.000-C,CALL,12.8,13.0,1300.0,4000.0,13730.0,3730.0,True,pass,-169.99999999999994
7,2024-10-01,2024-10-01T19:14:00+00:00,SPXW-20241001-05695.000-C,CALL,25.8,26.2,2620.0,4000.0,13560.0,3560.0,True,pass,350.0
8,2024-10-02,2024-10-02T14:00:00+00:00,SPXW-20241002-05675.000-C,CALL,25.2,25.4,2540.0,4000.0,13910.0,0.0,True,pass,620.0000000000002
9,2024-10-02,2024-10-02T14:25:00+00:00,SPXW-20241002-05665.000-C,CALL,34.7,35.2,3520.0,4000.0,14530.0,620.0,True,pass,1789.9999999999998
10,2024-10-02,2024-10-02T15:19:00+00:00,SPXW-20241002-05685.000-C,CALL,33.8,34.2,3420.0,4000.0,16320.0,2410.0,True,pass,100.0
11,2024-10-03,2024-10-03T14:00:00+00:00,SPXW-20241003-05690.000-C,CALL,20.0,20.5,2050.0,4000.0,16420.0,0.0,True,pass,1239.9999999999998
12,2024-10-03,2024-10-03T14:13:00+00:00,SPXW-20241003-05705.000-P,PUT,9.1,9.2,920.0,4000.0,17660.0,1240.0,True,pass,1300.0
13,2024-10-03,2024-10-03T14:32:00+00:00,SPXW-20241003-05680.000-C,CALL,21.5,21.8,2180.0,4000.0,18960.0,2540.0,True,pass,359.9999999999998
14,2024-10-03,2024-10-03T14:51:00+00:00,SPXW-20241003-05695.000-C,CALL,15.7,15.9,1590.0,4000.0,19320.0,2900.0,True,pass,-350.0
15,2024-10-04,2024-10-04T14:02:00+00:00,SPXW-20241004-05700.000-C,CALL,32.2,32.5,3250.0,4000.0,18970.0,0.0,True,pass,-869.9999999999999
16,2024-10-04,2024-10-04T14:27:00+00:00,SPXW-20241004-05720.000-P,PUT,19.7,19.9,1990.0,4000.0,18100.0,-870.0,False,daily_loss_stop,510.0000000000001
17,2024-10-04,2024-10-04T14:40:00+00:00,SPXW-20241004-05680.000-C,CALL,31.9,32.3,3230.0,4000.0,18610.0,-360.0,True,pass,1280.0000000000005
18,2024-10-04,2024-10-04T15:13:00+00:00,SPXW-20241004-05750.000-P,PUT,29.7,30.2,3020.0,4000.0,19890.0,920.0,True,pass,1390.0000000000002
19,2024-10-07,2024-10-07T14:04:00+00:00,SPXW-20241007-05715.000-C,CALL,22.1,22.2,2220.0,4000.0,21280.0,0.0,True,pass,300.0
20,2024-10-07,2024-10-07T14:29:00+00:00,SPXW-20241007-05705.000-C,CALL,31.7,32.1,3210.0,4000.0,21580.0,300.0,True,pass,-130.00000000000006
21,2024-10-07,2024-10-07T14:51:00+00:00,SPXW-20241007-05725.000-C,CALL,15.0,15.2,1520.0,4000.0,21450.0,170.0,True,pass,30.00000000000007
22,2024-10-07,2024-10-07T15:20:00+00:00,SPXW-20241007-05705.000-C,CALL,33.1,33.6,3360.0,4000.0,21480.0,200.0,True,pass,-30.000000000000423
23,2024-10-08,2024-10-08T14:00:00+00:00,SPXW-20241008-05710.000-C,CALL,23.2,23.4,2340.0,4000.0,21450.0,0.0,True,pass,-59.99999999999979
24,2024-10-08,2024-10-08T14:25:00+00:00,SPXW-20241008-05710.000-C,CALL,21.6,21.8,2180.0,4000.0,21390.0,-60.0,True,pass,1099.9999999999995
25,2024-10-09,2024-10-09T14:00:00+00:00,SPXW-20241009-05725.000-C,CALL,33.3,33.8,3380.0,4000.0,22490.0,0.0,True,pass,160.00000000000014
26,2024-10-09,2024-10-09T14:25:00+00:00,SPXW-20241009-05730.000-C,CALL,32.3,32.7,3270.0,4000.0,22650.0,160.0,True,pass,119.99999999999956
27,2024-10-09,2024-10-09T14:39:00+00:00,SPXW-20241009-05730.000-C,CALL,33.9,34.4,3440.0,4000.0,22770.0,280.0,True,pass,750.0
28,2024-10-10,2024-10-10T14:00:00+00:00,SPXW-20241010-05760.000-C,CALL,20.7,20.9,2090.0,4000.0,23520.0,0.0,True,pass,660.0000000000001
29,2024-10-10,2024-10-10T14:26:00+00:00,SPXW-20241010-05750.000-C,CALL,31.1,31.5,3150.0,4000.0,24180.0,660.0,True,pass,-30.00000000000007
30,2024-10-11,2024-10-11T14:01:00+00:00,SPXW-20241011-05775.000-C,CALL,20.9,21.1,2110.0,4000.0,24150.0,0.0,True,pass,2150.0
31,2024-10-11,2024-10-11T15:04:00+00:00,SPXW-20241011-05790.000-C,CALL,24.3,24.7,2470.0,4000.0,26300.0,2150.0,True,pass,69.99999999999993
32,2024-10-11,2024-10-11T15:27:00+00:00,SPXW-20241011-05790.000-C,CALL,23.9,24.3,2430.0,4000.0,26370.0,2220.0,True,pass,139.99999999999986
33,2024-10-11,2024-10-11T17:30:00+00:00,SPXW-20241011-05780.000-C,CALL,28.8,29.3,2930.0,4000.0,26510.0,2360.0,True,pass,309.9999999999998
34,2024-10-14,2024-10-14T14:00:00+00:00,SPXW-20241014-05820.000-C,CALL,34.0,34.5,3450.0,4000.0,26820.0,0.0,True,pass,-210.00000000000017
35,2024-10-14,2024-10-14T14:23:00+00:00,SPXW-20241014-05835.000-C,CALL,19.5,19.9,1990.0,4000.0,26610.0,-210.0,True,pass,120.00000000000028
36,2024-10-14,2024-10-14T14:36:00+00:00,SPXW-20241014-05835.000-C,CALL,23.1,23.4,2340.0,4000.0,26730.0,-90.0,True,pass,-839.9999999999999
37,2024-10-14,2024-10-14T15:02:00+00:00,SPXW-20241014-05835.000-C,CALL,14.8,15.1,1510.0,4000.0,25890.0,-930.0,False,daily_loss_stop,250.00000000000017
38,2024-10-15,2024-10-15T14:10:00+00:00,SPXW-20241015-05880.000-P,PUT,20.8,21.3,2130.0,4000.0,26140.0,0.0,True,pass,130.00000000000006
39,2024-10-15,2024-10-15T14:35:00+00:00,SPXW-20241015-05850.000-P,PUT,12.7,12.9,1290.0,4000.0,26270.0,130.0,True,pass,540.0
40,2024-10-16,2024-10-16T14:03:00+00:00,SPXW-20241016-05790.000-C,CALL,25.0,25.4,2540.0,4000.0,26810.0,0.0,True,pass,1300.0
41,2024-10-16,2024-10-16T14:28:00+00:00,SPXW-20241016-05805.000-C,CALL,25.1,25.4,2540.0,4000.0,28110.0,1300.0,True,pass,-579.9999999999998
42,2024-10-16,2024-10-16T14:54:00+00:00,SPXW-20241016-05790.000-C,CALL,32.4,32.8,3280.0,4000.0,27530.0,720.0,True,pass,210.00000000000017
43,2024-10-17,2024-10-17T14:01:00+00:00,SPXW-20241017-05860.000-P,PUT,11.3,11.5,1150.0,4000.0,27740.0,0.0,True,pass,409.99999999999994
44,2024-10-17,2024-10-17T14:37:00+00:00,SPXW-20241017-05865.000-P,PUT,16.1,16.3,1630.0,4000.0,28150.0,410.0,True,pass,130.00000000000006
