policy,session,daily_pnl,stress_per_side
one_contract_baseline,2024-10-01,3910.0,0.0
one_contract_baseline,2024-10-02,2510.0,0.0
one_contract_baseline,2024-10-03,2550.0,0.0
one_contract_baseline,2024-10-04,2310.0,0.0
one_contract_baseline,2024-10-07,170.0,0.0
one_contract_baseline,2024-10-08,1040.0,0.0
one_contract_baseline,2024-10-09,1030.0,0.0
one_contract_baseline,2024-10-10,630.0,0.0
one_contract_baseline,2024-10-11,2670.0,0.0
one_contract_baseline,2024-10-14,-680.0,0.0
one_contract_baseline,2024-10-15,670.0,0.0
one_contract_baseline,2024-10-16,930.0,0.0
one_contract_baseline,2024-10-17,180.0,0.0
one_contract_baseline,2024-10-18,670.0,0.0
one_contract_baseline,2024-10-21,2170.0,0.0
one_contract_baseline,2024-10-22,-480.0,0.0
one_contract_baseline,2024-10-23,1170.0,0.0
one_contract_baseline,2024-10-24,-630.0,0.0
one_contract_baseline,2024-10-25,3070.0,0.0
one_contract_baseline,2024-10-28,-180.0,0.0
one_contract_baseline,2024-10-29,770.0,0.0
one_contract_baseline,2024-10-30,360.0,0.0
one_contract_baseline,2024-10-31,-2080.0,0.0
one_contract_baseline,2024-11-01,1720.0,0.0
one_contract_baseline,2024-11-04,60.0,0.0
one_contract_baseline,2024-11-05,1590.0,0.0
one_contract_baseline,2024-11-06,20.0,0.0
one_contract_baseline,2024-11-07,440.0,0.0
one_contract_baseline,2024-11-08,-20.0,0.0
one_contract_baseline,2024-11-11,-160.0,0.0
one_contract_baseline,2024-11-12,870.0,0.0
one_contract_baseline,2024-11-13,1450.0,0.0
one_contract_baseline,2024-11-14,230.0,0.0
one_contract_baseline,2024-11-15,1720.0,0.0
one_contract_baseline,2024-11-18,1560.0,0.0
one_contract_baseline,2024-11-19,1490.0,0.0
one_contract_baseline,2024-11-20,3880.0,0.0
one_contract_baseline,2024-11-21,5710.0,0.0
one_contract_baseline,2024-11-22,-1300.0,0.0
one_contract_baseline,2024-11-25,590.0,0.0
one_contract_baseline,2024-11-26,-890.0,0.0
one_contract_baseline,2024-11-27,640.0,0.0
one_contract_baseline,2024-11-29,710.0,0.0
