stress_per_side,policy,group_type,group,total_pnl,taken_trades,skipped_trades,total_contracts,worst_trade
0.0,one_contract_baseline,month,2024-10,22760.0,79,0,79,-1020.0
0.0,one_contract_baseline,month,2024-11,20310.0,71,0,71,-1150.0
0.0,one_contract_baseline,month,2024-12,15210.0,61,0,61,-1530.0
0.0,one_contract_baseline,month,2025-07,19530.0,85,0,85,-1260.0
0.0,one_contract_baseline,month,2025-08,24530.0,89,0,89,-1420.0
0.0,one_contract_baseline,month,2025-09,24680.0,100,0,100,-1610.0
0.0,one_contract_baseline,month,2025-10,34980.0,107,0,107,-540.0
0.0,one_contract_baseline,month,2025-11,44580.0,104,0,104,-990.0
0.0,one_contract_baseline,month,2025-12,17460.0,83,0,83,-1560.0
0.0,one_contract_baseline,month,2026-01,21850.0,68,0,68,-1230.0
0.0,one_contract_baseline,month,2026-02,31370.0,71,0,71,-1480.0
0.0,one_contract_baseline,month,2026-03,41790.0,110,0,110,-1840.0
0.0,high_conviction_profit_cushion,month,2024-10,16230.0,67,12,67,-1020.0
0.0,high_conviction_profit_cushion,month,2024-11,18430.0,66,5,70,-1150.0
0.0,high_conviction_profit_cushion,month,2024-12,14290.0,56,5,57,-1530.0
0.0,high_conviction_profit_cushion,month,2025-07,28080.0,83,2,121,-1260.0
0.0,high_conviction_profit_cushion,month,2025-08,29100.0,76,13,104,-1420.0
0.0,high_conviction_profit_cushion,month,2025-09,38890.0,98,2,153,-1610.0
0.0,high_conviction_profit_cushion,month,2025-10,37730.0,107,0,110,-540.0
0.0,high_conviction_profit_cushion,month,2025-11,44580.0,104,0,104,-990.0
0.0,high_conviction_profit_cushion,month,2025-12,17660.0,80,3,82,-1560.0
0.0,high_conviction_profit_cushion,month,2026-01,21250.0,65,3,68,-1230.0
0.0,high_conviction_profit_cushion,month,2026-02,29930.0,67,4,77,-2060.0
0.0,high_conviction_profit_cushion,month,2026-03,36700.0,95,15,97,-1840.0
0.0,slow_growth_two_contract,month,2024-10,15820.0,59,20,59,-1020.0
0.0,slow_growth_two_contract,month,2024-11,18480.0,66,5,69,-1150.0
0.0,slow_growth_two_contract,month,2024-12,14880.0,56,5,58,-1530.0
0.0,slow_growth_two_contract,month,2025-07,28620.0,83,2,114,-1260.0
0.0,slow_growth_two_contract,month,2025-08,26600.0,80,9,104,-1420.0
0.0,slow_growth_two_contract,month,2025-09,35310.0,98,2,138,-1610.0
0.0,slow_growth_two_contract,month,2025-10,38090.0,107,0,112,-540.0
0.0,slow_growth_two_contract,month,2025-11,45330.0,104,0,107,-990.0
0.0,slow_growth_two_contract,month,2025-12,17210.0,80,3,81,-1560.0
0.0,slow_growth_two_contract,month,2026-01,23070.0,65,3,71,-1230.0
0.0,slow_growth_two_contract,month,2026-02,28750.0,67,4,77,-2060.0
0.0,slow_growth_two_contract,month,2026-03,39110.0,95,15,100,-1840.0
0.0,lower_two_contract_threshold,month,2024-10,16230.0,67,12,67,-1020.0
0.0,lower_two_contract_threshold,month,2024-11,19020.0,66,5,72,-1150.0
0.0,lower_two_contract_threshold,month,2024-12,15320.0,56,5,60,-1530.0
0.0,lower_two_contract_threshold,month,2025-07,29460.0,83,2,128,-1260.0
0.0,lower_two_contract_threshold,month,2025-08,32670.0,76,13,111,-1420.0
0.0,lower_two_contract_threshold,month,2025-09,43230.0,98,2,163,-1610.0
0.0,lower_two_contract_threshold,month,2025-10,38070.0,107,0,114,-540.0
0.0,lower_two_contract_threshold,month,2025-11,44840.0,104,0,109,-1520.0
0.0,lower_two_contract_threshold,month,2025-12,18380.0,80,3,84,-1560.0
0.0,lower_two_contract_threshold,month,2026-01,25780.0,65,3,76,-1230.0
0.0,lower_two_contract_threshold,month,2026-02,29710.0,67,4,82,-2960.0
0.0,lower_two_contract_threshold,month,2026-03,41290.0,95,15,106,-1840.0
0.1,one_contract_baseline,month,2024-10,21180.0,79,0,79,-1040.0
0.1,one_contract_baseline,month,2024-11,18890.0,71,0,71,-1170.0
0.1,one_contract_baseline,month,2024-12,13990.0,61,0,61,-1550.0
0.1,one_contract_baseline,month,2025-07,17830.0,85,0,85,-1280.0
0.1,one_contract_baseline,month,2025-08,22750.0,89,0,89,-1440.0
0.1,one_contract_baseline,month,2025-09,22680.0,100,0,100,-1630.0
0.1,one_contract_baseline,month,2025-10,32840.0,107,0,107,-560.0
0.1,one_contract_baseline,month,2025-11,42500.0,104,0,104,-1010.0
0.1,one_contract_baseline,month,2025-12,15800.0,83,0,83,-1580.0
0.1,one_contract_baseline,month,2026-01,20490.0,68,0,68,-1250.0
0.1,one_contract_baseline,month,2026-02,29950.0,71,0,71,-1500.0
0.1,one_contract_baseline,month,2026-03,39590.0,110,0,110,-1860.0
0.1,high_conviction_profit_cushion,month,2024-10,14890.0,67,12,67,-1040.0
0.1,high_conviction_profit_cushion,month,2024-11,17030.0,66,5,70,-1170.0
0.1,high_conviction_profit_cushion,month,2024-12,13150.0,56,5,57,-1550.0
0.1,high_conviction_profit_cushion,month,2025-07,25140.0,83,2,120,-1280.0
0.1,high_conviction_profit_cushion,month,2025-08,26610.0,80,9,104,-1440.0
0.1,high_conviction_profit_cushion,month,2025-09,35690.0,98,2,151,-1630.0
0.1,high_conviction_profit_cushion,month,2025-10,35530.0,107,0,110,-560.0
0.1,high_conviction_profit_cushion,month,2025-11,42500.0,104,0,104,-1010.0
0.1,high_conviction_profit_cushion,month,2025-12,16020.0,80,3,82,-1580.0
0.1,high_conviction_profit_cushion,month,2026-01,19890.0,65,3,68,-1250.0
0.1,high_conviction_profit_cushion,month,2026-02,28230.0,67,4,76,-2100.0
0.1,high_conviction_profit_cushion,month,2026-03,34760.0,95,15,97,-1860.0
0.1,slow_growth_two_contract,month,2024-10,14640.0,59,20,59,-1040.0
0.1,slow_growth_two_contract,month,2024-11,17100.0,66,5,69,-1170.0
0.1,slow_growth_two_contract,month,2024-12,13720.0,56,5,58,-1550.0
0.1,slow_growth_two_contract,month,2025-07,25820.0,83,2,113,-1280.0
0.1,slow_growth_two_contract,month,2025-08,23600.0,80,9,102,-1440.0
