policy,starting_cash,ending_cash,total_pnl,return_on_starting_cash,candidate_trades,taken_trades,skipped_trades,skip_counts,total_contracts,max_quantity,max_drawdown,max_drawdown_pct,worst_day_pnl,best_day_pnl,min_cash,risk_of_ruin,longest_recovery_trades,stress_per_side,passes_acceptance,baseline_total_pnl,baseline_max_drawdown_pct,baseline_worst_day_pnl,total_improved,drawdown_ok,worst_day_ok,skip_ok,risk_ok
one_contract_baseline,10000.0,329050.0,319050.0,31.905,1028,1028,0,{},1028,1,-2790.0,-0.065335,-2080.0,9270.0,9790.0,False,42,0.0,True,319050.0,-0.065335,-2080.0,,,,,
high_conviction_profit_cushion,10000.0,342870.0,332870.0,33.287,1028,964,64,"{'daily_loss_stop': 59, 'premium_exposure_cap': 5}",1110,3,-5000.0,-0.080475,-1840.0,9810.0,9950.0,False,37,0.0,True,319050.0,-0.065335,-2080.0,True,True,True,True,True
slow_growth_two_contract,10000.0,341270.0,331270.0,33.127,1028,960,68,"{'daily_loss_stop': 52, 'premium_exposure_cap': 16}",1090,2,-5000.0,-0.068167,-1840.0,10460.0,10000.0,False,37,0.0,True,319050.0,-0.065335,-2080.0,True,True,True,True,True
lower_two_contract_threshold,10000.0,364000.0,354000.0,35.4,1028,964,64,"{'daily_loss_stop': 59, 'premium_exposure_cap': 5}",1172,3,-5000.0,-0.080475,-1840.0,10760.0,9950.0,False,37,0.0,True,319050.0,-0.065335,-2080.0,True,True,True,True,True
one_contract_baseline,10000.0,308490.0,298490.0,29.849,1028,1028,0,{},1028,1,-3500.0,-0.071748,-2160.0,9150.0,9730.0,False,48,0.1,True,298490.0,-0.071748,-2160.0,,,,,
high_conviction_profit_cushion,10000.0,319440.0,309440.0,30.944,1028,968,60,"{'daily_loss_stop': 55, 'premium_exposure_cap': 5}",1106,3,-5300.0,-0.084,-1860.0,9510.0,9930.0,False,40,0.1,True,298490.0,-0.071748,-2160.0,True,True,True,True,True
slow_growth_two_contract,10000.0,317460.0,307460.0,30.746,1028,960,68,"{'daily_loss_stop': 52, 'premium_exposure_cap': 16}",1084,2,-5300.0,-0.08351,-1860.0,10320.0,10000.0,False,40,0.1,True,298490.0,-0.071748,-2160.0,True,True,True,True,True
lower_two_contract_threshold,10000.0,336550.0,326550.0,32.655,1028,968,60,"{'daily_loss_stop': 55, 'premium_exposure_cap': 5}",1162,3,-5300.0,-0.084,-1860.0,10600.0,9930.0,False,40,0.1,True,298490.0,-0.071748,-2160.0,True,True,True,True,True
one_contract_baseline,10000.0,277650.0,267650.0,26.765,1028,1028,0,{},1028,1,-4640.0,-0.099421,-2280.0,8970.0,9640.0,False,53,0.25,True,267650.0,-0.099421,-2280.0,,,,,
high_conviction_profit_cushion,10000.0,284790.0,274790.0,27.479,1028,962,66,"{'daily_loss_stop': 61, 'premium_exposure_cap': 5}",1092,3,-5040.0,-0.113479,-1890.0,9060.0,9900.0,False,45,0.25,True,267650.0,-0.099421,-2280.0,True,True,True,True,True
slow_growth_two_contract,10000.0,284590.0,274590.0,27.459,1028,954,74,"{'daily_loss_stop': 58, 'premium_exposure_cap': 16}",1071,2,-5040.0,-0.098781,-1890.0,10110.0,10000.0,False,42,0.25,True,267650.0,-0.099421,-2280.0,True,True,True,True,True
lower_two_contract_threshold,10000.0,300450.0,290450.0,29.045,1028,962,66,"{'daily_loss_stop': 61, 'premium_exposure_cap': 5}",1145,3,-5040.0,-0.113479,-1890.0,10360.0,9900.0,False,45,0.25,True,267650.0,-0.099421,-2280.0,True,True,True,True,True
one_contract_baseline,10000.0,226250.0,216250.0,21.625,1028,1028,0,{},1028,1,-6540.0,-0.163418,-2480.0,8670.0,9490.0,False,57,0.5,True,216250.0,-0.163418,-2480.0,,,,,
high_conviction_profit_cushion,10000.0,219040.0,209040.0,20.904,1028,945,83,"{'daily_loss_stop': 77, 'premium_exposure_cap': 6}",1044,3,-6400.0,-0.193004,-1940.0,8670.0,9850.0,False,49,0.5,False,216250.0,-0.163418,-2480.0,False,True,True,True,True
slow_growth_two_contract,10000.0,223160.0,213160.0,21.316,1028,939,89,"{'daily_loss_stop': 72, 'premium_exposure_cap': 17}",1041,2,-5740.0,-0.172476,-1940.0,9760.0,10000.0,False,45,0.5,False,216250.0,-0.163418,-2480.0,False,True,True,True,True
lower_two_contract_threshold,10000.0,229530.0,219530.0,21.953,1028,945,83,"{'daily_loss_stop': 77, 'premium_exposure_cap': 6}",1091,3,-6400.0,-0.193004,-1940.0,9960.0,9850.0,False,49,0.5,True,216250.0,-0.163418,-2480.0,True,True,True,True,True
