dimension,value,rows,incremental_pnl,scaled_trades,skipped_trades,positive_incremental_fraction
segment,q1_2026,249,1770.0,37,22,0.13654618473895583
segment,q3_2025,274,36620.0,122,17,0.4051094890510949
segment,q4_2024_external,211,-7710.0,10,22,0.07582938388625593
segment,q4_2025,294,4270.0,15,3,0.04421768707482993
month,2024-10,79,-6530.0,0,12,0.05063291139240506
month,2024-11,71,-1290.0,6,5,0.08450704225352113
month,2024-12,61,110.0,4,5,0.09836065573770492
month,2025-07,85,9930.0,45,2,0.4823529411764706
month,2025-08,89,8140.0,28,13,0.29213483146067415
month,2025-09,100,18550.0,49,2,0.44
month,2025-10,107,3090.0,7,0,0.056074766355140186
month,2025-11,104,260.0,5,0,0.028846153846153848
month,2025-12,83,920.0,3,3,0.04819277108433735
month,2026-01,68,3930.0,11,3,0.14705882352941177
month,2026-02,71,-1660.0,15,4,0.15492957746478872
month,2026-03,110,-500.0,11,15,0.11818181818181818
side,CALL,670,14410.0,107,53,0.1582089552238806
side,PUT,358,20540.0,77,11,0.18994413407821228
is_scaled,False,844,-26260.0,0,64,0.02014218009478673
is_scaled,True,184,61210.0,184,0,0.8532608695652174
is_skipped,False,964,61210.0,184,0,0.1628630705394191
is_skipped,True,64,-26260.0,0,64,0.265625
