policy,session,daily_pnl,starting_cash,stress_per_side,daily_pnl_pct_start
one_contract_baseline,2024-10-01,3910.0,10000.0,0.0,0.391
one_contract_baseline,2024-10-02,2510.0,10000.0,0.0,0.251
one_contract_baseline,2024-10-03,2550.0,10000.0,0.0,0.255
one_contract_baseline,2024-10-04,2310.0,10000.0,0.0,0.231
one_contract_baseline,2024-10-07,170.0,10000.0,0.0,0.017
one_contract_baseline,2024-10-08,1040.0,10000.0,0.0,0.104
one_contract_baseline,2024-10-09,1030.0,10000.0,0.0,0.103
one_contract_baseline,2024-10-10,630.0,10000.0,0.0,0.063
one_contract_baseline,2024-10-11,2670.0,10000.0,0.0,0.267
one_contract_baseline,2024-10-14,-680.0,10000.0,0.0,-0.068
one_contract_baseline,2024-10-15,670.0,10000.0,0.0,0.067
one_contract_baseline,2024-10-16,930.0,10000.0,0.0,0.093
one_contract_baseline,2024-10-17,180.0,10000.0,0.0,0.018
one_contract_baseline,2024-10-18,670.0,10000.0,0.0,0.067
one_contract_baseline,2024-10-21,2170.0,10000.0,0.0,0.217
one_contract_baseline,2024-10-22,-480.0,10000.0,0.0,-0.048
one_contract_baseline,2024-10-23,1170.0,10000.0,0.0,0.117
one_contract_baseline,2024-10-24,-630.0,10000.0,0.0,-0.063
one_contract_baseline,2024-10-25,3070.0,10000.0,0.0,0.307
one_contract_baseline,2024-10-28,-180.0,10000.0,0.0,-0.018
one_contract_baseline,2024-10-29,770.0,10000.0,0.0,0.077
one_contract_baseline,2024-10-30,360.0,10000.0,0.0,0.036
one_contract_baseline,2024-10-31,-2080.0,10000.0,0.0,-0.208
one_contract_baseline,2024-11-01,1720.0,10000.0,0.0,0.172
one_contract_baseline,2024-11-04,60.0,10000.0,0.0,0.006
one_contract_baseline,2024-11-05,1590.0,10000.0,0.0,0.159
one_contract_baseline,2024-11-06,20.0,10000.0,0.0,0.002
one_contract_baseline,2024-11-07,440.0,10000.0,0.0,0.044
one_contract_baseline,2024-11-08,-20.0,10000.0,0.0,-0.002
one_contract_baseline,2024-11-11,-160.0,10000.0,0.0,-0.016
one_contract_baseline,2024-11-12,870.0,10000.0,0.0,0.087
one_contract_baseline,2024-11-13,1450.0,10000.0,0.0,0.145
one_contract_baseline,2024-11-14,230.0,10000.0,0.0,0.023
one_contract_baseline,2024-11-15,1720.0,10000.0,0.0,0.172
one_contract_baseline,2024-11-18,1560.0,10000.0,0.0,0.156
one_contract_baseline,2024-11-19,1490.0,10000.0,0.0,0.149
one_contract_baseline,2024-11-20,3880.0,10000.0,0.0,0.388
one_contract_baseline,2024-11-21,5710.0,10000.0,0.0,0.571
one_contract_baseline,2024-11-22,-1300.0,10000.0,0.0,-0.13
one_contract_baseline,2024-11-25,590.0,10000.0,0.0,0.059
one_contract_baseline,2024-11-26,-890.0,10000.0,0.0,-0.089
one_contract_baseline,2024-11-27,640.0,10000.0,0.0,0.064
one_contract_baseline,2024-11-29,710.0,10000.0,0.0,0.071
one_contract_baseline,2024-12-02,-280.0,10000.0,0.0,-0.028
one_contract_baseline,2024-12-03,-640.0,10000.0,0.0,-0.064
one_contract_baseline,2024-12-04,-460.0,10000.0,0.0,-0.046
one_contract_baseline,2024-12-05,-580.0,10000.0,0.0,-0.058
one_contract_baseline,2024-12-06,190.0,10000.0,0.0,0.019
one_contract_baseline,2024-12-09,70.0,10000.0,0.0,0.007
one_contract_baseline,2024-12-10,290.0,10000.0,0.0,0.029
one_contract_baseline,2024-12-11,110.0,10000.0,0.0,0.011
one_contract_baseline,2024-12-12,-1190.0,10000.0,0.0,-0.119
one_contract_baseline,2024-12-13,1220.0,10000.0,0.0,0.122
one_contract_baseline,2024-12-16,670.0,10000.0,0.0,0.067
one_contract_baseline,2024-12-17,1190.0,10000.0,0.0,0.119
one_contract_baseline,2024-12-18,550.0,10000.0,0.0,0.055
one_contract_baseline,2024-12-19,200.0,10000.0,0.0,0.02
one_contract_baseline,2024-12-20,4020.0,10000.0,0.0,0.402
one_contract_baseline,2024-12-23,2170.0,10000.0,0.0,0.217
one_contract_baseline,2024-12-24,550.0,10000.0,0.0,0.055
one_contract_baseline,2024-12-26,390.0,10000.0,0.0,0.039
one_contract_baseline,2024-12-27,5400.0,10000.0,0.0,0.54
one_contract_baseline,2024-12-30,450.0,10000.0,0.0,0.045
one_contract_baseline,2024-12-31,890.0,10000.0,0.0,0.089
one_contract_baseline,2025-07-01,320.0,10000.0,0.0,0.032
one_contract_baseline,2025-07-02,690.0,10000.0,0.0,0.069
one_contract_baseline,2025-07-03,490.0,10000.0,0.0,0.049
one_contract_baseline,2025-07-07,1580.0,10000.0,0.0,0.158
one_contract_baseline,2025-07-08,1010.0,10000.0,0.0,0.101
one_contract_baseline,2025-07-09,670.0,10000.0,0.0,0.067
one_contract_baseline,2025-07-10,1020.0,10000.0,0.0,0.102
one_contract_baseline,2025-07-11,360.0,10000.0,0.0,0.036
one_contract_baseline,2025-07-14,870.0,10000.0,0.0,0.087
one_contract_baseline,2025-07-15,1480.0,10000.0,0.0,0.148
one_contract_baseline,2025-07-16,3940.0,10000.0,0.0,0.394
one_contract_baseline,2025-07-17,1240.0,10000.0,0.0,0.124
one_contract_baseline,2025-07-18,-90.0,10000.0,0.0,-0.009
one_contract_baseline,2025-07-21,500.0,10000.0,0.0,0.05
one_contract_baseline,2025-07-22,850.0,10000.0,0.0,0.085
one_contract_baseline,2025-07-23,-20.0,10000.0,0.0,-0.002
one_contract_baseline,2025-07-24,360.0,10000.0,0.0,0.036
one_contract_baseline,2025-07-25,450.0,10000.0,0.0,0.045
one_contract_baseline,2025-07-28,660.0,10000.0,0.0,0.066
one_contract_baseline,2025-07-29,540.0,10000.0,0.0,0.054
one_contract_baseline,2025-07-30,2750.0,10000.0,0.0,0.275
one_contract_baseline,2025-07-31,-140.0,10000.0,0.0,-0.014
one_contract_baseline,2025-08-01,2520.0,10000.0,0.0,0.252
one_contract_baseline,2025-08-04,750.0,10000.0,0.0,0.075
one_contract_baseline,2025-08-05,2840.0,10000.0,0.0,0.284
one_contract_baseline,2025-08-06,2510.0,10000.0,0.0,0.251
one_contract_baseline,2025-08-07,-160.0,10000.0,0.0,-0.016
one_contract_baseline,2025-08-08,440.0,10000.0,0.0,0.044
one_contract_baseline,2025-08-11,-650.0,10000.0,0.0,-0.065
one_contract_baseline,2025-08-12,2670.0,10000.0,0.0,0.267
one_contract_baseline,2025-08-13,780.0,10000.0,0.0,0.078
one_contract_baseline,2025-08-14,150.0,10000.0,0.0,0.015
one_contract_baseline,2025-08-15,520.0,10000.0,0.0,0.052
one_contract_baseline,2025-08-18,-160.0,10000.0,0.0,-0.016
one_contract_baseline,2025-08-19,1470.0,10000.0,0.0,0.147
one_contract_baseline,2025-08-20,1610.0,10000.0,0.0,0.161
one_contract_baseline,2025-08-21,2080.0,10000.0,0.0,0.208
one_contract_baseline,2025-08-22,4940.0,10000.0,0.0,0.494
one_contract_baseline,2025-08-25,450.0,10000.0,0.0,0.045
one_contract_baseline,2025-08-26,100.0,10000.0,0.0,0.01
one_contract_baseline,2025-08-27,360.0,10000.0,0.0,0.036
one_contract_baseline,2025-08-28,400.0,10000.0,0.0,0.04
one_contract_baseline,2025-08-29,910.0,10000.0,0.0,0.091
one_contract_baseline,2025-09-02,-810.0,10000.0,0.0,-0.081
one_contract_baseline,2025-09-03,450.0,10000.0,0.0,0.045
one_contract_baseline,2025-09-04,2350.0,10000.0,0.0,0.235
one_contract_baseline,2025-09-05,5110.0,10000.0,0.0,0.511
one_contract_baseline,2025-09-08,1380.0,10000.0,0.0,0.138
one_contract_baseline,2025-09-09,370.0,10000.0,0.0,0.037
one_contract_baseline,2025-09-10,-440.0,10000.0,0.0,-0.044
one_contract_baseline,2025-09-11,1280.0,10000.0,0.0,0.128
one_contract_baseline,2025-09-12,640.0,10000.0,0.0,0.064
one_contract_baseline,2025-09-15,470.0,10000.0,0.0,0.047
one_contract_baseline,2025-09-16,-350.0,10000.0,0.0,-0.035
one_contract_baseline,2025-09-17,4920.0,10000.0,0.0,0.492
one_contract_baseline,2025-09-18,1570.0,10000.0,0.0,0.157
one_contract_baseline,2025-09-19,520.0,10000.0,0.0,0.052
one_contract_baseline,2025-09-22,1310.0,10000.0,0.0,0.131
one_contract_baseline,2025-09-23,1580.0,10000.0,0.0,0.158
one_contract_baseline,2025-09-24,200.0,10000.0,0.0,0.02
one_contract_baseline,2025-09-25,-1200.0,10000.0,0.0,-0.12
one_contract_baseline,2025-09-26,4330.0,10000.0,0.0,0.433
one_contract_baseline,2025-09-29,380.0,10000.0,0.0,0.038
one_contract_baseline,2025-09-30,620.0,10000.0,0.0,0.062
one_contract_baseline,2025-10-01,-420.0,10000.0,0.0,-0.042
one_contract_baseline,2025-10-02,1280.0,10000.0,0.0,0.128
one_contract_baseline,2025-10-03,1880.0,10000.0,0.0,0.188
one_contract_baseline,2025-10-06,1100.0,10000.0,0.0,0.11
one_contract_baseline,2025-10-07,660.0,10000.0,0.0,0.066
one_contract_baseline,2025-10-08,1310.0,10000.0,0.0,0.131
one_contract_baseline,2025-10-09,410.0,10000.0,0.0,0.041
one_contract_baseline,2025-10-10,730.0,10000.0,0.0,0.073
one_contract_baseline,2025-10-13,2040.0,10000.0,0.0,0.204
one_contract_baseline,2025-10-14,1260.0,10000.0,0.0,0.126
one_contract_baseline,2025-10-15,3460.0,10000.0,0.0,0.346
one_contract_baseline,2025-10-16,820.0,10000.0,0.0,0.082
one_contract_baseline,2025-10-17,3510.0,10000.0,0.0,0.351
one_contract_baseline,2025-10-20,1820.0,10000.0,0.0,0.182
one_contract_baseline,2025-10-21,1050.0,10000.0,0.0,0.105
one_contract_baseline,2025-10-22,1910.0,10000.0,0.0,0.191
one_contract_baseline,2025-10-23,1450.0,10000.0,0.0,0.145
one_contract_baseline,2025-10-24,1080.0,10000.0,0.0,0.108
one_contract_baseline,2025-10-27,650.0,10000.0,0.0,0.065
one_contract_baseline,2025-10-28,20.0,10000.0,0.0,0.002
one_contract_baseline,2025-10-29,5850.0,10000.0,0.0,0.585
one_contract_baseline,2025-10-30,620.0,10000.0,0.0,0.062
one_contract_baseline,2025-10-31,2490.0,10000.0,0.0,0.249
one_contract_baseline,2025-11-03,2930.0,10000.0,0.0,0.293
one_contract_baseline,2025-11-04,1850.0,10000.0,0.0,0.185
one_contract_baseline,2025-11-05,850.0,10000.0,0.0,0.085
one_contract_baseline,2025-11-06,990.0,10000.0,0.0,0.099
one_contract_baseline,2025-11-07,1610.0,10000.0,0.0,0.161
one_contract_baseline,2025-11-10,-270.0,10000.0,0.0,-0.027
one_contract_baseline,2025-11-11,1380.0,10000.0,0.0,0.138
one_contract_baseline,2025-11-12,2310.0,10000.0,0.0,0.231
one_contract_baseline,2025-11-13,3940.0,10000.0,0.0,0.394
one_contract_baseline,2025-11-14,5780.0,10000.0,0.0,0.578
one_contract_baseline,2025-11-17,880.0,10000.0,0.0,0.088
one_contract_baseline,2025-11-18,4780.0,10000.0,0.0,0.478
one_contract_baseline,2025-11-19,3770.0,10000.0,0.0,0.377
one_contract_baseline,2025-11-20,5170.0,10000.0,0.0,0.517
one_contract_baseline,2025-11-21,7400.0,10000.0,0.0,0.74
one_contract_baseline,2025-11-24,2700.0,10000.0,0.0,0.27
one_contract_baseline,2025-11-25,-100.0,10000.0,0.0,-0.01
one_contract_baseline,2025-11-26,-1420.0,10000.0,0.0,-0.142
one_contract_baseline,2025-11-28,30.0,10000.0,0.0,0.003
one_contract_baseline,2025-12-01,1600.0,10000.0,0.0,0.16
one_contract_baseline,2025-12-02,1520.0,10000.0,0.0,0.152
one_contract_baseline,2025-12-03,1850.0,10000.0,0.0,0.185
one_contract_baseline,2025-12-04,1440.0,10000.0,0.0,0.144
one_contract_baseline,2025-12-05,1620.0,10000.0,0.0,0.162
one_contract_baseline,2025-12-08,2030.0,10000.0,0.0,0.203
one_contract_baseline,2025-12-09,250.0,10000.0,0.0,0.025
one_contract_baseline,2025-12-10,2970.0,10000.0,0.0,0.297
one_contract_baseline,2025-12-11,-1540.0,10000.0,0.0,-0.154
one_contract_baseline,2025-12-12,1320.0,10000.0,0.0,0.132
one_contract_baseline,2025-12-15,810.0,10000.0,0.0,0.081
one_contract_baseline,2025-12-16,-950.0,10000.0,0.0,-0.095
one_contract_baseline,2025-12-17,1720.0,10000.0,0.0,0.172
one_contract_baseline,2025-12-18,-260.0,10000.0,0.0,-0.026
one_contract_baseline,2025-12-19,680.0,10000.0,0.0,0.068
one_contract_baseline,2025-12-22,610.0,10000.0,0.0,0.061
one_contract_baseline,2025-12-23,1010.0,10000.0,0.0,0.101
one_contract_baseline,2025-12-24,190.0,10000.0,0.0,0.019
one_contract_baseline,2025-12-26,-280.0,10000.0,0.0,-0.028
one_contract_baseline,2025-12-29,220.0,10000.0,0.0,0.022
one_contract_baseline,2025-12-30,460.0,10000.0,0.0,0.046
one_contract_baseline,2025-12-31,190.0,10000.0,0.0,0.019
one_contract_baseline,2026-01-02,1420.0,10000.0,0.0,0.142
one_contract_baseline,2026-01-05,1160.0,10000.0,0.0,0.116
one_contract_baseline,2026-01-06,-570.0,10000.0,0.0,-0.057
one_contract_baseline,2026-01-07,220.0,10000.0,0.0,0.022
one_contract_baseline,2026-01-08,-990.0,10000.0,0.0,-0.099
one_contract_baseline,2026-01-09,1130.0,10000.0,0.0,0.113
one_contract_baseline,2026-01-12,740.0,10000.0,0.0,0.074
one_contract_baseline,2026-01-13,-150.0,10000.0,0.0,-0.015
one_contract_baseline,2026-01-14,1510.0,10000.0,0.0,0.151
one_contract_baseline,2026-01-15,130.0,10000.0,0.0,0.013
one_contract_baseline,2026-01-16,1710.0,10000.0,0.0,0.171
one_contract_baseline,2026-01-20,1270.0,10000.0,0.0,0.127
one_contract_baseline,2026-01-21,5600.0,10000.0,0.0,0.56
one_contract_baseline,2026-01-22,1220.0,10000.0,0.0,0.122
one_contract_baseline,2026-01-23,190.0,10000.0,0.0,0.019
one_contract_baseline,2026-01-26,50.0,10000.0,0.0,0.005
one_contract_baseline,2026-01-27,1570.0,10000.0,0.0,0.157
one_contract_baseline,2026-01-28,1560.0,10000.0,0.0,0.156
one_contract_baseline,2026-01-29,4300.0,10000.0,0.0,0.43
one_contract_baseline,2026-01-30,-220.0,10000.0,0.0,-0.022
one_contract_baseline,2026-02-02,-10.0,10000.0,0.0,-0.001
one_contract_baseline,2026-02-03,2510.0,10000.0,0.0,0.251
one_contract_baseline,2026-02-04,1740.0,10000.0,0.0,0.174
one_contract_baseline,2026-02-05,3430.0,10000.0,0.0,0.343
one_contract_baseline,2026-02-09,1480.0,10000.0,0.0,0.148
one_contract_baseline,2026-02-10,260.0,10000.0,0.0,0.026
one_contract_baseline,2026-02-11,2610.0,10000.0,0.0,0.261
one_contract_baseline,2026-02-12,2400.0,10000.0,0.0,0.24
one_contract_baseline,2026-02-13,4090.0,10000.0,0.0,0.409
one_contract_baseline,2026-02-17,5580.0,10000.0,0.0,0.558
one_contract_baseline,2026-02-18,-160.0,10000.0,0.0,-0.016
one_contract_baseline,2026-02-19,250.0,10000.0,0.0,0.025
one_contract_baseline,2026-02-20,2480.0,10000.0,0.0,0.248
one_contract_baseline,2026-02-23,2000.0,10000.0,0.0,0.2
one_contract_baseline,2026-02-24,1830.0,10000.0,0.0,0.183
one_contract_baseline,2026-02-25,-560.0,10000.0,0.0,-0.056
one_contract_baseline,2026-02-26,220.0,10000.0,0.0,0.022
one_contract_baseline,2026-02-27,1220.0,10000.0,0.0,0.122
one_contract_baseline,2026-03-02,1520.0,10000.0,0.0,0.152
one_contract_baseline,2026-03-03,9270.0,10000.0,0.0,0.927
one_contract_baseline,2026-03-04,-1980.0,10000.0,0.0,-0.198
one_contract_baseline,2026-03-05,4900.0,10000.0,0.0,0.49
one_contract_baseline,2026-03-06,2010.0,10000.0,0.0,0.201
one_contract_baseline,2026-03-09,1130.0,10000.0,0.0,0.113
one_contract_baseline,2026-03-10,-470.0,10000.0,0.0,-0.047
one_contract_baseline,2026-03-11,-910.0,10000.0,0.0,-0.091
one_contract_baseline,2026-03-12,1330.0,10000.0,0.0,0.133
one_contract_baseline,2026-03-13,740.0,10000.0,0.0,0.074
one_contract_baseline,2026-03-16,-1140.0,10000.0,0.0,-0.114
one_contract_baseline,2026-03-17,200.0,10000.0,0.0,0.02
one_contract_baseline,2026-03-18,2430.0,10000.0,0.0,0.243
one_contract_baseline,2026-03-19,2230.0,10000.0,0.0,0.223
one_contract_baseline,2026-03-20,2650.0,10000.0,0.0,0.265
one_contract_baseline,2026-03-23,3790.0,10000.0,0.0,0.379
one_contract_baseline,2026-03-24,2060.0,10000.0,0.0,0.206
one_contract_baseline,2026-03-25,1910.0,10000.0,0.0,0.191
one_contract_baseline,2026-03-26,130.0,10000.0,0.0,0.013
one_contract_baseline,2026-03-27,1650.0,10000.0,0.0,0.165
one_contract_baseline,2026-03-30,5380.0,10000.0,0.0,0.538
one_contract_baseline,2026-03-31,2960.0,10000.0,0.0,0.296
always_on_account_aware_sizer,2024-10-01,1640.0,10000.0,0.0,0.164
always_on_account_aware_sizer,2024-10-02,620.0,10000.0,0.0,0.062
always_on_account_aware_sizer,2024-10-03,2550.0,10000.0,0.0,0.255
always_on_account_aware_sizer,2024-10-04,-870.0,10000.0,0.0,-0.087
always_on_account_aware_sizer,2024-10-07,170.0,10000.0,0.0,0.017
always_on_account_aware_sizer,2024-10-08,1040.0,10000.0,0.0,0.104
always_on_account_aware_sizer,2024-10-09,1030.0,10000.0,0.0,0.103
always_on_account_aware_sizer,2024-10-10,630.0,10000.0,0.0,0.063
always_on_account_aware_sizer,2024-10-11,2670.0,10000.0,0.0,0.267
always_on_account_aware_sizer,2024-10-14,-930.0,10000.0,0.0,-0.093
always_on_account_aware_sizer,2024-10-15,670.0,10000.0,0.0,0.067
always_on_account_aware_sizer,2024-10-16,930.0,10000.0,0.0,0.093
always_on_account_aware_sizer,2024-10-17,180.0,10000.0,0.0,0.018
always_on_account_aware_sizer,2024-10-18,670.0,10000.0,0.0,0.067
always_on_account_aware_sizer,2024-10-21,2170.0,10000.0,0.0,0.217
always_on_account_aware_sizer,2024-10-22,-480.0,10000.0,0.0,-0.048
always_on_account_aware_sizer,2024-10-23,1170.0,10000.0,0.0,0.117
always_on_account_aware_sizer,2024-10-24,-630.0,10000.0,0.0,-0.063
always_on_account_aware_sizer,2024-10-25,3070.0,10000.0,0.0,0.307
always_on_account_aware_sizer,2024-10-28,-180.0,10000.0,0.0,-0.018
always_on_account_aware_sizer,2024-10-29,770.0,10000.0,0.0,0.077
always_on_account_aware_sizer,2024-10-30,360.0,10000.0,0.0,0.036
always_on_account_aware_sizer,2024-10-31,-1020.0,10000.0,0.0,-0.102
always_on_account_aware_sizer,2024-11-01,1720.0,10000.0,0.0,0.172
always_on_account_aware_sizer,2024-11-04,60.0,10000.0,0.0,0.006
