policy,starting_cash,ending_cash,total_pnl,return_on_starting_cash,candidate_trades,taken_trades,skipped_trades,skip_counts,total_contracts,max_quantity,max_drawdown,max_drawdown_pct,worst_day_pnl,best_day_pnl,min_cash,risk_of_ruin,longest_recovery_trades,policy_kind,stress_per_side,max_drawdown_pct_start,worst_day_pct_start,return_over_max_drawdown,return_over_worst_day,experiment,baseline_total_pnl,incremental_pnl,total_improved,drawdown_pct_ok,worst_day_pct_ok,passes_cash_level_gate
one_contract_baseline,10000.0,329050.0,319050.0,31.905,1028,1028,0,{},1028,1,-2790.0,-0.065335,-2080.0,9270.0,9790.0,False,42,baseline,0.0,0.279,0.208,114.354839,153.389423,current_fixed_750,,,,,,
always_on_account_aware_sizer,10000.0,364000.0,354000.0,35.4,1028,964,64,"{'daily_loss_stop': 59, 'premium_exposure_cap': 5}",1172,3,-5000.0,-0.080475,-1840.0,10760.0,9950.0,False,37,candidate,0.0,0.5,0.184,70.8,192.391304,current_fixed_750,319050.0,34950.0,True,True,True,True
one_contract_baseline,10000.0,277650.0,267650.0,26.765,1028,1028,0,{},1028,1,-4640.0,-0.099421,-2280.0,8970.0,9640.0,False,53,baseline,0.25,0.464,0.228,57.68319,117.390351,current_fixed_750,,,,,,
always_on_account_aware_sizer,10000.0,300450.0,290450.0,29.045,1028,962,66,"{'daily_loss_stop': 61, 'premium_exposure_cap': 5}",1145,3,-5040.0,-0.113479,-1890.0,10360.0,9900.0,False,45,candidate,0.25,0.504,0.189,57.628968,153.677249,current_fixed_750,267650.0,22800.0,True,True,True,True
one_contract_baseline,10000.0,226250.0,216250.0,21.625,1028,1028,0,{},1028,1,-6540.0,-0.163418,-2480.0,8670.0,9490.0,False,57,baseline,0.5,0.654,0.248,33.065749,87.197581,current_fixed_750,,,,,,
always_on_account_aware_sizer,10000.0,229530.0,219530.0,21.953,1028,945,83,"{'daily_loss_stop': 77, 'premium_exposure_cap': 6}",1091,3,-6400.0,-0.193004,-1940.0,9960.0,9850.0,False,49,candidate,0.5,0.64,0.194,34.301563,113.159794,current_fixed_750,216250.0,3280.0,True,True,True,True
one_contract_baseline,25000.0,344050.0,319050.0,12.762,1028,1028,0,{},1028,1,-2790.0,-0.045754,-2080.0,9270.0,24790.0,False,42,baseline,0.0,0.1116,0.0832,114.354839,153.389423,current_fixed_750,,,,,,
always_on_account_aware_sizer,25000.0,385780.0,360780.0,14.4312,1028,969,59,{'daily_loss_stop': 59},1191,3,-5000.0,-0.047259,-1840.0,10760.0,24790.0,False,37,candidate,0.0,0.2,0.0736,72.156,196.076087,current_fixed_750,319050.0,41730.0,True,True,True,True
one_contract_baseline,25000.0,292650.0,267650.0,10.706,1028,1028,0,{},1028,1,-4640.0,-0.075239,-2280.0,8970.0,24640.0,False,53,baseline,0.25,0.1856,0.0912,57.68319,117.390351,current_fixed_750,,,,,,
always_on_account_aware_sizer,25000.0,320650.0,295650.0,11.826,1028,963,65,{'daily_loss_stop': 65},1154,3,-5040.0,-0.07588,-1890.0,10360.0,24640.0,False,45,candidate,0.25,0.2016,0.0756,58.660714,156.428571,current_fixed_750,267650.0,28000.0,True,True,True,True
one_contract_baseline,25000.0,241250.0,216250.0,8.65,1028,1028,0,{},1028,1,-6540.0,-0.118866,-2480.0,8670.0,24490.0,False,57,baseline,0.5,0.2616,0.0992,33.065749,87.197581,current_fixed_750,,,,,,
always_on_account_aware_sizer,25000.0,250680.0,225680.0,9.0272,1028,951,77,{'daily_loss_stop': 77},1107,3,-6400.0,-0.123815,-1940.0,9960.0,24490.0,False,49,candidate,0.5,0.256,0.0776,35.2625,116.329897,current_fixed_750,216250.0,9430.0,True,True,True,True
one_contract_baseline,30000.0,349050.0,319050.0,10.635,1028,1028,0,{},1028,1,-2790.0,-0.041599,-2080.0,9270.0,29790.0,False,42,baseline,0.0,0.093,0.069333,114.354839,153.389423,current_fixed_750,,,,,,
always_on_account_aware_sizer,30000.0,390780.0,360780.0,12.026,1028,969,59,{'daily_loss_stop': 59},1191,3,-5000.0,-0.043871,-1840.0,10760.0,29790.0,False,37,candidate,0.0,0.166667,0.061333,72.156,196.076087,current_fixed_750,319050.0,41730.0,True,True,True,True
one_contract_baseline,30000.0,297650.0,267650.0,8.921667,1028,1028,0,{},1028,1,-4640.0,-0.069597,-2280.0,8970.0,29640.0,False,53,baseline,0.25,0.154667,0.076,57.68319,117.390351,current_fixed_750,,,,,,
always_on_account_aware_sizer,30000.0,326040.0,296040.0,9.868,1028,963,65,{'daily_loss_stop': 65},1155,3,-5040.0,-0.069881,-1890.0,10360.0,29640.0,False,45,candidate,0.25,0.168,0.063,58.738095,156.634921,current_fixed_750,267650.0,28390.0,True,True,True,True
one_contract_baseline,30000.0,246250.0,216250.0,7.208333,1028,1028,0,{},1028,1,-6540.0,-0.108964,-2480.0,8670.0,29490.0,False,57,baseline,0.5,0.218,0.082667,33.065749,87.197581,current_fixed_750,,,,,,
always_on_account_aware_sizer,30000.0,256040.0,226040.0,7.534667,1028,951,77,{'daily_loss_stop': 77},1108,3,-6400.0,-0.112895,-1940.0,9960.0,29490.0,False,49,candidate,0.5,0.213333,0.064667,35.31875,116.515464,current_fixed_750,216250.0,9790.0,True,True,True,True
one_contract_baseline,50000.0,369050.0,319050.0,6.381,1028,1028,0,{},1028,1,-2790.0,-0.030513,-2080.0,9270.0,49790.0,False,42,baseline,0.0,0.0558,0.0416,114.354839,153.389423,current_fixed_750,,,,,,
always_on_account_aware_sizer,50000.0,413700.0,363700.0,7.274,1028,969,59,{'daily_loss_stop': 59},1201,3,-5000.0,-0.034095,-1840.0,10760.0,49790.0,False,37,candidate,0.0,0.1,0.0368,72.74,197.663043,current_fixed_750,319050.0,44650.0,True,True,True,True
one_contract_baseline,50000.0,317650.0,267650.0,5.353,1028,1028,0,{},1028,1,-4640.0,-0.053536,-2280.0,8970.0,49640.0,False,53,baseline,0.25,0.0928,0.0456,57.68319,117.390351,current_fixed_750,,,,,,
always_on_account_aware_sizer,50000.0,348410.0,298410.0,5.9682,1028,963,65,{'daily_loss_stop': 65},1167,3,-5040.0,-0.053093,-1890.0,10360.0,49640.0,False,45,candidate,0.25,0.1008,0.0378,59.208333,157.888889,current_fixed_750,267650.0,30760.0,True,True,True,True
one_contract_baseline,50000.0,266250.0,216250.0,4.325,1028,1028,0,{},1028,1,-6540.0,-0.08173,-2480.0,8670.0,49490.0,False,57,baseline,0.5,0.1308,0.0496,33.065749,87.197581,current_fixed_750,,,,,,
always_on_account_aware_sizer,50000.0,277350.0,227350.0,4.547,1028,951,77,{'daily_loss_stop': 77},1113,3,-6400.0,-0.083453,-1940.0,9960.0,49490.0,False,49,candidate,0.5,0.128,0.0388,35.523438,117.190722,current_fixed_750,216250.0,11100.0,True,True,True,True
one_contract_baseline,100000.0,419050.0,319050.0,3.1905,1028,1028,0,{},1028,1,-2790.0,-0.01946,-2080.0,9270.0,99790.0,False,42,baseline,0.0,0.0279,0.0208,114.354839,153.389423,current_fixed_750,,,,,,
always_on_account_aware_sizer,100000.0,463700.0,363700.0,3.637,1028,969,59,{'daily_loss_stop': 59},1201,3,-5000.0,-0.021896,-1840.0,10760.0,99790.0,False,37,candidate,0.0,0.05,0.0184,72.74,197.663043,current_fixed_750,319050.0,44650.0,True,True,True,True
one_contract_baseline,100000.0,367650.0,267650.0,2.6765,1028,1028,0,{},1028,1,-4640.0,-0.03395,-2280.0,8970.0,99640.0,False,53,baseline,0.25,0.0464,0.0228,57.68319,117.390351,current_fixed_750,,,,,,
always_on_account_aware_sizer,100000.0,400340.0,300340.0,3.0034,1028,963,65,{'daily_loss_stop': 65},1174,3,-5040.0,-0.033171,-1890.0,10360.0,99640.0,False,45,candidate,0.25,0.0504,0.0189,59.59127,158.910053,current_fixed_750,267650.0,32690.0,True,True,True,True
one_contract_baseline,100000.0,316250.0,216250.0,2.1625,1028,1028,0,{},1028,1,-6540.0,-0.0503,-2480.0,8670.0,99490.0,False,57,baseline,0.5,0.0654,0.0248,33.065749,87.197581,current_fixed_750,,,,,,
always_on_account_aware_sizer,100000.0,330980.0,230980.0,2.3098,1028,953,75,{'daily_loss_stop': 75},1132,3,-6340.0,-0.050043,-1940.0,9960.0,99490.0,False,45,candidate,0.5,0.0634,0.0194,36.432177,119.061856,current_fixed_750,216250.0,14730.0,True,True,True,True
one_contract_baseline,10000.0,329050.0,319050.0,31.905,1028,1028,0,{},1028,1,-2790.0,-0.065335,-2080.0,9270.0,9790.0,False,42,baseline,0.0,0.279,0.208,114.354839,153.389423,daily_stop_0.25%_equity,,,,,,
daily_stop_0.25%_equity,10000.0,364000.0,354000.0,35.4,1028,964,64,"{'daily_loss_stop': 59, 'premium_exposure_cap': 5}",1172,3,-5000.0,-0.080475,-1840.0,10760.0,9950.0,False,37,candidate,0.0,0.5,0.184,70.8,192.391304,daily_stop_0.25%_equity,319050.0,34950.0,True,True,True,True
one_contract_baseline,10000.0,277650.0,267650.0,26.765,1028,1028,0,{},1028,1,-4640.0,-0.099421,-2280.0,8970.0,9640.0,False,53,baseline,0.25,0.464,0.228,57.68319,117.390351,daily_stop_0.25%_equity,,,,,,
daily_stop_0.25%_equity,10000.0,300450.0,290450.0,29.045,1028,962,66,"{'daily_loss_stop': 61, 'premium_exposure_cap': 5}",1145,3,-5040.0,-0.113479,-1890.0,10360.0,9900.0,False,45,candidate,0.25,0.504,0.189,57.628968,153.677249,daily_stop_0.25%_equity,267650.0,22800.0,True,True,True,True
one_contract_baseline,10000.0,226250.0,216250.0,21.625,1028,1028,0,{},1028,1,-6540.0,-0.163418,-2480.0,8670.0,9490.0,False,57,baseline,0.5,0.654,0.248,33.065749,87.197581,daily_stop_0.25%_equity,,,,,,
daily_stop_0.25%_equity,10000.0,229530.0,219530.0,21.953,1028,945,83,"{'daily_loss_stop': 77, 'premium_exposure_cap': 6}",1091,3,-6400.0,-0.193004,-1940.0,9960.0,9850.0,False,49,candidate,0.5,0.64,0.194,34.301563,113.159794,daily_stop_0.25%_equity,216250.0,3280.0,True,True,True,True
one_contract_baseline,25000.0,344050.0,319050.0,12.762,1028,1028,0,{},1028,1,-2790.0,-0.045754,-2080.0,9270.0,24790.0,False,42,baseline,0.0,0.1116,0.0832,114.354839,153.389423,daily_stop_0.25%_equity,,,,,,
daily_stop_0.25%_equity,25000.0,385780.0,360780.0,14.4312,1028,969,59,{'daily_loss_stop': 59},1191,3,-5000.0,-0.047259,-1840.0,10760.0,24790.0,False,37,candidate,0.0,0.2,0.0736,72.156,196.076087,daily_stop_0.25%_equity,319050.0,41730.0,True,True,True,True
one_contract_baseline,25000.0,292650.0,267650.0,10.706,1028,1028,0,{},1028,1,-4640.0,-0.075239,-2280.0,8970.0,24640.0,False,53,baseline,0.25,0.1856,0.0912,57.68319,117.390351,daily_stop_0.25%_equity,,,,,,
daily_stop_0.25%_equity,25000.0,320650.0,295650.0,11.826,1028,963,65,{'daily_loss_stop': 65},1154,3,-5040.0,-0.07588,-1890.0,10360.0,24640.0,False,45,candidate,0.25,0.2016,0.0756,58.660714,156.428571,daily_stop_0.25%_equity,267650.0,28000.0,True,True,True,True
one_contract_baseline,25000.0,241250.0,216250.0,8.65,1028,1028,0,{},1028,1,-6540.0,-0.118866,-2480.0,8670.0,24490.0,False,57,baseline,0.5,0.2616,0.0992,33.065749,87.197581,daily_stop_0.25%_equity,,,,,,
