trade_number,session,month,segment,stage,decision_time,exit_time,side,contract_id,score_margin,one_contract_premium,baseline_quantity,candidate_quantity,quantity_delta,baseline_pnl,candidate_pnl,incremental_pnl,candidate_cash_before,candidate_cash_after,candidate_drawdown_pct_before,candidate_daily_pnl_before,premium_exposure,skip_reason,is_scaled,is_skipped
1,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T14:15:00+00:00,2024-10-01T14:21:00+00:00,PUT,SPXW-20241001-05710.000-P,0.19455630874633778,2480.0,1,1,0,-50.0,-50.0,0.0,10000.0,9950.0,0.0,0.0,2480.0,,False,False
2,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T14:21:00+00:00,2024-10-01T14:39:00+00:00,CALL,SPXW-20241001-05675.000-C,0.7771383652687072,3100.0,1,1,0,300.0,300.0,0.0,9950.0,10250.0,0.029268,-50.0,3100.0,,False,False
3,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T14:41:00+00:00,2024-10-01T15:05:00+00:00,CALL,SPXW-20241001-05675.000-C,2.2233448753356932,3400.0,1,1,0,-460.0,-460.0,0.0,10250.0,9790.0,0.0,250.0,3400.0,,False,False
4,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T15:19:00+00:00,2024-10-01T15:44:00+00:00,CALL,SPXW-20241001-05665.000-C,1.1291123757362365,2640.0,1,1,0,2430.0,2430.0,0.0,9790.0,12220.0,0.198854,-210.0,2640.0,,False,False
5,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T17:31:00+00:00,2024-10-01T17:56:00+00:00,CALL,SPXW-20241001-05680.000-C,2.4742115268707274,1590.0,1,1,0,1510.0,1510.0,0.0,12220.0,13730.0,0.109978,2220.0,1590.0,,False,False
6,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T18:43:00+00:00,2024-10-01T19:07:00+00:00,CALL,SPXW-20241001-05715.000-C,2.6176714429855346,1300.0,1,1,0,-170.0,-170.0,0.0,13730.0,13560.0,0.0,3730.0,1300.0,,False,False
7,2024-10-01,2024-10,q4_2024_external,external_stress,2024-10-01T19:14:00+00:00,2024-10-01T19:22:00+00:00,CALL,SPXW-20241001-05695.000-C,1.7770849595069884,2620.0,1,1,0,350.0,350.0,0.0,13560.0,13910.0,0.025162,3560.0,2620.0,,False,False
8,2024-10-02,2024-10,q4_2024_external,external_stress,2024-10-02T14:00:00+00:00,2024-10-02T14:12:00+00:00,CALL,SPXW-20241002-05675.000-C,0.6469549069404601,2540.0,1,1,0,620.0,620.0,0.0,13910.0,14530.0,0.04267,0.0,2540.0,,False,False
9,2024-10-02,2024-10,q4_2024_external,external_stress,2024-10-02T14:25:00+00:00,2024-10-02T14:50:00+00:00,CALL,SPXW-20241002-05665.000-C,0.9702699909210204,3520.0000000000005,1,1,0,1790.0,1790.0,0.0,14530.0,16320.0,0.109681,620.0,3520.0000000000005,,False,False
10,2024-10-02,2024-10,q4_2024_external,external_stress,2024-10-02T15:19:00+00:00,2024-10-02T15:35:00+00:00,CALL,SPXW-20241002-05685.000-C,1.6854823360443114,3420.0000000000005,1,1,0,100.0,100.0,0.0,16320.0,16420.0,0.00609,2410.0,3420.0000000000005,,False,False
