trade_number,session,segment,decision_time,contract_id,side,quantity,cash_before,daily_pnl_before,premium_exposure,risk_passed,risk_reason,premium_required,premium_cap,daily_stop_loss
1,2024-10-01,q4_2024_external,2024-10-01T14:15:00+00:00,SPXW-20241001-05710.000-P,PUT,1,10000.0,0.0,2480.0,True,pass,2480.0,4000.0,-1500.0
2,2024-10-01,q4_2024_external,2024-10-01T14:21:00+00:00,SPXW-20241001-05675.000-C,CALL,1,9950.0,-50.0,3100.0,True,pass,3100.0,3980.0,-1500.0
3,2024-10-01,q4_2024_external,2024-10-01T14:41:00+00:00,SPXW-20241001-05675.000-C,CALL,1,10250.0,250.0,3400.0,True,pass,3400.0,4100.0,-1500.0
4,2024-10-01,q4_2024_external,2024-10-01T15:19:00+00:00,SPXW-20241001-05665.000-C,CALL,1,9790.0,-210.0,2640.0,True,pass,2640.0,3916.0,-1500.0
5,2024-10-01,q4_2024_external,2024-10-01T17:31:00+00:00,SPXW-20241001-05680.000-C,CALL,1,12220.0,2220.0,1590.0,True,pass,1590.0,4888.0,-1500.0
6,2024-10-01,q4_2024_external,2024-10-01T18:43:00+00:00,SPXW-20241001-05715.000-C,CALL,1,13730.0,3730.0,1300.0,True,pass,1300.0,5492.0,-1500.0
7,2024-10-01,q4_2024_external,2024-10-01T19:14:00+00:00,SPXW-20241001-05695.000-C,CALL,1,13560.0,3560.0,2620.0,True,pass,2620.0,5424.0,-1500.0
8,2024-10-02,q4_2024_external,2024-10-02T14:00:00+00:00,SPXW-20241002-05675.000-C,CALL,1,13910.0,0.0,2540.0,True,pass,2540.0,5564.0,-1500.0
9,2024-10-02,q4_2024_external,2024-10-02T14:25:00+00:00,SPXW-20241002-05665.000-C,CALL,1,14530.0,620.0,3520.0000000000005,True,pass,3520.0,5812.0,-1500.0
10,2024-10-02,q4_2024_external,2024-10-02T15:19:00+00:00,SPXW-20241002-05685.000-C,CALL,1,16320.0,2410.0,3420.0000000000005,True,pass,3420.0,6528.0,-1500.0
11,2024-10-03,q4_2024_external,2024-10-03T14:00:00+00:00,SPXW-20241003-05690.000-C,CALL,1,16420.0,0.0,2050.0,True,pass,2050.0,6568.0,-1500.0
12,2024-10-03,q4_2024_external,2024-10-03T14:13:00+00:00,SPXW-20241003-05705.000-P,PUT,1,17660.0,1240.0,920.0,True,pass,920.0,7064.0,-1500.0
13,2024-10-03,q4_2024_external,2024-10-03T14:32:00+00:00,SPXW-20241003-05680.000-C,CALL,1,18960.0,2540.0,2180.0,True,pass,2180.0,7584.0,-1500.0
14,2024-10-03,q4_2024_external,2024-10-03T14:51:00+00:00,SPXW-20241003-05695.000-C,CALL,1,19320.0,2900.0,1590.0,True,pass,1590.0,7728.0,-1500.0
15,2024-10-04,q4_2024_external,2024-10-04T14:02:00+00:00,SPXW-20241004-05700.000-C,CALL,1,18970.0,0.0,3250.0,True,pass,3250.0,7588.0,-1500.0
16,2024-10-04,q4_2024_external,2024-10-04T14:27:00+00:00,SPXW-20241004-05720.000-P,PUT,1,18100.0,-870.0,1990.0,True,pass,1990.0,7240.0,-1500.0
17,2024-10-04,q4_2024_external,2024-10-04T14:40:00+00:00,SPXW-20241004-05680.000-C,CALL,1,18610.0,-360.0,3229.9999999999995,True,pass,3230.0,7444.0,-1500.0
18,2024-10-04,q4_2024_external,2024-10-04T15:13:00+00:00,SPXW-20241004-05750.000-P,PUT,1,19890.0,920.0,3020.0,True,pass,3020.0,7956.0,-1500.0
19,2024-10-07,q4_2024_external,2024-10-07T14:04:00+00:00,SPXW-20241007-05715.000-C,CALL,1,21280.0,0.0,2220.0,True,pass,2220.0,8000.0,-1500.0
20,2024-10-07,q4_2024_external,2024-10-07T14:29:00+00:00,SPXW-20241007-05705.000-C,CALL,1,21580.0,300.0,3210.0,True,pass,3210.0,8000.0,-1500.0
21,2024-10-07,q4_2024_external,2024-10-07T14:51:00+00:00,SPXW-20241007-05725.000-C,CALL,1,21450.0,170.0,1520.0,True,pass,1520.0,8000.0,-1500.0
22,2024-10-07,q4_2024_external,2024-10-07T15:20:00+00:00,SPXW-20241007-05705.000-C,CALL,1,21480.0,200.0,3360.0,True,pass,3360.0,8000.0,-1500.0
23,2024-10-08,q4_2024_external,2024-10-08T14:00:00+00:00,SPXW-20241008-05710.000-C,CALL,1,21450.0,0.0,2340.0,True,pass,2340.0,8000.0,-1500.0
24,2024-10-08,q4_2024_external,2024-10-08T14:25:00+00:00,SPXW-20241008-05710.000-C,CALL,1,21390.0,-60.0,2180.0,True,pass,2180.0,8000.0,-1500.0
25,2024-10-09,q4_2024_external,2024-10-09T14:00:00+00:00,SPXW-20241009-05725.000-C,CALL,1,22490.0,0.0,3379.9999999999995,True,pass,3380.0,8000.0,-1500.0
26,2024-10-09,q4_2024_external,2024-10-09T14:25:00+00:00,SPXW-20241009-05730.000-C,CALL,1,22650.0,160.0,3270.0000000000005,True,pass,3270.0,8000.0,-1500.0
27,2024-10-09,q4_2024_external,2024-10-09T14:39:00+00:00,SPXW-20241009-05730.000-C,CALL,1,22770.0,280.0,3440.0,True,pass,3440.0,8000.0,-1500.0
28,2024-10-10,q4_2024_external,2024-10-10T14:00:00+00:00,SPXW-20241010-05760.000-C,CALL,1,23520.0,0.0,2090.0,True,pass,2090.0,8000.0,-1500.0
29,2024-10-10,q4_2024_external,2024-10-10T14:26:00+00:00,SPXW-20241010-05750.000-C,CALL,1,24180.0,660.0,3150.0,True,pass,3150.0,8000.0,-1500.0
30,2024-10-11,q4_2024_external,2024-10-11T14:01:00+00:00,SPXW-20241011-05775.000-C,CALL,1,24150.0,0.0,2110.0,True,pass,2110.0,8000.0,-1500.0
31,2024-10-11,q4_2024_external,2024-10-11T15:04:00+00:00,SPXW-20241011-05790.000-C,CALL,1,26300.0,2150.0,2470.0,True,pass,2470.0,8000.0,-1500.0
