contract_id,decision_time,decision_top_label,decision_top_label_contract_id,decision_top_label_score,decision_top_score,decision_top_score_label,entry_ask,entry_bid,entry_mid,feature_contract_version,feature_hash,label_net_pnl,label_rank,model_feature_hash,momentum15_side,offset,offset_bucket,omar_side,premium_bucket,quote_age_ms,range_bucket,right,right_idx,score,score_rank,selected_by_policy,session,source_context_time,source_quote_time,split,spread,strike_idx,time_bucket,tradable,vwap_side
SPXW-20260303-06755.000-P,2026-03-03T14:41:00+00:00,2010.0,SPXW-20260303-06780.000-P,0.7850554585456848,0.7850554585456848,740.0,21.0,20.8,20.9,protocol101-live-v1,1d37e6c5553d9a13e71334b67e905a6685043ab4eccef33d2d904974125cee15,1560.0,6,1d37e6c5553d9a13e71334b67e905a6685043ab4eccef33d2d904974125cee15,mom15_flat,-20.0,near_10_20,omar_neg,gte_15,0.0,range_20_45,P,1,0.7850554585456848,7,True,2026-03-03,2026-03-03T14:40:00+00:00,2026-03-03T14:41:00+00:00,validation,0.1999999999999993,6,open_0931_0959,True,below_vwap
SPXW-20260304-06805.000-P,2026-03-04T14:54:00+00:00,180.0,SPXW-20260304-06850.000-P,0.7802805304527283,0.7802805304527283,10.0,13.2,12.9,13.05,protocol101-live-v1,4adb00cd5a51f47adeb0fd985e573217f4f1febd88acf6c839d22cc4ad64c821,50.0,10,4adb00cd5a51f47adeb0fd985e573217f4f1febd88acf6c839d22cc4ad64c821,mom15_neg,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7802805304527283,7,True,2026-03-04,2026-03-04T14:53:00+00:00,2026-03-04T14:54:00+00:00,validation,0.29999999999999893,6,open_0931_0959,True,above_vwap
SPXW-20260304-06805.000-P,2026-03-04T15:05:00+00:00,1030.0,SPXW-20260304-06810.000-C,0.7042668461799622,0.7042668461799622,-220.0,12.0,11.8,11.9,protocol101-live-v1,30383331d5ed80a48d0852703a702027dc47eaeb33caa6b4bdd9da5b9242760e,-460.0,21,30383331d5ed80a48d0852703a702027dc47eaeb33caa6b4bdd9da5b9242760e,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7042668461799622,7,True,2026-03-04,2026-03-04T15:04:00+00:00,2026-03-04T15:05:00+00:00,validation,0.1999999999999993,6,morning_1000_1129,True,below_vwap
SPXW-20260305-06835.000-P,2026-03-05T15:08:00+00:00,-10.0,SPXW-20260305-06845.000-P,0.7363598942756653,0.7363598942756653,-30.0,13.9,13.7,13.8,protocol101-live-v1,316e073f06dd9cae2dadcec3248e30e46174644cfe892910ef186153669b7654,-20.0,5,316e073f06dd9cae2dadcec3248e30e46174644cfe892910ef186153669b7654,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7363598942756653,10,True,2026-03-05,2026-03-05T15:07:00+00:00,2026-03-05T15:08:00+00:00,validation,0.20000000000000107,6,morning_1000_1129,True,above_vwap
SPXW-20260306-06730.000-P,2026-03-06T17:27:00+00:00,330.0,SPXW-20260306-06765.000-P,0.7837361097335815,0.7837361097335815,120.0,12.6,12.4,12.5,protocol101-live-v1,7647a308710d2cd71d2833fc049bc23a41c7912c770384ad5dd61e89b097b4c9,210.0,9,7647a308710d2cd71d2833fc049bc23a41c7912c770384ad5dd61e89b097b4c9,mom15_neg,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_45_80,P,1,0.7837361097335815,7,True,2026-03-06,2026-03-06T17:26:00+00:00,2026-03-06T17:27:00+00:00,validation,0.1999999999999993,6,midday_1130_1329,True,below_vwap
SPXW-20260309-06635.000-P,2026-03-09T14:20:00+00:00,20.0,SPXW-20260309-06635.000-C,0.7645972967147827,0.7789149284362793,-90.0,17.8,17.6,17.700000000000003,protocol101-live-v1,129a56f3d950303f60601b57a72f6632472eb1b322f70ac97b0d0c303db55d56,-130.0,19,129a56f3d950303f60601b57a72f6632472eb1b322f70ac97b0d0c303db55d56,mom15_neg,-20.0,near_10_20,omar_neg,gte_15,0.0,range_45_80,P,1,0.7789149284362793,7,True,2026-03-09,2026-03-09T14:19:00+00:00,2026-03-09T14:20:00+00:00,validation,0.1999999999999993,6,morning_1000_1129,True,below_vwap
SPXW-20260310-06765.000-P,2026-03-10T13:42:00+00:00,-30.0,SPXW-20260310-06800.000-C,0.7755593061447144,0.7755593061447144,-50.0,16.1,15.9,16.0,protocol101-live-v1,fcdd61e95d9749e1fc588a66bddf790648e0f23172eda9f7da185571c66b70ff,-60.0,19,fcdd61e95d9749e1fc588a66bddf790648e0f23172eda9f7da185571c66b70ff,mom15_flat,-20.0,near_10_20,omar_neg,gte_15,0.0,range_lt_20,P,1,0.7755593061447144,8,True,2026-03-10,2026-03-10T13:41:00+00:00,2026-03-10T13:42:00+00:00,validation,0.20000000000000107,6,open_0931_0959,True,below_vwap
SPXW-20260310-06765.000-P,2026-03-10T13:55:00+00:00,60.0,SPXW-20260310-06775.000-P,0.7295293807983398,0.7648963928222656,10.0,18.2,18.0,18.1,protocol101-live-v1,4548ec4eb1f34a90d81b6d609922b7e35b62277a6480f3e2de7722d289a315d8,40.0,6,4548ec4eb1f34a90d81b6d609922b7e35b62277a6480f3e2de7722d289a315d8,mom15_neg,-20.0,near_10_20,omar_neg,gte_15,0.0,range_20_45,P,1,0.7295293807983398,10,True,2026-03-10,2026-03-10T13:54:00+00:00,2026-03-10T13:55:00+00:00,validation,0.1999999999999993,6,open_0931_0959,True,below_vwap
SPXW-20260310-06760.000-P,2026-03-10T14:07:00+00:00,580.0,SPXW-20260310-06795.000-P,0.7225674986839294,0.7225674986839294,170.0,16.0,15.8,15.9,protocol101-live-v1,bb7fedd3b1d4e556ded0a0f2e21e168f6ac460059e129c395bb7e392e59023af,340.0,8,bb7fedd3b1d4e556ded0a0f2e21e168f6ac460059e129c395bb7e392e59023af,mom15_neg,-20.0,near_10_20,omar_neg,gte_15,0.0,range_20_45,P,1,0.7225674986839294,9,True,2026-03-10,2026-03-10T14:06:00+00:00,2026-03-10T14:07:00+00:00,validation,0.1999999999999993,6,morning_1000_1129,True,above_vwap
SPXW-20260311-06770.000-P,2026-03-11T14:15:00+00:00,1410.0,SPXW-20260311-06815.000-P,0.6984171271324158,0.6984171271324158,450.0,12.4,12.3,12.350000000000001,protocol101-live-v1,796435481b22edc0c685a5ef237f33f3df37e3846f08ec35c91d459647cec378,820.0,10,796435481b22edc0c685a5ef237f33f3df37e3846f08ec35c91d459647cec378,mom15_neg,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.6984171271324158,8,True,2026-03-11,2026-03-11T14:14:00+00:00,2026-03-11T14:15:00+00:00,validation,0.09999999999999964,6,morning_1000_1129,True,above_vwap
