session,era,source_types,source_statuses,source_paths
2025-07-01,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_smoke_preflight/canonical_processed_session_manifest.json
2025-07-02,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-03,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-07,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-08,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-09,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-10,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-11,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-14,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
2025-07-15,owned_jul_dec2025,canonical_processed_session,usable_only_if_training_runner_requires_this_manifest,v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_dec2025_128_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_jul_sep2025_64_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_20_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july2025_q1_design/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_expanded_july_aug2025_43_q1_design_input/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_july2025_20session_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_chunk_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_expanded_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_dec128_preflight/canonical_processed_session_manifest.json;v4/audit/autoresearch/protocol101_fair_contract_q3_q4_2025_jul_sep64_preflight/canonical_processed_session_manifest.json
