session,status,neural_rows,expected_decision_minutes,full_ladder_share,tradable_minute_share,label_finite_share,feature_contract_version,context_lag_exact_one_minute_share,future_context_row_count,opening_no_leading_backfill,failed_checks,record_hash
2024-10-01,pass,360,360,1.0,1.0,0.666005291005291,protocol101-live-v1,1.0,0,True,,18f75fdd1b21705987ccc78bb875400b5759a845031eab4f0106945f5f39e184
2024-10-02,pass,360,360,1.0,1.0,0.6589285714285714,protocol101-live-v1,1.0,0,True,,e3a1fa155ea14f43e86090d3a2b7b0a5caf1b929a23e7d316651692e03f37e92
2024-10-03,pass,360,360,1.0,1.0,0.6562169312169313,protocol101-live-v1,1.0,0,True,,818d1965b24282180fa3e0ed393507f79f0bbbdae0d01ae0a91d1d548c101e42
2024-10-04,pass,360,360,1.0,1.0,0.6443121693121693,protocol101-live-v1,1.0,0,True,,79a45c68cc63888ad52f19e562c1574708fd62bff82cb536eaf885e7c0620f39
2024-10-07,pass,360,360,1.0,1.0,0.6350529100529101,protocol101-live-v1,1.0,0,True,,9a51585193976d823b1382c506119fcff3d8133b90f6f9600518c2c7838b07dd
2024-10-08,pass,360,360,1.0,1.0,0.6000661375661376,protocol101-live-v1,1.0,0,True,,97c1d7171812bc54047b3eb04ac1cc284f2b8b38330bf9d683f0d4b4ffebf8eb
2024-10-09,pass,360,360,1.0,1.0,0.6433201058201058,protocol101-live-v1,1.0,0,True,,5b354e1498c63fdee92a0b12c3752defd156cbd77e881b2063b7b4509564f6a4
2024-10-10,pass,360,360,1.0,1.0,0.6416666666666667,protocol101-live-v1,1.0,0,True,,fc11e190bc82afbedc7d4856e9ba5d4f314a066ff4c7a6ef4ef424a35ce4e060
2024-10-11,pass,360,360,1.0,1.0,0.5869708994708994,protocol101-live-v1,1.0,0,True,,207108daa108cd9c51f39653e956b9bded02a3a3d0394cfe552dff024de3667c
2024-10-14,pass,360,360,1.0,1.0,0.473478835978836,protocol101-live-v1,1.0,0,True,,35a8af6f524468c3c15e683d219ced1ed0e95fb0e12ee7952cc7a0139c1bf0fd
